"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","3:19 AM","4:45 AM","5:39 AM","1:21 PM","1:45 PM","6:41 PM","7:30 PM","9:04 PM","10:39 PM","10:50 PM","2:00 PM"
"2","3:20 AM","4:45 AM","5:40 AM","1:22 PM","1:45 PM","6:41 PM","7:30 PM","9:04 PM","10:39 PM","10:50 PM","2:00 PM"
"3","3:21 AM","5:00 AM","5:40 AM","1:22 PM","1:45 PM","6:41 PM","7:30 PM","9:03 PM","10:38 PM","10:50 PM","2:00 PM"
"4","3:22 AM","5:00 AM","5:41 AM","1:22 PM","1:45 PM","6:41 PM","7:30 PM","9:03 PM","10:38 PM","10:50 PM","2:00 PM"
"5","3:23 AM","5:00 AM","5:41 AM","1:22 PM","1:45 PM","6:41 PM","7:30 PM","9:03 PM","10:37 PM","10:50 PM","2:00 PM"
"6","3:24 AM","5:00 AM","5:42 AM","1:22 PM","1:45 PM","6:41 PM","7:30 PM","9:03 PM","10:37 PM","10:50 PM","2:00 PM"
"7","3:25 AM","5:00 AM","5:43 AM","1:22 PM","1:45 PM","6:40 PM","7:30 PM","9:02 PM","10:37 PM","10:50 PM","2:00 PM"
"8","3:27 AM","5:00 AM","5:44 AM","1:23 PM","1:45 PM","6:40 PM","7:30 PM","9:02 PM","10:35 PM","10:50 PM","2:00 PM"
"9","3:28 AM","5:00 AM","5:44 AM","1:23 PM","1:45 PM","6:40 PM","7:30 PM","9:01 PM","10:34 PM","10:50 PM","2:00 PM"
"10","3:29 AM","5:00 AM","5:45 AM","1:23 PM","1:45 PM","6:40 PM","7:30 PM","9:00 PM","10:33 PM","10:50 PM","2:00 PM"
"11","3:31 AM","5:00 AM","5:46 AM","1:23 PM","1:45 PM","6:40 PM","7:30 PM","8:59 PM","10:32 PM","10:40 PM","2:00 PM"
"12","3:32 AM","5:00 AM","5:47 AM","1:23 PM","1:45 PM","6:39 PM","7:30 PM","8:59 PM","10:31 PM","10:40 PM","2:00 PM"
"13","3:34 AM","5:00 AM","5:48 AM","1:23 PM","1:45 PM","6:39 PM","7:30 PM","8:58 PM","10:31 PM","10:40 PM","2:00 PM"
"14","3:35 AM","5:00 AM","5:48 AM","1:23 PM","1:45 PM","6:39 PM","7:30 PM","8:57 PM","10:31 PM","10:40 PM","2:00 PM"
"15","3:37 AM","5:00 AM","5:49 AM","1:24 PM","1:45 PM","6:39 PM","7:30 PM","8:57 PM","10:30 PM","10:40 PM","2:00 PM"
"16","3:38 AM","5:00 AM","5:50 AM","1:24 PM","1:45 PM","6:38 PM","7:30 PM","8:56 PM","10:30 PM","10:40 PM","2:00 PM"
"17","3:40 AM","5:00 AM","5:51 AM","1:24 PM","1:45 PM","6:38 PM","7:30 PM","8:55 PM","10:30 PM","10:40 PM","2:00 PM"
"18","3:42 AM","5:00 AM","5:52 AM","1:24 PM","1:45 PM","6:37 PM","7:30 PM","8:55 PM","10:30 PM","10:40 PM","2:00 PM"
"19","3:43 AM","5:00 AM","5:53 AM","1:24 PM","1:45 PM","6:37 PM","7:30 PM","8:54 PM","10:30 PM","10:40 PM","2:00 PM"
"20","3:45 AM","5:00 AM","5:54 AM","1:24 PM","1:45 PM","6:37 PM","7:30 PM","8:53 PM","10:23 PM","10:40 PM","2:00 PM"
"21","3:47 AM","5:15 AM","5:55 AM","1:24 PM","1:45 PM","6:36 PM","7:15 PM","8:52 PM","10:20 PM","10:30 PM","2:00 PM"
"22","3:48 AM","5:15 AM","5:56 AM","1:24 PM","1:45 PM","6:36 PM","7:15 PM","8:51 PM","10:19 PM","10:30 PM","2:00 PM"
"23","3:50 AM","5:15 AM","5:57 AM","1:24 PM","1:45 PM","6:35 PM","7:15 PM","8:50 PM","10:19 PM","10:30 PM","2:00 PM"
"24","3:52 AM","5:15 AM","5:58 AM","1:24 PM","1:45 PM","6:35 PM","7:15 PM","8:49 PM","10:18 PM","10:30 PM","2:00 PM"
"25","3:54 AM","5:15 AM","5:59 AM","1:24 PM","1:45 PM","6:34 PM","7:15 PM","8:48 PM","10:17 PM","10:30 PM","2:00 PM"
"26","3:55 AM","5:15 AM","6:00 AM","1:24 PM","1:45 PM","6:33 PM","7:15 PM","8:47 PM","10:17 PM","10:30 PM","2:00 PM"
"27","3:57 AM","5:15 AM","6:01 AM","1:24 PM","1:45 PM","6:33 PM","7:15 PM","8:46 PM","10:17 PM","10:30 PM","2:00 PM"
"28","3:59 AM","5:15 AM","6:02 AM","1:24 PM","1:45 PM","6:32 PM","7:15 PM","8:45 PM","10:16 PM","10:30 PM","2:00 PM"
"29","4:01 AM","5:15 AM","6:03 AM","1:24 PM","1:45 PM","6:32 PM","7:15 PM","8:44 PM","10:16 PM","10:30 PM","2:00 PM"
"30","4:03 AM","5:15 AM","6:04 AM","1:24 PM","1:45 PM","6:31 PM","7:15 PM","8:43 PM","10:15 PM","10:30 PM","2:00 PM"
"31","4:04 AM","5:15 AM","6:05 AM","1:24 PM","1:45 PM","6:30 PM","7:15 PM","8:42 PM","10:15 PM","10:30 PM","2:00 PM"
