"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","3:51 AM","4:45 AM","5:38 AM","1:15 PM","1:45 PM","5:20 PM","6:00 PM","8:52 PM","10:39 PM","10:15 PM","2:00 PM"
"2","3:50 AM","4:45 AM","5:37 AM","1:15 PM","1:45 PM","5:20 PM","6:00 PM","8:53 PM","10:40 PM","10:15 PM","2:00 PM"
"3","3:50 AM","4:45 AM","5:37 AM","1:15 PM","1:45 PM","5:21 PM","6:00 PM","8:54 PM","10:41 PM","10:15 PM","2:00 PM"
"4","3:49 AM","4:45 AM","5:36 AM","1:15 PM","1:45 PM","5:21 PM","6:00 PM","8:54 PM","10:42 PM","10:30 PM","2:00 PM"
"5","3:48 AM","4:45 AM","5:36 AM","1:15 PM","1:45 PM","5:21 PM","6:00 PM","8:55 PM","10:43 PM","10:30 PM","2:00 PM"
"6","3:47 AM","4:45 AM","5:36 AM","1:16 PM","1:45 PM","5:21 PM","6:00 PM","8:56 PM","10:44 PM","10:30 PM","2:00 PM"
"7","3:47 AM","4:45 AM","5:35 AM","1:16 PM","1:45 PM","5:22 PM","6:00 PM","8:56 PM","10:45 PM","10:30 PM","2:00 PM"
"8","3:46 AM","4:45 AM","5:35 AM","1:16 PM","1:45 PM","5:22 PM","6:00 PM","8:57 PM","10:46 PM","10:30 PM","2:00 PM"
"9","3:45 AM","4:45 AM","5:35 AM","1:16 PM","1:45 PM","5:22 PM","6:00 PM","8:58 PM","10:47 PM","10:30 PM","2:00 PM"
"10","3:45 AM","4:45 AM","5:35 AM","1:16 PM","1:45 PM","5:23 PM","6:00 PM","8:58 PM","10:48 PM","10:30 PM","2:00 PM"
"11","3:44 AM","4:45 AM","5:34 AM","1:17 PM","1:45 PM","5:23 PM","6:00 PM","8:59 PM","10:49 PM","10:30 PM","2:00 PM"
"12","3:44 AM","4:45 AM","5:34 AM","1:17 PM","1:45 PM","5:23 PM","6:00 PM","8:59 PM","10:50 PM","10:30 PM","2:00 PM"
"13","3:44 AM","4:45 AM","5:34 AM","1:17 PM","1:45 PM","5:24 PM","6:00 PM","9:00 PM","10:50 PM","10:30 PM","2:00 PM"
"14","3:44 AM","4:45 AM","5:34 AM","1:17 PM","1:45 PM","5:24 PM","6:00 PM","9:00 PM","10:51 PM","10:30 PM","2:00 PM"
"15","3:43 AM","4:45 AM","5:34 AM","1:17 PM","1:45 PM","5:24 PM","6:00 PM","9:01 PM","10:52 PM","10:30 PM","2:00 PM"
"16","3:43 AM","4:45 AM","5:34 AM","1:18 PM","1:45 PM","5:24 PM","6:00 PM","9:01 PM","10:52 PM","10:30 PM","2:00 PM"
"17","3:43 AM","4:45 AM","5:34 AM","1:18 PM","1:45 PM","5:25 PM","6:00 PM","9:02 PM","10:53 PM","10:30 PM","2:00 PM"
"18","3:43 AM","4:45 AM","5:34 AM","1:18 PM","1:45 PM","5:25 PM","6:00 PM","9:02 PM","10:53 PM","10:30 PM","2:00 PM"
"19","3:43 AM","4:45 AM","5:34 AM","1:18 PM","1:45 PM","5:25 PM","6:00 PM","9:02 PM","10:53 PM","10:30 PM","2:00 PM"
"20","3:43 AM","4:45 AM","5:35 AM","1:18 PM","1:45 PM","5:25 PM","6:00 PM","9:02 PM","10:54 PM","10:30 PM","2:00 PM"
"21","3:43 AM","4:45 AM","5:35 AM","1:19 PM","1:45 PM","5:26 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"22","3:44 AM","4:45 AM","5:35 AM","1:19 PM","1:45 PM","5:26 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"23","3:44 AM","4:45 AM","5:35 AM","1:19 PM","1:45 PM","5:26 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"24","3:44 AM","4:45 AM","5:36 AM","1:19 PM","1:45 PM","5:26 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"25","3:45 AM","4:45 AM","5:36 AM","1:20 PM","1:45 PM","5:26 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"26","3:45 AM","4:45 AM","5:36 AM","1:20 PM","1:45 PM","5:27 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"27","3:46 AM","4:45 AM","5:37 AM","1:20 PM","1:45 PM","5:27 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"28","3:46 AM","4:45 AM","5:37 AM","1:20 PM","1:45 PM","5:27 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"29","3:47 AM","4:45 AM","5:38 AM","1:20 PM","1:45 PM","5:27 PM","6:00 PM","9:03 PM","10:54 PM","10:30 PM","2:00 PM"
"30","3:48 AM","4:45 AM","5:38 AM","1:21 PM","1:45 PM","5:27 PM","6:00 PM","9:03 PM","10:53 PM","10:30 PM","2:00 PM"
