"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:13 AM","6:40 AM","7:35 AM","12:31 PM","1:00 PM","3:45 PM","4:15 PM","5:30 PM","6:43 PM","8:00 PM","12:45 PM","2:15 PM"
"2","6:12 AM","6:40 AM","7:34 AM","12:31 PM","1:00 PM","3:46 PM","4:15 PM","5:31 PM","6:43 PM","8:00 PM","12:45 PM","2:15 PM"
"3","6:11 AM","6:40 AM","7:32 AM","12:31 PM","1:00 PM","3:47 PM","4:15 PM","5:33 PM","6:44 PM","8:00 PM","12:45 PM","2:15 PM"
"4","6:10 AM","6:40 AM","7:31 AM","12:31 PM","1:00 PM","3:49 PM","4:15 PM","5:34 PM","6:45 PM","8:00 PM","12:45 PM","2:15 PM"
"5","6:09 AM","6:40 AM","7:30 AM","12:31 PM","1:00 PM","3:50 PM","4:15 PM","5:35 PM","6:47 PM","8:00 PM","12:45 PM","2:15 PM"
"6","6:08 AM","6:40 AM","7:29 AM","12:31 PM","1:00 PM","3:51 PM","4:15 PM","5:37 PM","6:49 PM","8:00 PM","12:45 PM","2:15 PM"
"7","6:07 AM","6:40 AM","7:28 AM","12:32 PM","1:00 PM","3:53 PM","4:15 PM","5:38 PM","6:49 PM","8:00 PM","12:45 PM","2:15 PM"
"8","6:06 AM","6:40 AM","7:26 AM","12:32 PM","1:00 PM","3:54 PM","4:15 PM","5:39 PM","6:50 PM","8:00 PM","12:45 PM","2:15 PM"
"9","6:05 AM","6:40 AM","7:25 AM","12:32 PM","1:00 PM","3:55 PM","4:15 PM","5:41 PM","6:52 PM","8:00 PM","12:45 PM","2:15 PM"
"10","6:03 AM","6:30 AM","7:24 AM","12:32 PM","1:00 PM","3:56 PM","4:30 PM","5:42 PM","6:54 PM","8:00 PM","12:45 PM","2:15 PM"
"11","6:02 AM","6:30 AM","7:22 AM","12:32 PM","1:00 PM","3:58 PM","4:30 PM","5:43 PM","6:54 PM","8:00 PM","12:45 PM","2:15 PM"
"12","6:01 AM","6:30 AM","7:21 AM","12:32 PM","1:00 PM","3:59 PM","4:30 PM","5:45 PM","6:55 PM","8:00 PM","12:45 PM","2:15 PM"
"13","6:00 AM","6:30 AM","7:20 AM","12:32 PM","1:00 PM","4:00 PM","4:30 PM","5:46 PM","6:56 PM","8:00 PM","12:45 PM","2:15 PM"
"14","5:58 AM","6:30 AM","7:18 AM","12:32 PM","1:00 PM","4:02 PM","4:30 PM","5:48 PM","6:58 PM","8:00 PM","12:45 PM","2:15 PM"
"15","5:57 AM","6:30 AM","7:17 AM","12:32 PM","1:00 PM","4:03 PM","4:30 PM","5:49 PM","7:00 PM","8:00 PM","12:45 PM","2:15 PM"
"16","5:56 AM","6:30 AM","7:15 AM","12:31 PM","1:00 PM","4:04 PM","4:30 PM","5:50 PM","7:00 PM","8:00 PM","12:45 PM","2:15 PM"
"17","5:54 AM","6:30 AM","7:14 AM","12:31 PM","1:00 PM","4:05 PM","4:30 PM","5:52 PM","7:01 PM","8:00 PM","12:45 PM","2:15 PM"
"18","5:53 AM","6:30 AM","7:12 AM","12:31 PM","1:00 PM","4:07 PM","4:30 PM","5:53 PM","7:03 PM","8:00 PM","12:45 PM","2:15 PM"
"19","5:52 AM","6:30 AM","7:11 AM","12:31 PM","1:00 PM","4:08 PM","4:30 PM","5:54 PM","7:04 PM","8:00 PM","12:45 PM","2:15 PM"
"20","5:50 AM","6:30 AM","7:09 AM","12:31 PM","1:00 PM","4:09 PM","4:30 PM","5:56 PM","7:05 PM","8:00 PM","12:45 PM","2:15 PM"
"21","5:49 AM","6:30 AM","7:08 AM","12:31 PM","1:00 PM","4:10 PM","4:30 PM","5:57 PM","7:06 PM","8:00 PM","12:45 PM","2:15 PM"
"22","5:47 AM","6:30 AM","7:06 AM","12:31 PM","1:00 PM","4:11 PM","4:30 PM","5:58 PM","7:08 PM","8:00 PM","12:45 PM","2:15 PM"
"23","5:46 AM","6:30 AM","7:05 AM","12:31 PM","1:00 PM","4:13 PM","4:30 PM","6:00 PM","7:10 PM","8:00 PM","12:45 PM","2:15 PM"
"24","5:44 AM","6:15 AM","7:03 AM","12:31 PM","1:00 PM","4:14 PM","4:45 PM","6:01 PM","7:10 PM","8:00 PM","12:45 PM","2:15 PM"
"25","5:43 AM","6:15 AM","7:02 AM","12:31 PM","1:00 PM","4:15 PM","4:45 PM","6:02 PM","7:11 PM","8:00 PM","12:45 PM","2:15 PM"
"26","5:41 AM","6:15 AM","7:00 AM","12:30 PM","1:00 PM","4:16 PM","4:45 PM","6:04 PM","7:13 PM","8:00 PM","12:45 PM","2:15 PM"
"27","5:40 AM","6:15 AM","6:58 AM","12:30 PM","1:00 PM","4:17 PM","4:45 PM","6:05 PM","7:14 PM","8:00 PM","12:45 PM","2:15 PM"
"28","5:38 AM","6:15 AM","6:57 AM","12:30 PM","1:00 PM","4:18 PM","4:45 PM","6:06 PM","7:15 PM","8:00 PM","12:45 PM","2:15 PM"
"29","5:36 AM","6:15 AM","6:55 AM","12:30 PM","1:00 PM","4:20 PM","4:45 PM","6:07 PM","7:16 PM","8:00 PM","12:45 PM","2:15 PM"
