"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:12 AM","","7:34 AM","12:31 PM","","3:44 PM","","5:28 PM","6:50 PM","",""
"2","6:11 AM","","7:33 AM","12:31 PM","","3:46 PM","","5:29 PM","6:51 PM","",""
"3","6:10 AM","","7:32 AM","12:31 PM","","3:47 PM","","5:30 PM","6:52 PM","",""
"4","6:09 AM","","7:31 AM","12:31 PM","","3:48 PM","","5:32 PM","6:53 PM","",""
"5","6:08 AM","","7:29 AM","12:31 PM","","3:50 PM","","5:33 PM","6:55 PM","",""
"6","6:07 AM","","7:28 AM","12:31 PM","","3:51 PM","","5:35 PM","6:56 PM","",""
"7","6:06 AM","","7:27 AM","12:31 PM","","3:52 PM","","5:36 PM","6:57 PM","",""
"8","6:05 AM","","7:26 AM","12:31 PM","","3:54 PM","","5:37 PM","6:58 PM","",""
"9","6:04 AM","","7:24 AM","12:31 PM","","3:55 PM","","5:39 PM","6:59 PM","",""
"10","6:02 AM","","7:23 AM","12:31 PM","","3:56 PM","","5:40 PM","7:01 PM","",""
"11","6:01 AM","","7:22 AM","12:31 PM","","3:58 PM","","5:41 PM","7:02 PM","",""
"12","6:00 AM","","7:20 AM","12:31 PM","","3:59 PM","","5:43 PM","7:03 PM","",""
"13","5:59 AM","","7:19 AM","12:31 PM","","4:00 PM","","5:44 PM","7:04 PM","",""
"14","5:57 AM","","7:17 AM","12:31 PM","","4:01 PM","","5:46 PM","7:06 PM","",""
"15","5:56 AM","","7:16 AM","12:31 PM","","4:03 PM","","5:47 PM","7:07 PM","",""
"16","5:55 AM","","7:14 AM","12:31 PM","","4:04 PM","","5:48 PM","7:08 PM","",""
"17","5:53 AM","","7:13 AM","12:31 PM","","4:05 PM","","5:50 PM","7:09 PM","",""
"18","5:52 AM","","7:11 AM","12:31 PM","","4:06 PM","","5:51 PM","7:11 PM","",""
"19","5:50 AM","","7:10 AM","12:31 PM","","4:08 PM","","5:52 PM","7:12 PM","",""
"20","5:49 AM","","7:08 AM","12:31 PM","","4:09 PM","","5:54 PM","7:13 PM","",""
"21","5:47 AM","","7:07 AM","12:31 PM","","4:10 PM","","5:55 PM","7:14 PM","",""
"22","5:46 AM","","7:05 AM","12:30 PM","","4:11 PM","","5:56 PM","7:16 PM","",""
"23","5:44 AM","","7:04 AM","12:30 PM","","4:12 PM","","5:58 PM","7:17 PM","",""
"24","5:43 AM","","7:02 AM","12:30 PM","","4:14 PM","","5:59 PM","7:18 PM","",""
"25","5:41 AM","","7:00 AM","12:30 PM","","4:15 PM","","6:00 PM","7:19 PM","",""
"26","5:40 AM","","6:59 AM","12:30 PM","","4:16 PM","","6:02 PM","7:21 PM","",""
"27","5:38 AM","","6:57 AM","12:30 PM","","4:17 PM","","6:03 PM","7:22 PM","",""
"28","5:37 AM","","6:55 AM","12:29 PM","","4:18 PM","","6:04 PM","7:23 PM","",""
