"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:35 AM","","6:54 AM","12:29 PM","","4:19 PM","","6:06 PM","7:24 PM","",""
"2","5:33 AM","","6:52 AM","12:29 PM","","4:21 PM","","6:07 PM","7:26 PM","",""
"3","5:32 AM","","6:50 AM","12:29 PM","","4:22 PM","","6:08 PM","7:27 PM","",""
"4","5:30 AM","","6:49 AM","12:29 PM","","4:23 PM","","6:09 PM","7:28 PM","",""
"5","5:28 AM","","6:47 AM","12:28 PM","","4:24 PM","","6:11 PM","7:29 PM","",""
"6","5:26 AM","","6:45 AM","12:28 PM","","4:25 PM","","6:12 PM","7:31 PM","",""
"7","5:25 AM","","6:43 AM","12:28 PM","","4:26 PM","","6:13 PM","7:32 PM","",""
"8","5:23 AM","","6:42 AM","12:28 PM","","4:27 PM","","6:14 PM","7:33 PM","",""
"9","5:21 AM","","6:40 AM","12:27 PM","","4:28 PM","","6:16 PM","7:35 PM","",""
"10","5:19 AM","","6:38 AM","12:27 PM","","4:29 PM","","6:17 PM","7:36 PM","",""
"11","6:18 AM","","7:36 AM","1:27 PM","","5:30 PM","","7:18 PM","8:37 PM","",""
"12","6:16 AM","","7:35 AM","1:27 PM","","5:31 PM","","7:20 PM","8:38 PM","",""
"13","6:14 AM","","7:33 AM","1:26 PM","","5:32 PM","","7:21 PM","8:40 PM","",""
"14","6:12 AM","","7:31 AM","1:26 PM","","5:33 PM","","7:22 PM","8:41 PM","",""
"15","6:10 AM","","7:29 AM","1:26 PM","","5:34 PM","","7:23 PM","8:42 PM","",""
"16","6:08 AM","","7:27 AM","1:26 PM","","5:35 PM","","7:24 PM","8:44 PM","",""
"17","6:06 AM","","7:26 AM","1:25 PM","","5:36 PM","","7:26 PM","8:45 PM","",""
"18","6:05 AM","","7:24 AM","1:25 PM","","5:37 PM","","7:27 PM","8:46 PM","",""
"19","6:03 AM","","7:22 AM","1:25 PM","","5:38 PM","","7:28 PM","8:48 PM","",""
"20","6:01 AM","","7:20 AM","1:24 PM","","5:39 PM","","7:29 PM","8:49 PM","",""
"21","5:59 AM","","7:18 AM","1:24 PM","","5:40 PM","","7:31 PM","8:50 PM","",""
"22","5:57 AM","","7:17 AM","1:24 PM","","5:41 PM","","7:32 PM","8:52 PM","",""
"23","5:55 AM","","7:15 AM","1:23 PM","","5:42 PM","","7:33 PM","8:53 PM","",""
"24","5:53 AM","","7:13 AM","1:23 PM","","5:43 PM","","7:34 PM","8:54 PM","",""
"25","5:51 AM","","7:11 AM","1:23 PM","","5:44 PM","","7:35 PM","8:56 PM","",""
"26","5:49 AM","","7:09 AM","1:23 PM","","5:45 PM","","7:37 PM","8:57 PM","",""
"27","5:47 AM","","7:07 AM","1:22 PM","","5:45 PM","","7:38 PM","8:58 PM","",""
"28","5:45 AM","","7:06 AM","1:22 PM","","5:46 PM","","7:39 PM","9:00 PM","",""
"29","5:43 AM","","7:04 AM","1:22 PM","","5:47 PM","","7:40 PM","9:01 PM","",""
"30","5:41 AM","","7:02 AM","1:21 PM","","5:48 PM","","7:42 PM","9:03 PM","",""
"31","5:39 AM","","7:00 AM","1:21 PM","","5:49 PM","","7:43 PM","9:04 PM","",""
