"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","3:49 AM","5:00 AM","5:39 AM","1:21 PM","2:00 PM","6:40 PM","7:30 PM","9:02 PM","10:38 PM","10:50 PM","2:05 PM"
"2","3:50 AM","5:00 AM","5:39 AM","1:21 PM","2:00 PM","6:40 PM","7:30 PM","9:02 PM","10:38 PM","10:50 PM","2:05 PM"
"3","3:50 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:40 PM","7:30 PM","9:02 PM","10:37 PM","10:50 PM","2:05 PM"
"4","3:51 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:40 PM","7:30 PM","9:02 PM","10:37 PM","10:50 PM","2:05 PM"
"5","3:52 AM","","5:41 AM","1:21 PM","","6:40 PM","","9:01 PM","10:36 PM","",""
"6","3:53 AM","","5:42 AM","1:22 PM","","6:40 PM","","9:01 PM","10:36 PM","",""
"7","3:54 AM","05:00 am","5:42 AM","1:22 PM","2:00 PM","6:40 PM","07:30 pm","9:01 PM","10:35 PM","10:50 PM","02:00 pm"
"8","3:55 AM","05:00 am","5:43 AM","1:22 PM","2:00 PM","6:40 PM","07:30 pm","9:00 PM","10:34 PM","10:50 PM","02:00 pm"
"9","3:56 AM","05:00 am","5:44 AM","1:22 PM","2:00 PM","6:40 PM","07:30 pm","9:00 PM","10:34 PM","10:50 PM","02:00 pm"
"10","3:58 AM","05:00 am","5:45 AM","1:22 PM","2:00 PM","6:39 PM","07:30 pm","8:59 PM","10:33 PM","10:50 PM","02:00 pm"
"11","3:59 AM","05:00 am","5:45 AM","1:22 PM","2:00 PM","6:39 PM","07:30 pm","8:59 PM","10:32 PM","10:40 pm","02:00 pm"
"12","4:00 AM","05:00 am","5:46 AM","1:22 PM","2:00 PM","6:39 PM","07:30 pm","8:58 PM","10:31 PM","10:40 pm","02:00 pm"
"13","4:01 AM","05:00 am","5:47 AM","1:23 PM","2:00 PM","6:39 PM","07:30 pm","8:58 PM","10:30 PM","10:40 pm","02:00 pm"
"14","4:03 AM","05:00 am","5:48 AM","1:23 PM","2:00 PM","6:38 PM","07:30 pm","8:57 PM","10:29 PM","10:40 pm","02:00 pm"
"15","4:04 AM","05:00 am","5:49 AM","1:23 PM","2:00 PM","6:38 PM","07:30 pm","8:56 PM","10:28 PM","10:40 pm","02:00 pm"
"16","4:05 AM","05:00 am","5:50 AM","1:23 PM","2:00 PM","6:38 PM","07:30 pm","8:56 PM","10:27 PM","10:40 pm","02:00 pm"
"17","4:07 AM","05:15 am","5:50 AM","1:23 PM","2:00 PM","6:37 PM","07:30 pm","8:55 PM","10:26 PM","10:40 pm","02:00 pm"
"18","4:08 AM","05:15 am","5:51 AM","1:23 PM","2:00 PM","6:37 PM","07:30 pm","8:54 PM","10:25 PM","10:40 pm","02:00 pm"
"19","4:09 AM","05:15 am","5:52 AM","1:23 PM","2:00 PM","6:37 PM","07:30 pm","8:53 PM","10:23 PM","10:40 pm","02:00 pm"
"20","4:11 AM","05:15 am","5:53 AM","1:23 PM","2:00 PM","6:36 PM","07:30 pm","8:52 PM","10:22 PM","10:40 pm","02:00 pm"
"21","4:12 AM","05:15 am","5:54 AM","1:23 PM","2:00 PM","6:36 PM","07:30 pm","8:52 PM","10:21 PM","10:40 pm","02:00 pm"
"22","4:14 AM","05:15 am","5:55 AM","1:23 PM","2:00 PM","6:35 PM","07:30 pm","8:51 PM","10:19 PM","10:40 pm","02:00 pm"
"23","4:15 AM","05:15 am","5:56 AM","1:23 PM","2:00 PM","6:35 PM","07:30 pm","8:50 PM","10:18 PM","10:40 pm","02:00 pm"
"24","4:17 AM","05:15 am","5:57 AM","1:23 PM","02:00 pm","6:34 PM","07:30 pm","8:49 PM","10:17 PM","10:30 pm","01:30 pm"
"25","4:18 AM","05:15 am","5:58 AM","1:23 PM","02:00 pm","6:34 PM","07:15 pm","8:48 PM","10:15 PM","10:30 pm","01:30 pm"
"26","4:20 AM","05:15 am","5:59 AM","1:23 PM","02:00 pm","6:33 PM","07:15 pm","8:47 PM","10:14 PM","10:30 pm","01:30 pm"
"27","4:21 AM","05:15 am","6:00 AM","1:23 PM","02:00 pm","6:32 PM","07:15 pm","8:46 PM","10:12 PM","10:30 pm","01:30 pm"
"28","4:23 AM","05:15 am","6:01 AM","1:23 PM","02:00 pm","6:32 PM","07:15 pm","8:45 PM","10:11 PM","10:30 pm","01:30 pm"
"29","4:25 AM","05:15 am","6:02 AM","1:23 PM","02:00 pm","6:31 PM","07:15 pm","8:43 PM","10:09 PM","10:30 pm","01:30 pm"
"30","4:26 AM","05:15 am","6:03 AM","1:23 PM","02:00 pm","6:30 PM","07:15 pm","8:42 PM","10:08 PM","10:30 pm","01:30 pm"
"31","4:28 AM","05:15 am","6:04 AM","1:23 PM","02:00 pm","6:30 PM","07:15 pm","8:41 PM","10:06 PM","10:30 pm","01:30 pm"
