"Day","Fajr BEGINS","Fajr IQAMA","Sunrise","Dhuhr BEGINS","Dhuhr IQAMA","Asr BEGINS","Asr IQAMA","Sunset","Isha BEGINS","Isha IQAMA","Jumua IQAMA"
"1","6:06 AM","","7:32 AM","12:07 PM","","3:00 PM","","4:42 PM","6:07 PM","",""
"2","6:07 AM","","7:33 AM","12:07 PM","","2:59 PM","","4:41 PM","6:07 PM","",""
"3","6:08 AM","","7:34 AM","12:08 PM","","2:59 PM","","4:41 PM","6:07 PM","",""
"4","6:09 AM","","7:35 AM","12:08 PM","","2:59 PM","","4:41 PM","6:07 PM","",""
"5","6:10 AM","","7:36 AM","12:09 PM","","2:58 PM","","4:41 PM","6:07 PM","",""
"6","6:11 AM","","7:37 AM","12:09 PM","","2:58 PM","","4:41 PM","6:07 PM","",""
"7","6:12 AM","","7:38 AM","12:09 PM","","2:58 PM","","4:40 PM","6:07 PM","",""
"8","6:13 AM","","7:39 AM","12:10 PM","","2:58 PM","","4:40 PM","6:07 PM","",""
"9","6:14 AM","","7:40 AM","12:10 PM","","2:58 PM","","4:40 PM","6:07 PM","",""
"10","6:14 AM","","7:41 AM","12:11 PM","","2:58 PM","","4:40 PM","6:07 PM","",""
"11","6:15 AM","","7:42 AM","12:11 PM","","2:58 PM","","4:40 PM","6:07 PM","",""
"12","6:16 AM","","7:43 AM","12:12 PM","","2:58 PM","","4:41 PM","6:07 PM","",""
"13","6:17 AM","","7:44 AM","12:12 PM","","2:58 PM","","4:41 PM","6:08 PM","",""
"14","6:17 AM","","7:44 AM","12:13 PM","","2:59 PM","","4:41 PM","6:08 PM","",""
"15","6:18 AM","","7:45 AM","12:13 PM","","2:59 PM","","4:41 PM","6:08 PM","",""
"16","6:19 AM","","7:46 AM","12:14 PM","","2:59 PM","","4:41 PM","6:08 PM","",""
"17","6:19 AM","","7:47 AM","12:14 PM","","2:59 PM","","4:42 PM","6:09 PM","",""
"18","6:20 AM","","7:47 AM","12:15 PM","","3:00 PM","","4:42 PM","6:09 PM","",""
"19","6:21 AM","","7:48 AM","12:15 PM","","3:00 PM","","4:42 PM","6:09 PM","",""
"20","6:21 AM","","7:48 AM","12:16 PM","","3:01 PM","","4:43 PM","6:10 PM","",""
"21","6:22 AM","","7:49 AM","12:16 PM","","3:01 PM","","4:43 PM","6:10 PM","",""
"22","6:22 AM","","7:49 AM","12:17 PM","","3:01 PM","","4:44 PM","6:11 PM","",""
"23","6:23 AM","","7:50 AM","12:17 PM","","3:02 PM","","4:44 PM","6:11 PM","",""
"24","6:23 AM","","7:50 AM","12:18 PM","","3:03 PM","","4:45 PM","6:12 PM","",""
"25","6:24 AM","","7:51 AM","12:18 PM","","3:03 PM","","4:46 PM","6:13 PM","",""
"26","6:24 AM","","7:51 AM","12:19 PM","","3:04 PM","","4:46 PM","6:13 PM","",""
"27","6:24 AM","","7:51 AM","12:19 PM","","3:05 PM","","4:47 PM","6:14 PM","",""
"28","6:25 AM","","7:52 AM","12:20 PM","","3:05 PM","","4:48 PM","6:15 PM","",""
"29","6:25 AM","","7:52 AM","12:20 PM","","3:06 PM","","4:48 PM","6:15 PM","",""
"30","6:25 AM","","7:52 AM","12:21 PM","","3:07 PM","","4:49 PM","6:16 PM","",""
"31","6:25 AM","","7:52 AM","12:21 PM","","3:08 PM","","4:50 PM","6:17 PM","",""
