"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:38 AM","6:45 AM","7:14 AM","1:06 PM","1:45 PM","5:10 PM","5:30 PM","7:00 PM","8:34 PM","8:45 PM","1:50 PM","3:30 PM"
"2","5:39 AM","6:45 AM","7:15 AM","1:06 PM","1:45 PM","5:09 PM","5:30 PM","6:58 PM","8:32 PM","8:45 PM","1:50 PM","3:30 PM"
"3","5:41 AM","6:45 AM","7:16 AM","1:06 PM","1:45 PM","5:07 PM","5:30 PM","6:56 PM","8:30 PM","8:45 PM","1:50 PM","3:30 PM"
"4","5:42 AM","6:45 AM","7:17 AM","1:05 PM","1:45 PM","5:06 PM","5:30 PM","6:54 PM","8:28 PM","8:45 PM","1:50 PM","3:30 PM"
"5","5:43 AM","6:45 AM","7:19 AM","1:05 PM","1:45 PM","5:04 PM","5:30 PM","6:53 PM","8:26 PM","8:45 PM","1:50 PM","3:30 PM"
"6","5:44 AM","6:45 AM","7:20 AM","1:05 PM","1:45 PM","5:03 PM","5:30 PM","6:51 PM","8:24 PM","8:45 PM","1:50 PM","3:30 PM"
"7","5:45 AM","6:45 AM","7:21 AM","1:04 PM","1:45 PM","5:01 PM","5:30 PM","6:49 PM","8:23 PM","8:45 PM","1:50 PM","3:30 PM"
"8","5:47 AM","6:45 AM","7:22 AM","1:04 PM","1:45 PM","4:59 PM","5:30 PM","6:47 PM","8:21 PM","8:45 PM","1:50 PM","3:30 PM"
"9","5:48 AM","6:45 AM","7:23 AM","1:04 PM","1:45 PM","4:58 PM","5:30 PM","6:46 PM","8:19 PM","8:45 PM","1:50 PM","3:30 PM"
"10","5:49 AM","6:45 AM","7:25 AM","1:04 PM","1:45 PM","4:56 PM","5:30 PM","6:44 PM","8:17 PM","8:45 PM","1:50 PM","3:30 PM"
"11","5:50 AM","6:45 AM","7:26 AM","1:03 PM","1:45 PM","4:55 PM","5:10 PM","6:42 PM","8:16 PM","8:25 PM","1:50 PM","3:30 PM"
"12","5:51 AM","6:45 AM","7:27 AM","1:03 PM","1:45 PM","4:53 PM","5:10 PM","6:40 PM","8:14 PM","8:25 PM","1:50 PM","3:30 PM"
"13","5:53 AM","6:45 AM","7:28 AM","1:03 PM","1:45 PM","4:52 PM","5:10 PM","6:39 PM","8:12 PM","8:25 PM","1:50 PM","3:30 PM"
"14","5:54 AM","6:45 AM","7:29 AM","1:03 PM","1:45 PM","4:50 PM","5:10 PM","6:37 PM","8:11 PM","8:25 PM","1:50 PM","3:30 PM"
"15","5:55 AM","6:45 AM","7:31 AM","1:02 PM","1:45 PM","4:48 PM","5:10 PM","6:35 PM","8:09 PM","8:25 PM","1:50 PM","3:30 PM"
"16","5:56 AM","6:45 AM","7:32 AM","1:02 PM","1:45 PM","4:47 PM","5:10 PM","6:34 PM","8:07 PM","8:25 PM","1:50 PM","3:30 PM"
"17","5:57 AM","6:45 AM","7:33 AM","1:02 PM","1:45 PM","4:45 PM","5:10 PM","6:32 PM","8:06 PM","8:25 PM","1:50 PM","3:30 PM"
