"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","4:31 AM","5:20 AM","6:07 AM","1:24 PM","1:50 PM","6:29 PM","7:05 PM","8:40 PM","9:53 PM","10:35 PM","2:10 PM"
"2","4:33 AM","5:35 AM","6:08 AM","1:24 PM","1:50 PM","6:28 PM","6:50 PM","8:38 PM","9:51 PM","10:25 PM","2:10 PM"
"3","4:34 AM","5:35 AM","6:09 AM","1:23 PM","1:50 PM","6:27 PM","6:50 PM","8:37 PM","9:50 PM","10:25 PM","2:10 PM"
"4","4:36 AM","5:35 AM","6:10 AM","1:23 PM","1:50 PM","6:27 PM","6:50 PM","8:36 PM","9:48 PM","10:25 PM","2:10 PM"
"5","4:37 AM","5:35 AM","6:11 AM","1:23 PM","1:50 PM","6:26 PM","6:50 PM","8:35 PM","9:47 PM","10:25 PM","2:10 PM"
"6","4:39 AM","5:35 AM","6:12 AM","1:23 PM","1:50 PM","6:25 PM","6:50 PM","8:33 PM","9:45 PM","10:25 PM","2:10 PM"
"7","4:41 AM","5:35 AM","6:14 AM","1:23 PM","1:50 PM","6:24 PM","6:50 PM","8:32 PM","9:43 PM","10:25 PM","2:10 PM"
"8","4:42 AM","5:35 AM","6:15 AM","1:23 PM","1:50 PM","6:23 PM","6:50 PM","8:31 PM","9:42 PM","10:25 PM","2:10 PM"
"9","4:44 AM","5:35 AM","6:16 AM","1:23 PM","1:50 PM","6:22 PM","6:50 PM","8:29 PM","9:40 PM","10:25 PM","2:10 PM"
"10","4:45 AM","5:35 AM","6:17 AM","1:23 PM","1:50 PM","6:21 PM","6:50 PM","8:28 PM","9:38 PM","10:25 PM","2:10 PM"
"11","4:47 AM","5:35 AM","6:18 AM","1:22 PM","1:50 PM","6:20 PM","6:50 PM","8:26 PM","9:36 PM","10:25 PM","2:10 PM"
"12","4:48 AM","5:45 AM","6:19 AM","1:22 PM","1:50 PM","6:19 PM","6:40 PM","8:25 PM","9:35 PM","10:10 PM","2:10 PM"
"13","4:50 AM","5:45 AM","6:20 AM","1:22 PM","1:50 PM","6:18 PM","6:40 PM","8:23 PM","9:33 PM","10:10 PM","2:10 PM"
"14","4:52 AM","5:45 AM","6:21 AM","1:22 PM","1:50 PM","6:17 PM","6:40 PM","8:22 PM","9:31 PM","10:10 PM","2:10 PM"
"15","4:53 AM","5:45 AM","6:22 AM","1:22 PM","1:50 PM","6:16 PM","6:40 PM","8:20 PM","9:29 PM","10:10 PM","2:10 PM"
"16","4:55 AM","5:45 AM","6:24 AM","1:21 PM","1:50 PM","6:15 PM","6:40 PM","8:19 PM","9:27 PM","10:10 PM","2:10 PM"
"17","4:56 AM","5:45 AM","6:25 AM","1:21 PM","1:50 PM","6:14 PM","6:40 PM","8:17 PM","9:25 PM","10:10 PM","2:10 PM"
"18","4:58 AM","5:45 AM","6:26 AM","1:21 PM","1:50 PM","6:13 PM","6:40 PM","8:16 PM","9:24 PM","10:10 PM","2:10 PM"
"19","4:59 AM","5:45 AM","6:27 AM","1:21 PM","1:50 PM","6:12 PM","6:40 PM","8:14 PM","9:22 PM","10:10 PM","2:10 PM"
"20","5:01 AM","5:45 AM","6:28 AM","1:21 PM","1:50 PM","6:11 PM","6:40 PM","8:12 PM","9:20 PM","10:10 PM","2:10 PM"
"21","5:02 AM","5:45 AM","6:29 AM","1:20 PM","1:50 PM","6:09 PM","6:40 PM","8:11 PM","9:18 PM","10:10 PM","2:10 PM"
"22","5:04 AM","5:55 AM","6:30 AM","1:20 PM","1:50 PM","6:08 PM","6:25 PM","8:09 PM","9:16 PM","9:50 PM","2:10 PM"
"23","5:05 AM","5:55 AM","6:31 AM","1:20 PM","1:50 PM","6:07 PM","6:25 PM","8:07 PM","9:14 PM","9:50 PM","2:10 PM"
"24","5:07 AM","5:55 AM","6:33 AM","1:20 PM","1:50 PM","6:06 PM","6:25 PM","8:06 PM","9:12 PM","9:50 PM","2:10 PM"
"25","5:08 AM","5:55 AM","6:34 AM","1:19 PM","1:50 PM","6:05 PM","6:25 PM","8:04 PM","9:10 PM","9:50 PM","2:10 PM"
"26","5:10 AM","5:55 AM","6:35 AM","1:19 PM","1:50 PM","6:03 PM","6:25 PM","8:02 PM","9:08 PM","9:50 PM","2:10 PM"
"27","5:11 AM","5:55 AM","6:36 AM","1:19 PM","1:50 PM","6:02 PM","6:25 PM","8:01 PM","9:07 PM","9:50 PM","2:10 PM"
"28","5:12 AM","5:55 AM","6:37 AM","1:18 PM","1:50 PM","6:01 PM","6:25 PM","7:59 PM","9:05 PM","9:50 PM","2:10 PM"
"29","5:14 AM","5:55 AM","6:38 AM","1:18 PM","1:50 PM","5:59 PM","6:25 PM","7:57 PM","9:03 PM","9:50 PM","2:10 PM"
"30","5:15 AM","5:55 AM","6:39 AM","1:18 PM","1:50 PM","5:58 PM","6:25 PM","7:55 PM","9:01 PM","9:50 PM","2:10 PM"
"31","5:17 AM","5:55 AM","6:40 AM","1:17 PM","1:50 PM","5:57 PM","6:25 PM","7:54 PM","8:59 PM","9:50 PM","2:10 PM"
