"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:25 AM","6:35 AM","7:51 AM","12:22 PM","1:00 PM","2:34 PM","3:40 PM","4:51 PM","6:00 PM","7:15 PM","1:10 PM"
"2","6:25 AM","6:35 AM","7:51 AM","12:22 PM","1:00 PM","2:34 PM","3:40 PM","4:52 PM","6:01 PM","7:15 PM","1:10 PM"
"3","6:25 AM","6:35 AM","7:51 AM","12:22 PM","1:00 PM","2:34 PM","3:40 PM","4:52 PM","6:01 PM","7:15 PM","1:10 PM"
"4","6:25 AM","6:35 AM","7:51 AM","12:23 PM","1:00 PM","2:36 PM","3:40 PM","4:54 PM","6:03 PM","7:15 PM","1:10 PM"
"5","6:25 AM","6:35 AM","7:51 AM","12:23 PM","1:00 PM","2:37 PM","3:40 PM","4:55 PM","6:04 PM","7:15 PM","1:10 PM"
"6","6:25 AM","6:35 AM","7:51 AM","12:24 PM","1:00 PM","2:38 PM","3:40 PM","4:56 PM","6:05 PM","7:15 PM","1:10 PM"
"7","6:25 AM","6:35 AM","7:51 AM","12:24 PM","1:00 PM","2:39 PM","3:40 PM","4:57 PM","6:06 PM","7:15 PM","1:10 PM"
"8","6:25 AM","6:35 AM","7:50 AM","12:25 PM","1:00 PM","2:40 PM","3:40 PM","4:58 PM","6:07 PM","7:15 PM","1:10 PM"
"9","6:25 AM","6:35 AM","7:50 AM","12:25 PM","1:00 PM","2:41 PM","3:40 PM","4:59 PM","6:08 PM","7:15 PM","1:10 PM"
"10","6:25 AM","6:35 AM","7:50 AM","12:26 PM","1:00 PM","2:42 PM","3:40 PM","5:00 PM","6:09 PM","7:15 PM","1:10 PM"
"11","6:25 AM","6:35 AM","7:50 AM","12:26 PM","1:00 PM","2:43 PM","4:00 PM","5:02 PM","6:10 PM","7:15 PM","1:10 PM"
"12","6:25 AM","6:35 AM","7:49 AM","12:26 PM","1:00 PM","2:44 PM","4:00 PM","5:03 PM","6:11 PM","7:15 PM","1:10 PM"
"13","6:24 AM","6:35 AM","7:49 AM","12:27 PM","1:00 PM","2:45 PM","4:00 PM","5:04 PM","6:12 PM","7:15 PM","1:10 PM"
"14","6:24 AM","6:35 AM","7:48 AM","12:27 PM","1:00 PM","2:46 PM","4:00 PM","5:05 PM","6:13 PM","7:15 PM","1:10 PM"
"15","6:24 AM","6:30 AM","7:48 AM","12:27 PM","1:00 PM","2:47 PM","4:00 PM","5:06 PM","6:14 PM","7:15 PM","1:10 PM"
"16","6:23 AM","6:30 AM","7:47 AM","12:28 PM","1:00 PM","2:48 PM","4:00 PM","5:08 PM","6:15 PM","7:15 PM","1:10 PM"
"17","6:23 AM","6:30 AM","7:47 AM","12:28 PM","1:00 PM","2:48 PM","4:00 PM","5:08 PM","6:15 PM","7:15 PM","1:10 PM"
"18","6:23 AM","6:30 AM","7:47 AM","12:28 PM","1:00 PM","2:49 PM","4:00 PM","5:09 PM","6:16 PM","7:15 PM","1:10 PM"
"19","6:22 AM","6:30 AM","7:46 AM","12:29 PM","1:00 PM","2:51 PM","4:00 PM","5:11 PM","6:18 PM","7:15 PM","1:10 PM"
"20","6:22 AM","6:30 AM","7:45 AM","12:29 PM","1:00 PM","2:53 PM","4:00 PM","5:13 PM","6:19 PM","7:15 PM","1:10 PM"
"21","6:21 AM","6:30 AM","7:44 AM","12:29 PM","1:00 PM","2:54 PM","4:10 PM","5:14 PM","6:21 PM","7:15 PM","1:10 PM"
"22","6:20 AM","6:30 AM","7:44 AM","12:30 PM","1:00 PM","2:55 PM","4:10 PM","5:15 PM","6:22 PM","7:15 PM","1:10 PM"
"23","6:20 AM","6:30 AM","7:43 AM","12:30 PM","1:00 PM","2:56 PM","4:10 PM","5:16 PM","6:23 PM","7:15 PM","1:10 PM"
"24","6:19 AM","6:30 AM","7:42 AM","12:30 PM","1:00 PM","2:57 PM","4:10 PM","5:18 PM","6:24 PM","7:15 PM","1:10 PM"
"25","6:18 AM","6:30 AM","7:41 AM","12:30 PM","1:00 PM","2:58 PM","4:10 PM","5:19 PM","6:25 PM","7:15 PM","1:10 PM"
"26","6:18 AM","6:30 AM","7:40 AM","12:31 PM","1:00 PM","2:59 PM","4:10 PM","5:20 PM","6:26 PM","7:15 PM","1:10 PM"
"27","6:17 AM","6:30 AM","7:39 AM","12:31 PM","1:00 PM","3:00 PM","4:10 PM","5:22 PM","6:28 PM","7:15 PM","1:10 PM"
"28","6:16 AM","6:30 AM","7:38 AM","12:31 PM","1:00 PM","3:02 PM","4:10 PM","5:23 PM","6:29 PM","7:15 PM","1:10 PM"
"29","6:15 AM","6:30 AM","7:37 AM","12:31 PM","1:00 PM","3:03 PM","4:10 PM","5:24 PM","6:30 PM","7:15 PM","1:10 PM"
"30","6:14 AM","6:30 AM","7:36 AM","12:31 PM","1:00 PM","3:04 PM","4:10 PM","5:26 PM","6:31 PM","7:15 PM","1:10 PM"
"31","6:14 AM","6:30 AM","7:35 AM","12:31 PM","1:00 PM","3:05 PM","4:10 PM","5:27 PM","6:32 PM","7:15 PM","1:10 PM"
