"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:34 AM","6:40 AM","7:52 AM","1:02 PM","1:50 PM","3:44 PM","5:10 PM","6:09 PM","7:13 PM","8:10 PM","1:10 PM"
"2","6:35 AM","6:40 AM","7:54 AM","1:02 PM","1:50 PM","3:43 PM","5:10 PM","6:08 PM","7:12 PM","8:10 PM","1:10 PM"
"3","6:36 AM","6:40 AM","7:55 AM","1:02 PM","1:50 PM","3:42 PM","5:10 PM","6:07 PM","7:11 PM","8:10 PM","1:10 PM"
"4","6:37 AM","6:40 AM","7:56 AM","1:02 PM","1:50 PM","3:41 PM","5:10 PM","6:06 PM","7:09 PM","8:10 PM","1:10 PM"
"5","5:38 AM","6:25 AM","6:58 AM","12:02 PM","1:00 PM","2:40 PM","3:40 PM","5:04 PM","6:08 PM","7:10 PM","1:10 PM"
"6","5:39 AM","6:25 AM","6:59 AM","12:02 PM","1:00 PM","2:39 PM","3:40 PM","5:03 PM","6:07 PM","7:10 PM","1:10 PM"
"7","5:41 AM","6:25 AM","7:00 AM","12:02 PM","1:00 PM","2:38 PM","3:40 PM","5:02 PM","6:06 PM","7:15 PM","1:10 PM"
"8","5:41 AM","6:25 AM","7:00 AM","12:02 PM","1:00 PM","2:38 PM","3:40 PM","5:02 PM","6:06 PM","7:15 PM","1:10 PM"
"9","5:43 AM","6:25 AM","7:03 AM","12:02 PM","1:00 PM","2:36 PM","3:40 PM","4:59 PM","6:04 PM","7:15 PM","1:10 PM"
"10","5:44 AM","6:25 AM","7:04 AM","12:02 PM","1:00 PM","2:36 PM","3:40 PM","4:58 PM","6:03 PM","7:15 PM","1:10 PM"
"11","5:45 AM","6:25 AM","7:05 AM","12:02 PM","1:00 PM","2:35 PM","3:40 PM","4:57 PM","6:02 PM","7:15 PM","1:10 PM"
"12","5:46 AM","6:25 AM","7:07 AM","12:02 PM","1:00 PM","2:34 PM","3:40 PM","4:56 PM","6:01 PM","7:15 PM","1:10 PM"
"13","5:47 AM","6:25 AM","7:08 AM","12:02 PM","1:00 PM","2:33 PM","3:40 PM","4:55 PM","6:00 PM","7:15 PM","1:10 PM"
"14","5:49 AM","6:25 AM","7:09 AM","12:02 PM","1:00 PM","2:32 PM","3:40 PM","4:54 PM","5:59 PM","7:15 PM","1:10 PM"
"15","5:50 AM","6:25 AM","7:11 AM","12:03 PM","1:00 PM","2:31 PM","3:40 PM","4:53 PM","5:59 PM","7:15 PM","1:10 PM"
"16","5:51 AM","6:25 AM","7:12 AM","12:03 PM","1:00 PM","2:31 PM","3:40 PM","4:52 PM","5:58 PM","7:15 PM","1:10 PM"
"17","5:52 AM","6:25 AM","7:13 AM","12:03 PM","1:00 PM","2:30 PM","3:40 PM","4:51 PM","5:57 PM","7:15 PM","1:10 PM"
"18","5:53 AM","6:25 AM","7:15 AM","12:03 PM","1:00 PM","2:29 PM","3:40 PM","4:50 PM","5:56 PM","7:15 PM","1:10 PM"
"19","5:54 AM","6:25 AM","7:16 AM","12:03 PM","1:00 PM","2:29 PM","3:40 PM","4:50 PM","5:56 PM","7:15 PM","1:10 PM"
"20","5:55 AM","6:25 AM","7:17 AM","12:04 PM","1:00 PM","2:28 PM","3:40 PM","4:49 PM","5:55 PM","7:15 PM","1:10 PM"
"21","5:56 AM","6:25 AM","7:18 AM","12:04 PM","1:00 PM","2:27 PM","3:40 PM","4:48 PM","5:54 PM","7:15 PM","1:10 PM"
"22","5:56 AM","6:25 AM","7:18 AM","12:04 PM","1:00 PM","2:27 PM","3:40 PM","4:48 PM","5:54 PM","7:15 PM","1:10 PM"
"23","5:57 AM","6:25 AM","7:20 AM","12:04 PM","1:00 PM","2:27 PM","3:40 PM","4:47 PM","5:54 PM","7:15 PM","1:10 PM"
"24","5:59 AM","6:25 AM","7:22 AM","12:05 PM","1:00 PM","2:26 PM","3:40 PM","4:46 PM","5:53 PM","7:15 PM","1:10 PM"
"25","6:00 AM","6:25 AM","7:23 AM","12:05 PM","1:00 PM","2:25 PM","3:40 PM","4:45 PM","5:52 PM","7:15 PM","1:10 PM"
"26","6:02 AM","6:25 AM","7:24 AM","12:05 PM","1:00 PM","2:25 PM","3:40 PM","4:45 PM","5:52 PM","7:15 PM","1:10 PM"
"27","6:03 AM","6:25 AM","7:26 AM","12:06 PM","1:00 PM","2:25 PM","3:40 PM","4:44 PM","5:51 PM","7:15 PM","1:10 PM"
"28","6:04 AM","6:25 AM","7:27 AM","12:06 PM","1:00 PM","2:24 PM","3:40 PM","4:44 PM","5:51 PM","7:15 PM","1:10 PM"
"29","6:05 AM","6:25 AM","7:28 AM","12:06 PM","1:00 PM","2:24 PM","3:40 PM","4:43 PM","5:51 PM","7:15 PM","1:10 PM"
"30","6:06 AM","6:25 AM","7:29 AM","12:07 PM","1:00 PM","2:24 PM","3:40 PM","4:43 PM","5:50 PM","7:15 PM","1:10 PM"
