"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:12 AM","5:50 AM","6:36 AM","12:59 PM","1:15 PM","5:27 PM","5:50 PM","7:22 PM","8:46 PM","8:55 PM","1:30 PM","2:30 PM"
"2","5:10 AM","5:50 AM","6:34 AM","12:59 PM","1:15 PM","5:28 PM","6:00 PM","7:23 PM","8:48 PM","8:55 PM","1:30 PM","2:30 PM"
"3","5:08 AM","5:40 AM","6:32 AM","12:58 PM","1:15 PM","5:29 PM","6:00 PM","7:24 PM","8:49 PM","9:10 PM","1:30 PM","2:30 PM"
"4","5:05 AM","5:40 AM","6:30 AM","12:58 PM","1:15 PM","5:30 PM","6:00 PM","7:26 PM","8:51 PM","9:10 PM","1:30 PM","2:30 PM"
"5","5:03 AM","5:40 AM","6:28 AM","12:58 PM","1:15 PM","5:31 PM","6:00 PM","7:27 PM","8:52 PM","9:10 PM","1:30 PM","2:30 PM"
"6","5:01 AM","5:40 AM","6:27 AM","12:57 PM","1:15 PM","5:31 PM","6:00 PM","7:28 PM","8:54 PM","9:10 PM","1:30 PM","2:30 PM"
"7","4:59 AM","5:40 AM","6:25 AM","12:57 PM","1:15 PM","5:32 PM","6:00 PM","7:29 PM","8:55 PM","9:10 PM","1:30 PM","2:30 PM"
"8","4:57 AM","5:40 AM","6:23 AM","12:57 PM","1:15 PM","5:33 PM","6:00 PM","7:31 PM","8:57 PM","9:10 PM","1:30 PM","2:30 PM"
"9","4:55 AM","5:40 AM","6:21 AM","12:57 PM","1:15 PM","5:34 PM","6:00 PM","7:32 PM","8:59 PM","9:10 PM","1:30 PM","2:30 PM"
"10","4:53 AM","5:30 AM","6:19 AM","12:56 PM","1:15 PM","5:35 PM","6:00 PM","7:33 PM","9:00 PM","9:20 PM","1:30 PM","2:30 PM"
"11","4:50 AM","5:30 AM","6:17 AM","12:56 PM","1:15 PM","5:36 PM","6:00 PM","7:35 PM","9:02 PM","9:20 PM","1:30 PM","2:30 PM"
"12","4:48 AM","5:30 AM","6:16 AM","12:56 PM","1:15 PM","5:37 PM","6:00 PM","7:36 PM","9:03 PM","9:20 PM","1:30 PM","2:30 PM"
"13","4:46 AM","5:30 AM","6:14 AM","12:56 PM","1:15 PM","5:38 PM","6:00 PM","7:37 PM","9:05 PM","9:20 PM","1:30 PM","2:30 PM"
"14","4:44 AM","5:30 AM","6:12 AM","12:55 PM","1:15 PM","5:38 PM","6:00 PM","7:39 PM","9:07 PM","9:20 PM","1:30 PM","2:30 PM"
"15","4:42 AM","5:30 AM","6:10 AM","12:55 PM","1:15 PM","5:39 PM","6:00 PM","7:40 PM","9:08 PM","9:20 PM","1:30 PM","2:30 PM"
"16","4:40 AM","5:30 AM","6:08 AM","12:55 PM","1:15 PM","5:40 PM","6:00 PM","7:41 PM","9:10 PM","9:20 PM","1:30 PM","2:30 PM"
"17","4:38 AM","5:10 AM","6:07 AM","12:55 PM","1:15 PM","5:41 PM","6:10 PM","7:42 PM","9:12 PM","9:30 PM","1:30 PM","2:30 PM"
"18","4:35 AM","5:10 AM","6:05 AM","12:54 PM","1:15 PM","5:42 PM","6:10 PM","7:44 PM","9:13 PM","9:30 PM","1:30 PM","2:30 PM"
"19","4:33 AM","5:10 AM","6:03 AM","12:54 PM","1:15 PM","5:43 PM","6:10 PM","7:45 PM","9:15 PM","9:30 PM","1:30 PM","2:30 PM"
"20","4:31 AM","5:10 AM","6:01 AM","12:54 PM","1:15 PM","5:43 PM","6:10 PM","7:46 PM","9:17 PM","9:30 PM","1:30 PM","2:30 PM"
"21","4:29 AM","5:10 AM","6:00 AM","12:54 PM","1:15 PM","5:44 PM","6:10 PM","7:48 PM","9:18 PM","9:30 PM","1:30 PM","2:30 PM"
"22","4:27 AM","5:10 AM","5:58 AM","12:54 PM","1:15 PM","5:45 PM","6:10 PM","7:49 PM","9:20 PM","9:30 PM","1:30 PM","2:30 PM"
"23","4:25 AM","5:10 AM","5:56 AM","12:53 PM","1:15 PM","5:46 PM","6:10 PM","7:50 PM","9:22 PM","9:30 PM","1:30 PM","2:30 PM"
"24","4:23 AM","5:00 AM","5:55 AM","12:53 PM","1:15 PM","5:47 PM","6:10 PM","7:51 PM","9:24 PM","9:40 PM","1:30 PM","2:30 PM"
"25","4:21 AM","5:00 AM","5:53 AM","12:53 PM","1:15 PM","5:47 PM","6:10 PM","7:53 PM","9:25 PM","9:40 PM","1:30 PM","2:30 PM"
"26","4:18 AM","5:00 AM","5:51 AM","12:53 PM","1:15 PM","5:48 PM","6:10 PM","7:54 PM","9:27 PM","9:40 PM","1:30 PM","2:30 PM"
"27","4:16 AM","5:00 AM","5:50 AM","12:53 PM","1:15 PM","5:49 PM","6:10 PM","7:55 PM","9:29 PM","9:40 PM","1:30 PM","2:30 PM"
"28","4:14 AM","5:00 AM","5:48 AM","12:52 PM","1:15 PM","5:50 PM","6:10 PM","7:57 PM","9:31 PM","9:40 PM","1:30 PM","2:30 PM"
"29","4:12 AM","5:00 AM","5:47 AM","12:52 PM","1:15 PM","5:50 PM","6:10 PM","7:58 PM","9:32 PM","9:40 PM","1:30 PM","2:30 PM"
"30","4:10 AM","5:00 AM","5:45 AM","12:52 PM","1:15 PM","5:51 PM","6:10 PM","7:59 PM","9:34 PM","9:40 PM","1:30 PM","2:30 PM"
