"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:48 AM","6:30 AM","7:15 AM","11:45 AM","1:15 PM","2:30 PM","2:45 PM","4:16 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"2","5:49 AM","6:30 AM","7:16 AM","11:45 AM","1:15 PM","2:30 PM","2:45 PM","4:16 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"3","5:50 AM","6:30 AM","7:17 AM","11:46 AM","1:15 PM","2:29 PM","2:45 PM","4:16 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"4","5:51 AM","6:30 AM","7:18 AM","11:46 AM","1:15 PM","2:29 PM","2:45 PM","4:16 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"5","5:52 AM","6:30 AM","7:19 AM","11:46 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"6","5:52 AM","6:30 AM","7:19 AM","11:46 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"7","5:52 AM","6:30 AM","7:20 AM","11:47 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"8","5:54 AM","6:30 AM","7:22 AM","11:48 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","8:00 PM","12:30 PM","1:30 PM"
"9","5:55 AM","6:30 AM","7:23 AM","11:48 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","7:30 PM","12:30 PM","1:30 PM"
"10","5:56 AM","6:30 AM","7:24 AM","11:49 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","7:30 PM","12:30 PM","1:30 PM"
"11","5:56 AM","6:30 AM","7:25 AM","11:49 AM","1:15 PM","2:29 PM","2:45 PM","4:15 PM","6:07 PM","7:30 PM","12:30 PM","1:30 PM"
