"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:51 AM","6:20 AM","7:15 AM","12:08 PM","1:15 PM","3:18 PM","3:30 PM","5:05 PM","6:26 PM","7:30 PM","12:30 PM","1:30 PM"
"2","5:49 AM","6:20 AM","7:14 AM","12:09 PM","1:15 PM","3:19 PM","3:30 PM","5:06 PM","6:28 PM","8:00 PM","12:30 PM","1:30 PM"
"3","5:48 AM","6:20 AM","7:12 AM","12:09 PM","1:15 PM","3:21 PM","3:30 PM","5:07 PM","6:29 PM","7:30 PM","12:30 PM","1:30 PM"
"4","5:47 AM","6:20 AM","7:11 AM","12:09 PM","1:15 PM","3:22 PM","3:30 PM","5:09 PM","6:30 PM","7:30 PM","12:30 PM","1:30 PM"
"5","5:46 AM","6:20 AM","7:10 AM","12:09 PM","1:15 PM","3:23 PM","3:30 PM","5:10 PM","6:31 PM","7:30 PM","12:30 PM","1:30 PM"
"6","5:45 AM","6:10 AM","7:09 AM","12:09 PM","1:15 PM","3:25 PM","3:40 PM","5:12 PM","6:33 PM","7:30 PM","12:30 PM","1:30 PM"
"7","5:44 AM","6:10 AM","7:07 AM","12:09 PM","1:15 PM","3:26 PM","3:40 PM","5:13 PM","6:34 PM","7:30 PM","12:30 PM","1:30 PM"
"8","5:43 AM","6:10 AM","7:06 AM","12:09 PM","1:15 PM","3:28 PM","3:40 PM","5:15 PM","6:35 PM","7:30 PM","12:30 PM","1:30 PM"
"9","5:41 AM","6:10 AM","7:04 AM","12:09 PM","1:15 PM","3:29 PM","3:40 PM","5:16 PM","6:37 PM","8:00 PM","12:30 PM","1:30 PM"
"10","5:40 AM","6:10 AM","7:03 AM","12:09 PM","1:15 PM","3:30 PM","3:40 PM","5:18 PM","6:38 PM","7:30 PM","12:30 PM","1:30 PM"
"11","5:39 AM","6:10 AM","7:02 AM","12:09 PM","1:15 PM","3:32 PM","3:40 PM","5:19 PM","6:39 PM","7:30 PM","12:30 PM","1:30 PM"
"12","5:37 AM","6:10 AM","7:00 AM","12:09 PM","1:15 PM","3:33 PM","3:40 PM","5:21 PM","6:41 PM","7:30 PM","12:30 PM","1:30 PM"
"13","5:36 AM","6:00 AM","6:59 AM","12:09 PM","1:15 PM","3:35 PM","4:00 PM","5:22 PM","6:42 PM","7:30 PM","12:30 PM","1:30 PM"
"14","5:35 AM","6:00 AM","6:57 AM","12:09 PM","1:15 PM","3:36 PM","4:00 PM","5:24 PM","6:43 PM","7:30 PM","12:30 PM","1:30 PM"
"15","5:33 AM","6:00 AM","6:56 AM","12:09 PM","1:15 PM","3:37 PM","4:00 PM","5:25 PM","6:45 PM","7:30 PM","12:30 PM","1:30 PM"
"16","5:32 AM","6:00 AM","6:54 AM","12:09 PM","1:15 PM","3:39 PM","4:00 PM","5:26 PM","6:46 PM","8:00 PM","12:30 PM","1:30 PM"
"17","5:30 AM","6:00 AM","6:52 AM","12:09 PM","1:15 PM","3:41 PM","4:00 PM","5:28 PM","6:47 PM","7:30 PM","12:30 PM","1:30 PM"
"18","5:29 AM","6:00 AM","6:51 AM","12:09 PM","1:15 PM","3:41 PM","4:00 PM","5:29 PM","6:49 PM","7:30 PM","12:30 PM","1:30 PM"
"19","5:27 AM","6:00 AM","6:49 AM","12:09 PM","1:15 PM","3:43 PM","4:00 PM","5:31 PM","6:50 PM","7:30 PM","12:30 PM","1:30 PM"
"20","5:26 AM","5:50 AM","6:48 AM","12:09 PM","1:15 PM","3:44 PM","4:00 PM","5:32 PM","6:51 PM","7:30 PM","12:30 PM","1:30 PM"
"21","5:24 AM","5:50 AM","6:46 AM","12:08 PM","1:15 PM","3:45 PM","4:00 PM","5:34 PM","6:53 PM","7:30 PM","12:30 PM","1:30 PM"
"22","5:23 AM","5:50 AM","6:44 AM","12:08 PM","1:15 PM","3:46 PM","4:00 PM","5:35 PM","6:54 PM","7:30 PM","12:30 PM","1:30 PM"
"23","5:21 AM","5:50 AM","6:43 AM","12:08 PM","1:15 PM","3:48 PM","4:00 PM","5:36 PM","6:55 PM","8:00 PM","12:30 PM","1:30 PM"
"24","5:19 AM","5:50 AM","6:41 AM","12:08 PM","1:15 PM","3:49 PM","4:00 PM","5:38 PM","6:57 PM","7:30 PM","12:30 PM","1:30 PM"
"25","5:18 AM","5:50 AM","6:39 AM","12:08 PM","1:15 PM","3:50 PM","4:00 PM","5:39 PM","6:58 PM","7:30 PM","12:30 PM","1:30 PM"
"26","5:16 AM","5:50 AM","6:37 AM","12:08 PM","1:15 PM","3:51 PM","4:00 PM","5:42 PM","7:01 PM","7:30 PM","12:30 PM","1:30 PM"
"27","5:14 AM","5:40 AM","6:36 AM","12:07 PM","1:15 PM","3:53 PM","4:10 PM","5:42 PM","7:01 PM","7:30 PM","12:30 PM","1:30 PM"
"28","5:13 AM","5:40 AM","6:34 AM","12:07 PM","1:15 PM","3:54 PM","4:10 PM","5:43 PM","7:02 PM","7:30 PM","12:30 PM","1:30 PM"
"29","5:13 AM","5:40 AM","6:34 AM","12:07 PM","1:15 PM","3:54 PM","4:10 PM","5:43 PM","7:02 PM","7:30 PM","12:30 PM","1:30 PM"
