"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:05 AM","6:30 AM","7:34 AM","11:58 AM","1:15 PM","2:39 PM","2:45 PM","4:25 PM","5:52 PM","7:30 PM","12:30 PM","1:30 PM"
"2","6:05 AM","6:30 AM","7:34 AM","11:59 AM","1:15 PM","2:40 PM","3:00 PM","4:26 PM","5:53 PM","7:30 PM","12:30 PM","1:30 PM"
"3","6:05 AM","6:30 AM","7:34 AM","11:59 AM","1:15 PM","2:41 PM","3:00 PM","4:27 PM","5:54 PM","7:30 PM","12:30 PM","1:30 PM"
"4","6:05 AM","6:30 AM","7:34 AM","12:00 PM","1:15 PM","2:42 PM","3:00 PM","4:28 PM","5:54 PM","7:30 PM","12:30 PM","1:30 PM"
"5","6:05 AM","6:30 AM","7:34 AM","12:00 PM","1:15 PM","2:43 PM","3:00 PM","4:29 PM","5:55 PM","7:30 PM","12:30 PM","1:30 PM"
"6","6:05 AM","6:30 AM","7:34 AM","12:01 PM","1:15 PM","2:44 PM","3:00 PM","4:30 PM","5:56 PM","7:30 PM","12:30 PM","1:30 PM"
"7","6:05 AM","6:30 AM","7:33 AM","12:01 PM","1:15 PM","2:45 PM","3:00 PM","4:31 PM","5:57 PM","7:30 PM","12:30 PM","1:30 PM"
"8","6:05 AM","6:30 AM","7:33 AM","12:02 PM","1:15 PM","2:46 PM","3:00 PM","4:32 PM","5:58 PM","7:30 PM","12:30 PM","1:30 PM"
"9","6:05 AM","6:30 AM","7:33 AM","12:02 PM","1:15 PM","2:47 PM","3:20 PM","4:34 PM","5:59 PM","7:30 PM","12:30 PM","1:30 PM"
"10","6:05 AM","6:30 AM","7:32 AM","12:02 PM","1:15 PM","2:49 PM","3:20 PM","4:35 PM","6:00 PM","7:30 PM","12:30 PM","1:30 PM"
"11","6:04 AM","6:30 AM","7:32 AM","12:03 PM","1:15 PM","2:50 PM","3:20 PM","4:36 PM","6:01 PM","7:30 PM","12:30 PM","1:30 PM"
"12","6:04 AM","6:30 AM","7:32 AM","12:03 PM","1:15 PM","2:51 PM","3:20 PM","4:37 PM","6:02 PM","7:30 PM","12:30 PM","1:30 PM"
"13","6:04 AM","6:30 AM","7:31 AM","12:04 PM","1:15 PM","2:52 PM","3:20 PM","4:38 PM","6:03 PM","7:30 PM","12:30 PM","1:30 PM"
"14","6:03 AM","6:30 AM","7:31 AM","12:04 PM","1:15 PM","2:53 PM","3:20 PM","4:40 PM","6:05 PM","7:30 PM","12:30 PM","1:30 PM"
"15","6:03 AM","6:30 AM","7:30 AM","12:04 PM","1:15 PM","2:55 PM","3:20 PM","4:41 PM","6:06 PM","7:30 PM","12:30 PM","1:30 PM"
