"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:13 AM","6:50 AM","7:35 AM","12:39 PM","1:15 PM","3:57 PM","4:10 PM","5:45 PM","7:03 PM","7:30 PM","1:30 PM","2:30 PM"
"2","6:15 AM","6:50 AM","7:36 AM","12:39 PM","1:15 PM","3:56 PM","4:10 PM","5:43 PM","7:03 PM","7:30 PM","1:30 PM","2:30 PM"
"3","6:16 AM","6:50 AM","7:37 AM","12:39 PM","1:15 PM","3:54 PM","4:10 PM","5:42 PM","7:02 PM","7:30 PM","1:30 PM","2:30 PM"
"4","6:17 AM","6:50 AM","7:39 AM","12:39 PM","1:15 PM","3:53 PM","4:10 PM","5:41 PM","7:01 PM","7:30 PM","1:30 PM","2:30 PM"
"5","6:18 AM","6:50 AM","7:40 AM","11:39 PM","1:15 PM","3:52 PM","3:15 PM","5:39 PM","7:00 PM","7:30 PM","12:30 PM","1:30 PM"
"6","5:20 AM","6:00 AM","6:42 AM","11:39 AM","1:15 PM","2:50 PM","3:15 PM","4:38 PM","5:59 PM","7:30 PM","12:30 PM","1:30 PM"
"7","5:20 AM","6:00 AM","6:42 AM","11:39 AM","1:15 PM","2:50 PM","3:15 PM","4:38 PM","5:59 PM","7:30 PM","12:30 PM","1:30 PM"
"8","5:22 AM","6:00 AM","6:45 AM","11:39 AM","1:15 PM","2:48 PM","3:15 PM","4:35 PM","5:57 PM","7:30 PM","12:30 PM","1:30 PM"
"9","5:23 AM","6:00 AM","6:46 AM","11:39 AM","1:15 PM","2:47 PM","3:15 PM","4:34 PM","5:55 PM","7:30 PM","12:30 PM","1:30 PM"
"10","5:24 AM","6:00 AM","6:47 AM","11:39 AM","1:15 PM","2:46 PM","3:15 PM","4:33 PM","5:54 PM","7:30 PM","12:30 PM","1:30 PM"
"11","5:26 AM","6:00 AM","6:49 AM","11:40 AM","1:15 PM","2:45 PM","3:15 PM","4:32 PM","5:54 PM","7:30 PM","12:30 PM","1:30 PM"
"12","5:27 AM","6:00 AM","6:50 AM","11:40 AM","1:15 PM","2:44 PM","3:15 PM","4:31 PM","5:53 PM","7:30 PM","12:30 PM","1:30 PM"
"13","5:28 AM","6:00 AM","6:51 AM","11:40 AM","1:15 PM","2:42 PM","3:15 PM","4:30 PM","5:52 PM","7:30 PM","12:30 PM","1:30 PM"
"14","5:29 AM","6:00 AM","6:53 AM","11:40 AM","1:15 PM","2:41 PM","3:00 PM","4:29 PM","5:51 PM","7:30 PM","12:30 PM","1:30 PM"
"15","5:30 AM","6:10 AM","6:54 AM","11:40 AM","1:15 PM","2:40 PM","3:00 PM","4:28 PM","5:50 PM","7:30 PM","12:30 PM","1:30 PM"
"16","5:31 AM","6:10 AM","6:56 AM","11:40 AM","1:15 PM","2:40 PM","3:00 PM","4:27 PM","5:49 PM","7:30 PM","12:30 PM","1:30 PM"
"17","5:33 AM","6:10 AM","6:57 AM","11:40 AM","1:15 PM","2:39 PM","3:00 PM","4:26 PM","5:48 PM","7:30 PM","12:30 PM","1:30 PM"
"18","5:34 AM","6:10 AM","6:58 AM","11:41 AM","1:15 PM","2:38 PM","3:00 PM","4:25 PM","5:48 PM","7:30 PM","12:30 PM","1:30 PM"
"19","5:35 AM","6:10 AM","7:00 AM","11:41 AM","1:15 PM","2:37 PM","3:00 PM","4:24 PM","5:47 PM","7:30 PM","12:30 PM","1:30 PM"
"20","5:36 AM","6:10 AM","7:01 AM","11:41 AM","1:15 PM","2:36 PM","3:00 PM","4:23 PM","5:46 PM","7:30 PM","12:30 PM","1:30 PM"
"21","5:36 AM","6:10 AM","7:01 AM","11:41 AM","1:15 PM","2:36 PM","2:45 PM","4:23 PM","5:46 PM","7:30 PM","12:30 PM","1:30 PM"
"22","5:37 AM","6:20 AM","7:02 AM","11:42 AM","1:15 PM","2:35 PM","2:45 PM","4:22 PM","5:46 PM","7:30 PM","12:30 PM","1:30 PM"
"23","5:39 AM","6:20 AM","7:05 AM","11:42 AM","1:15 PM","2:34 PM","2:45 PM","4:21 PM","5:45 PM","7:30 PM","12:30 PM","1:30 PM"
"24","5:40 AM","6:20 AM","7:06 AM","11:43 AM","1:15 PM","2:33 PM","2:45 PM","4:20 PM","5:44 PM","7:30 PM","12:30 PM","1:30 PM"
"25","5:42 AM","6:20 AM","7:07 AM","11:43 AM","1:15 PM","2:33 PM","2:45 PM","4:19 PM","5:44 PM","7:30 PM","12:30 PM","1:30 PM"
"26","5:43 AM","6:20 AM","7:09 AM","11:43 AM","1:15 PM","2:32 PM","2:45 PM","4:19 PM","5:43 PM","7:30 PM","12:30 PM","1:30 PM"
"27","5:44 AM","6:20 AM","7:10 AM","11:43 AM","1:15 PM","2:32 PM","2:45 PM","4:18 PM","5:43 PM","7:30 PM","12:30 PM","1:30 PM"
"28","5:45 AM","6:20 AM","7:11 AM","11:44 AM","1:15 PM","2:31 PM","2:45 PM","4:18 PM","5:43 PM","7:30 PM","12:30 PM","1:30 PM"
"29","5:46 AM","6:30 AM","7:12 AM","11:44 AM","1:15 PM","2:31 PM","2:45 PM","4:17 PM","5:42 PM","7:30 PM","12:30 PM","1:30 PM"
"30","5:47 AM","6:30 AM","7:14 AM","11:44 AM","1:15 PM","2:30 PM","2:45 PM","4:17 PM","5:42 PM","7:30 PM","12:30 PM","1:30 PM"
