"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:34 AM","6:00 AM","6:53 AM","12:45 PM","1:15 PM","4:46 PM","5:30 PM","6:38 PM","7:56 PM","8:40 PM","1:30 PM","2:30 PM"
"2","5:35 AM","6:00 AM","6:54 AM","12:45 PM","1:15 PM","4:44 PM","5:30 PM","6:36 PM","7:54 PM","8:40 PM","1:30 PM","2:30 PM"
"3","5:36 AM","6:10 AM","6:56 AM","12:44 PM","1:15 PM","4:43 PM","5:20 PM","6:34 PM","7:52 PM","8:30 PM","1:30 PM","2:30 PM"
"4","5:38 AM","6:10 AM","6:57 AM","12:44 PM","1:15 PM","4:41 PM","5:20 PM","6:32 PM","7:50 PM","8:30 PM","1:30 PM","2:30 PM"
"5","5:39 AM","6:10 AM","6:58 AM","12:44 PM","1:15 PM","4:39 PM","5:20 PM","6:30 PM","7:48 PM","8:30 PM","1:30 PM","2:30 PM"
"6","5:40 AM","6:10 AM","6:59 AM","12:43 PM","1:15 PM","4:38 PM","5:20 PM","6:28 PM","7:46 PM","8:30 PM","1:30 PM","2:30 PM"
"7","5:42 AM","6:10 AM","7:01 AM","12:43 PM","1:15 PM","4:36 PM","5:20 PM","6:26 PM","7:44 PM","8:30 PM","1:30 PM","2:30 PM"
"8","5:43 AM","6:10 AM","7:02 AM","12:43 PM","1:15 PM","4:34 PM","5:20 PM","6:25 PM","7:42 PM","8:30 PM","1:30 PM","2:30 PM"
"9","5:44 AM","6:10 AM","7:03 AM","12:43 PM","1:15 PM","4:33 PM","5:20 PM","6:23 PM","7:41 PM","8:30 PM","1:30 PM","2:30 PM"
"10","5:45 AM","6:20 AM","7:05 AM","12:42 PM","1:15 PM","4:31 PM","5:10 PM","6:21 PM","7:39 PM","8:20 PM","1:30 PM","2:30 PM"
"11","5:47 AM","6:20 AM","7:06 AM","12:42 PM","1:15 PM","4:29 PM","5:10 PM","6:19 PM","7:37 PM","8:20 PM","1:30 PM","2:30 PM"
"12","5:48 AM","6:20 AM","7:07 AM","12:42 PM","1:15 PM","4:28 PM","5:10 PM","6:17 PM","7:35 PM","8:20 PM","1:30 PM","2:30 PM"
"13","5:49 AM","6:20 AM","7:08 AM","12:42 PM","1:15 PM","4:26 PM","5:10 PM","6:16 PM","7:34 PM","8:20 PM","1:30 PM","2:30 PM"
"14","5:50 AM","6:20 AM","7:10 AM","12:41 PM","1:15 PM","4:24 PM","5:10 PM","6:14 PM","7:32 PM","8:20 PM","1:30 PM","2:30 PM"
"15","5:52 AM","6:20 AM","7:11 AM","12:41 PM","1:15 PM","4:23 PM","5:10 PM","6:12 PM","7:30 PM","8:20 PM","1:30 PM","2:30 PM"
"16","5:53 AM","6:20 AM","7:12 AM","12:41 PM","1:15 PM","4:21 PM","5:10 PM","6:10 PM","7:28 PM","8:20 PM","1:30 PM","2:30 PM"
"17","5:54 AM","6:30 AM","7:14 AM","12:41 PM","1:15 PM","4:20 PM","5:00 PM","6:09 PM","7:27 PM","8:00 PM","1:30 PM","2:30 PM"
"18","5:56 AM","6:30 AM","7:15 AM","12:41 PM","1:15 PM","4:18 PM","5:00 PM","6:07 PM","7:25 PM","8:00 PM","1:30 PM","2:30 PM"
"19","5:57 AM","6:30 AM","7:16 AM","12:40 PM","1:15 PM","4:16 PM","5:00 PM","6:05 PM","7:23 PM","8:00 PM","1:30 PM","2:30 PM"
"20","5:58 AM","6:30 AM","7:18 AM","12:40 PM","1:15 PM","4:15 PM","5:00 PM","6:03 PM","7:22 PM","8:00 PM","1:30 PM","2:30 PM"
