"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:59 AM","6:45 AM","7:35 AM","12:15 PM","1:45 PM","3:04 PM","3:45 PM","4:49 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"2","6:00 AM","6:45 AM","7:36 AM","12:15 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"3","6:01 AM","6:45 AM","7:37 AM","12:16 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"4","6:02 AM","6:45 AM","7:38 AM","12:16 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"5","6:03 AM","6:45 AM","7:39 AM","12:17 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"6","6:03 AM","6:45 AM","7:40 AM","12:17 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"7","6:04 AM","6:45 AM","7:41 AM","12:17 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"8","6:05 AM","6:45 AM","7:42 AM","12:18 PM","1:45 PM","3:02 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"9","6:06 AM","6:45 AM","7:43 AM","12:18 PM","1:45 PM","3:02 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"10","6:07 AM","6:45 AM","7:44 AM","12:19 PM","1:45 PM","3:02 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"11","6:08 AM","6:45 AM","7:44 AM","12:19 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"12","6:08 AM","6:45 AM","7:45 AM","12:20 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"13","6:09 AM","6:45 AM","7:46 AM","12:20 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:19 PM","7:00 PM","1:35 PM","2:50 PM"
"14","6:10 AM","6:45 AM","7:47 AM","12:21 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:19 PM","7:00 PM","1:35 PM","2:50 PM"
"15","6:10 AM","6:45 AM","7:48 AM","12:21 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:19 PM","7:00 PM","1:35 PM","2:50 PM"
"16","6:11 AM","6:45 AM","7:48 AM","12:22 PM","1:45 PM","3:03 PM","3:45 PM","4:48 PM","6:20 PM","7:00 PM","1:35 PM","2:50 PM"
"17","6:12 AM","6:45 AM","7:49 AM","12:22 PM","1:45 PM","3:04 PM","3:45 PM","4:49 PM","6:20 PM","7:00 PM","1:35 PM","2:50 PM"
"18","6:12 AM","6:45 AM","7:49 AM","12:23 PM","1:45 PM","3:04 PM","3:45 PM","4:49 PM","6:21 PM","7:00 PM","1:35 PM","2:50 PM"
"19","6:13 AM","6:45 AM","7:50 AM","12:23 PM","1:45 PM","3:04 PM","3:45 PM","4:50 PM","6:22 PM","7:00 PM","1:35 PM","2:50 PM"
"20","6:13 AM","6:45 AM","7:51 AM","12:24 PM","1:45 PM","3:05 PM","3:45 PM","4:50 PM","6:22 PM","7:00 PM","1:35 PM","2:50 PM"
"21","6:13 AM","6:45 AM","7:51 AM","12:24 PM","1:45 PM","3:05 PM","3:45 PM","4:51 PM","6:23 PM","7:00 PM","1:35 PM","2:50 PM"
"22","6:14 AM","6:45 AM","7:52 AM","12:25 PM","1:45 PM","3:06 PM","3:45 PM","4:51 PM","6:24 PM","7:00 PM","1:35 PM","2:50 PM"
"23","6:15 AM","6:45 AM","7:52 AM","12:25 PM","1:45 PM","3:06 PM","3:45 PM","4:52 PM","6:24 PM","7:00 PM","1:35 PM","2:50 PM"
"24","6:15 AM","6:45 AM","7:52 AM","12:26 PM","1:45 PM","3:07 PM","3:45 PM","4:52 PM","6:25 PM","7:00 PM","1:35 PM","2:50 PM"
"25","6:15 AM","6:45 AM","7:53 AM","12:26 PM","1:45 PM","3:08 PM","3:45 PM","4:53 PM","6:25 PM","7:00 PM","1:35 PM","2:50 PM"
"26","6:16 AM","6:45 AM","7:53 AM","12:27 PM","1:45 PM","3:08 PM","3:45 PM","4:54 PM","6:26 PM","7:00 PM","1:35 PM","2:50 PM"
"27","6:16 AM","6:45 AM","7:53 AM","12:27 PM","1:45 PM","3:09 PM","3:45 PM","4:54 PM","6:26 PM","7:00 PM","1:35 PM","2:50 PM"
"28","6:17 AM","6:45 AM","7:54 AM","12:28 PM","1:45 PM","3:10 PM","3:45 PM","4:55 PM","6:27 PM","7:00 PM","1:35 PM","2:50 PM"
"29","6:17 AM","6:45 AM","7:54 AM","12:28 PM","1:45 PM","3:10 PM","3:45 PM","4:56 PM","6:27 PM","7:00 PM","1:35 PM","2:50 PM"
"30","6:17 AM","6:45 AM","7:54 AM","12:29 PM","1:45 PM","3:11 PM","3:45 PM","4:57 PM","6:28 PM","7:00 PM","1:35 PM","2:50 PM"
"31","6:16 AM","6:45 AM","7:54 AM","12:24 PM","1:45 PM","3:12 PM","3:45 PM","4:58 PM","6:28 PM","7:00 PM","1:35 PM","2:50 PM"
