"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","6:17 AM","6:45 AM","7:54 AM","12:30 PM","1:45 PM","3:13 PM","3:45 PM","4:59 PM","6:28 PM","7:00 PM","1:35 PM","2:50 PM"
"2","6:18 AM","6:45 AM","7:54 AM","12:30 PM","1:45 PM","3:14 PM","3:45 PM","5:00 PM","6:29 PM","7:00 PM","1:35 PM","2:50 PM"
"3","6:18 AM","6:45 AM","7:54 AM","12:31 PM","1:45 PM","3:15 PM","3:45 PM","5:01 PM","6:30 PM","7:00 PM","1:35 PM","2:50 PM"
"4","6:18 AM","6:45 AM","7:54 AM","12:31 PM","1:45 PM","3:16 PM","3:45 PM","5:02 PM","6:31 PM","7:00 PM","1:35 PM","2:50 PM"
"5","6:18 AM","6:45 AM","7:54 AM","12:31 PM","1:45 PM","3:17 PM","3:45 PM","5:03 PM","6:31 PM","7:00 PM","1:35 PM","2:50 PM"
"6","6:18 AM","6:45 AM","7:54 AM","12:32 PM","1:45 PM","3:18 PM","3:45 PM","5:04 PM","6:32 PM","7:00 PM","1:35 PM","2:50 PM"
"7","6:18 AM","6:45 AM","7:54 AM","12:32 PM","1:45 PM","3:19 PM","3:45 PM","5:05 PM","6:33 PM","7:00 PM","1:35 PM","2:50 PM"
"8","6:18 AM","6:45 AM","7:54 AM","12:33 PM","1:45 PM","3:20 PM","3:45 PM","5:06 PM","6:34 PM","7:00 PM","1:35 PM","2:50 PM"
"9","6:17 AM","6:45 AM","7:54 AM","12:33 PM","1:45 PM","3:21 PM","3:45 PM","5:07 PM","6:35 PM","7:00 PM","1:35 PM","2:50 PM"
"10","6:17 AM","6:45 AM","7:53 AM","12:34 PM","1:45 PM","3:22 PM","3:45 PM","5:08 PM","6:36 PM","7:00 PM","1:35 PM","2:50 PM"
"11","6:17 AM","6:45 AM","7:53 AM","12:34 PM","1:45 PM","3:23 PM","3:45 PM","5:09 PM","6:36 PM","7:00 PM","1:35 PM","2:50 PM"
"12","6:17 AM","6:45 AM","7:53 AM","12:34 PM","1:45 PM","3:24 PM","3:45 PM","5:10 PM","6:37 PM","7:00 PM","1:35 PM","2:50 PM"
"13","6:16 AM","6:45 AM","7:52 AM","12:35 PM","1:45 PM","3:25 PM","3:45 PM","5:12 PM","6:38 PM","7:00 PM","1:35 PM","2:50 PM"
"14","6:16 AM","6:45 AM","7:52 AM","12:35 PM","1:45 PM","3:26 PM","3:45 PM","5:13 PM","6:39 PM","7:00 PM","1:35 PM","2:50 PM"
"15","6:16 AM","6:45 AM","7:51 AM","12:35 PM","1:45 PM","3:28 PM","3:45 PM","5:14 PM","6:40 PM","7:00 PM","1:35 PM","2:50 PM"
"16","6:15 AM","6:45 AM","7:51 AM","12:36 PM","1:45 PM","3:29 PM","3:45 PM","5:15 PM","6:41 PM","7:00 PM","1:35 PM","2:50 PM"
"17","6:15 AM","6:45 AM","7:50 AM","12:36 PM","1:45 PM","3:30 PM","3:45 PM","5:16 PM","6:42 PM","7:00 PM","1:35 PM","2:50 PM"
"18","6:14 AM","6:45 AM","7:50 AM","12:36 PM","1:45 PM","3:31 PM","3:45 PM","5:18 PM","6:43 PM","7:00 PM","1:35 PM","2:50 PM"
"19","6:14 AM","6:45 AM","7:49 AM","12:37 PM","1:45 PM","3:33 PM","3:45 PM","5:19 PM","6:44 PM","7:00 PM","1:35 PM","2:50 PM"
"20","6:13 AM","6:45 AM","7:48 AM","12:37 PM","1:45 PM","3:34 PM","4:00 PM","5:20 PM","6:45 PM","7:00 PM","1:35 PM","2:50 PM"
"21","6:13 AM","6:45 AM","7:48 AM","12:37 PM","1:45 PM","3:35 PM","4:00 PM","5:22 PM","6:46 PM","7:00 PM","1:35 PM","2:50 PM"
"22","6:12 AM","6:45 AM","7:47 AM","12:38 PM","1:45 PM","3:36 PM","4:00 PM","5:23 PM","6:48 PM","7:00 PM","1:35 PM","2:50 PM"
"23","6:11 AM","6:45 AM","7:46 AM","12:38 PM","1:45 PM","3:38 PM","4:00 PM","5:24 PM","6:49 PM","7:00 PM","1:35 PM","2:50 PM"
"24","6:11 AM","6:45 AM","7:45 AM","12:38 PM","1:45 PM","3:39 PM","4:00 PM","5:26 PM","6:50 PM","7:00 PM","1:35 PM","2:50 PM"
"25","6:10 AM","6:45 AM","7:45 AM","12:38 PM","1:45 PM","3:40 PM","4:00 PM","5:27 PM","6:51 PM","7:00 PM","1:35 PM","2:50 PM"
"26","6:09 AM","6:45 AM","7:44 AM","12:39 PM","1:45 PM","3:41 PM","4:00 PM","5:28 PM","6:52 PM","7:00 PM","1:35 PM","2:50 PM"
"27","6:08 AM","6:45 AM","7:43 AM","12:39 PM","1:45 PM","3:43 PM","4:00 PM","5:30 PM","6:53 PM","7:00 PM","1:35 PM","3:35 PM"
"28","6:07 AM","6:45 AM","7:42 AM","12:39 PM","1:45 PM","3:44 PM","4:00 PM","5:31 PM","6:54 PM","7:00 PM","1:35 PM","3:35 PM"
"29","6:06 AM","6:45 AM","7:41 AM","12:39 PM","1:45 PM","3:45 PM","4:00 PM","5:32 PM","6:55 PM","7:00 PM","1:35 PM","3:35 PM"
"30","6:06 AM","6:45 AM","7:40 AM","12:39 PM","1:45 PM","3:47 PM","4:00 PM","5:34 PM","6:56 PM","7:15 PM","1:35 PM","3:35 PM"
"31","6:05 AM","6:45 AM","7:39 AM","12:39 PM","1:45 PM","3:48 PM","4:00 PM","5:35 PM","6:58 PM","7:15 PM","1:35 PM","3:35 PM"
