"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","3:55 AM","4:15 AM","5:43 AM","1:24 PM","1:45 PM","6:35 PM","7:45 PM","8:58 PM","10:08 PM","10:30 PM","1:35 PM","3:35 PM"
"2","3:54 AM","4:15 AM","5:42 AM","1:24 PM","1:45 PM","6:36 PM","7:45 PM","8:59 PM","10:09 PM","10:30 PM","1:35 PM","3:35 PM"
"3","3:53 AM","4:15 AM","5:42 AM","1:24 PM","1:45 PM","6:36 PM","7:45 PM","9:00 PM","10:10 PM","10:30 PM","1:35 PM","3:35 PM"
"4","3:53 AM","5:00 AM","5:41 AM","1:24 PM","1:45 PM","6:37 PM","7:00 PM","9:00 PM","10:11 PM","10:30 PM","1:35 PM","3:35 PM"
"5","3:52 AM","5:00 AM","5:41 AM","1:25 PM","1:45 PM","6:37 PM","7:00 PM","9:01 PM","10:12 PM","10:30 PM","1:35 PM","3:35 PM"
"6","3:52 AM","5:00 AM","5:41 AM","1:25 PM","1:45 PM","6:38 PM","7:00 PM","9:02 PM","10:13 PM","10:30 PM","1:35 PM","3:35 PM"
"7","3:51 AM","5:00 AM","5:40 AM","1:25 PM","1:45 PM","6:38 PM","7:00 PM","9:03 PM","10:14 PM","10:30 PM","1:35 PM","3:35 PM"
"8","3:50 AM","5:00 AM","5:40 AM","1:25 PM","1:45 PM","6:39 PM","7:00 PM","9:03 PM","10:15 PM","10:30 PM","1:35 PM","3:35 PM"
"9","3:50 AM","5:00 AM","5:40 AM","1:25 PM","1:45 PM","6:39 PM","7:00 PM","9:04 PM","10:16 PM","10:30 PM","1:35 PM","3:35 PM"
"10","3:50 AM","5:00 AM","5:40 AM","1:25 PM","1:45 PM","6:39 PM","7:00 PM","9:04 PM","10:16 PM","10:30 PM","1:35 PM","3:35 PM"
"11","3:49 AM","5:00 AM","5:40 AM","1:26 PM","1:45 PM","6:40 PM","7:00 PM","9:05 PM","10:17 PM","10:30 PM","1:35 PM","3:35 PM"
"12","3:49 AM","5:00 AM","5:39 AM","1:26 PM","1:45 PM","6:40 PM","7:00 PM","9:05 PM","10:18 PM","10:30 PM","1:35 PM","3:35 PM"
"13","3:48 AM","5:00 AM","5:39 AM","1:26 PM","1:45 PM","6:41 PM","7:00 PM","9:06 PM","10:19 PM","10:30 PM","1:35 PM","3:35 PM"
"14","3:48 AM","5:00 AM","5:39 AM","1:26 PM","1:45 PM","6:41 PM","7:00 PM","9:06 PM","10:19 PM","10:30 PM","1:35 PM","3:35 PM"
"15","3:48 AM","5:00 AM","5:39 AM","1:27 PM","1:45 PM","6:41 PM","7:00 PM","9:07 PM","10:20 PM","10:30 PM","1:35 PM","3:35 PM"
"16","3:48 AM","5:00 AM","5:39 AM","1:27 PM","1:45 PM","6:42 PM","7:00 PM","9:07 PM","10:21 PM","10:30 PM","1:35 PM","3:35 PM"
"17","3:48 AM","5:00 AM","5:40 AM","1:27 PM","1:45 PM","6:42 PM","7:00 PM","9:08 PM","10:22 PM","10:30 PM","1:35 PM","3:35 PM"
"18","3:47 AM","5:00 AM","5:40 AM","1:27 PM","1:45 PM","6:42 PM","7:00 PM","9:08 PM","10:23 PM","10:30 PM","1:35 PM","3:35 PM"
"19","3:47 AM","5:00 AM","5:40 AM","1:27 PM","1:45 PM","6:42 PM","7:00 PM","9:08 PM","10:24 PM","10:30 PM","1:35 PM","3:35 PM"
"20","3:47 AM","5:00 AM","5:40 AM","1:28 PM","1:45 PM","6:43 PM","7:00 PM","9:09 PM","10:25 PM","10:30 PM","1:35 PM","3:35 PM"
"21","3:47 AM","5:00 AM","5:40 AM","1:28 PM","1:45 PM","6:43 PM","7:00 PM","9:09 PM","10:25 PM","10:30 PM","1:35 PM","3:35 PM"
"22","3:48 AM","5:00 AM","5:40 AM","1:28 PM","1:45 PM","6:43 PM","7:00 PM","9:09 PM","10:26 PM","10:30 PM","1:35 PM","3:35 PM"
"23","3:48 AM","5:00 AM","5:41 AM","1:28 PM","1:45 PM","6:43 PM","7:00 PM","9:09 PM","10:26 PM","10:30 PM","1:35 PM","3:35 PM"
"24","3:49 AM","5:00 AM","5:41 AM","1:28 PM","1:45 PM","6:43 PM","7:00 PM","9:09 PM","10:26 PM","10:30 PM","1:35 PM","3:35 PM"
"25","3:49 AM","5:00 AM","5:41 AM","1:29 PM","1:45 PM","6:44 PM","7:00 PM","9:09 PM","10:25 PM","10:30 PM","1:35 PM","3:35 PM"
"26","3:50 AM","5:00 AM","5:42 AM","1:29 PM","1:45 PM","6:44 PM","7:00 PM","9:09 PM","10:25 PM","10:30 PM","1:35 PM","3:35 PM"
"27","3:51 AM","5:00 AM","5:42 AM","1:29 PM","1:45 PM","6:44 PM","7:00 PM","9:09 PM","10:25 PM","10:30 PM","1:35 PM","3:35 PM"
"28","3:51 AM","5:00 AM","5:43 AM","1:29 PM","1:45 PM","6:44 PM","7:00 PM","9:09 PM","10:24 PM","10:30 PM","1:35 PM","3:35 PM"
"29","3:52 AM","5:00 AM","5:43 AM","1:30 PM","1:45 PM","6:44 PM","7:00 PM","9:09 PM","10:24 PM","10:30 PM","1:35 PM","3:35 PM"
"30","3:53 AM","5:00 AM","5:44 AM","1:30 PM","1:45 PM","6:44 PM","7:00 PM","9:09 PM","10:24 PM","10:30 PM","1:35 PM","3:35 PM"
