"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:48 AM","6:45 AM","7:19 AM","1:16 PM","1:45 PM","5:15 PM","5:45 PM","7:05 PM","8:20 PM","8:45 PM","1:35 PM","3:35 PM"
"2","5:49 AM","6:45 AM","7:20 AM","1:15 PM","1:45 PM","5:14 PM","5:45 PM","7:03 PM","8:18 PM","8:45 PM","1:35 PM","3:35 PM"
"3","5:50 AM","6:45 AM","7:21 AM","1:15 PM","1:45 PM","5:12 PM","5:45 PM","7:01 PM","8:17 PM","8:45 PM","1:35 PM","3:35 PM"
"4","5:51 AM","6:45 AM","7:23 AM","1:15 PM","1:45 PM","5:11 PM","5:45 PM","7:00 PM","8:15 PM","8:45 PM","1:35 PM","3:35 PM"
"5","5:52 AM","6:45 AM","7:24 AM","1:14 PM","1:45 PM","5:09 PM","5:45 PM","6:58 PM","8:13 PM","8:45 PM","1:35 PM","3:35 PM"
"6","5:53 AM","6:45 AM","7:25 AM","1:14 PM","1:45 PM","5:07 PM","5:45 PM","6:56 PM","8:12 PM","8:45 PM","1:35 PM","3:35 PM"
"7","5:54 AM","6:45 AM","7:26 AM","1:14 PM","1:45 PM","5:06 PM","5:45 PM","6:54 PM","8:10 PM","8:45 PM","1:35 PM","3:35 PM"
"8","5:56 AM","6:45 AM","7:27 AM","1:14 PM","1:45 PM","5:04 PM","5:45 PM","6:53 PM","8:09 PM","8:45 PM","1:35 PM","3:35 PM"
"9","5:57 AM","6:45 AM","7:29 AM","1:13 PM","1:45 PM","5:03 PM","5:45 PM","6:51 PM","8:07 PM","8:45 PM","1:35 PM","3:35 PM"
"10","5:58 AM","6:45 AM","7:30 AM","1:13 PM","1:45 PM","5:01 PM","5:30 PM","6:49 PM","8:06 PM","8:30 PM","1:35 PM","3:35 PM"
"11","5:59 AM","6:45 AM","7:31 AM","1:13 PM","1:45 PM","5:00 PM","5:30 PM","6:47 PM","8:04 PM","8:30 PM","1:35 PM","3:35 PM"
"12","6:00 AM","6:45 AM","7:32 AM","1:13 PM","1:45 PM","4:58 PM","5:30 PM","6:46 PM","8:03 PM","8:30 PM","1:35 PM","3:35 PM"
"13","6:01 AM","6:45 AM","7:33 AM","1:12 PM","1:45 PM","4:57 PM","5:30 PM","6:44 PM","8:01 PM","8:30 PM","1:35 PM","3:35 PM"
