"Day","Fajr Begins","Fajr Iqama","Sunrise","Dhur Begins","Dhur Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:48 AM","6:30 AM","7:30 AM","12:05 PM","12:45 PM","2:58 PM","3:30 PM","4:43 PM","6:06 PM","7:30 PM","1:10 PM","2:20 PM"
"2","5:49 AM","6:30 AM","7:32 AM","12:06 PM","12:45 PM","2:57 PM","3:30 PM","4:43 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"3","5:50 AM","6:30 AM","7:33 AM","12:06 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"4","5:50 AM","6:30 AM","7:34 AM","12:07 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"5","5:51 AM","6:30 AM","7:35 AM","12:07 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"6","5:52 AM","6:30 AM","7:36 AM","12:07 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"7","5:53 AM","6:30 AM","7:37 AM","12:08 PM","12:45 PM","2:56 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"8","5:54 AM","6:30 AM","7:38 AM","12:08 PM","12:45 PM","2:56 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"9","5:55 AM","6:30 AM","7:39 AM","12:09 PM","12:45 PM","2:56 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"10","5:56 AM","6:30 AM","7:39 AM","12:09 PM","12:45 PM","2:56 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"11","5:56 AM","6:30 AM","7:40 AM","12:10 PM","12:45 PM","2:56 PM","3:30 PM","4:42 PM","6:05 PM","7:30 PM","1:10 PM","2:20 PM"
"12","5:57 AM","6:30 AM","7:41 AM","12:10 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:06 PM","7:30 PM","1:10 PM","2:20 PM"
"13","5:58 AM","6:30 AM","7:42 AM","12:11 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:06 PM","7:30 PM","1:10 PM","2:20 PM"
"14","5:58 AM","6:30 AM","7:43 AM","12:11 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:06 PM","7:30 PM","1:10 PM","2:20 PM"
"15","5:59 AM","6:30 AM","7:44 AM","12:12 PM","12:45 PM","2:57 PM","3:30 PM","4:42 PM","6:06 PM","7:30 PM","1:10 PM","2:20 PM"
"16","6:00 AM","6:30 AM","7:44 AM","12:12 PM","12:45 PM","2:57 PM","3:30 PM","4:43 PM","6:07 PM","7:30 PM","1:10 PM","2:20 PM"
"17","6:00 AM","6:30 AM","7:45 AM","12:12 PM","12:45 PM","2:58 PM","3:45 PM","4:43 PM","6:07 PM","7:30 PM","1:00 PM","2:00 PM"
"18","6:01 AM","6:30 AM","7:46 AM","12:13 PM","12:45 PM","2:58 PM","3:30 PM","4:43 PM","6:07 PM","7:30 PM","1:10 PM","2:10 PM"
"19","6:02 AM","6:30 AM","7:46 AM","12:13 PM","12:45 PM","2:58 PM","3:30 PM","4:44 PM","6:08 PM","7:30 PM","1:10 PM","2:10 PM"
"20","6:02 AM","6:30 AM","7:47 AM","12:14 PM","12:45 PM","2:59 PM","3:30 PM","4:44 PM","6:08 PM","7:30 PM","1:10 PM","2:10 PM"
"21","6:03 AM","6:30 AM","7:47 AM","12:14 PM","12:45 PM","2:59 PM","3:30 PM","4:45 PM","6:09 PM","7:30 PM","1:10 PM","2:10 PM"
"22","6:03 AM","6:30 AM","7:48 AM","12:15 PM","12:45 PM","3:00 PM","3:30 PM","4:45 PM","6:09 PM","7:30 PM","1:10 PM","2:10 PM"
"23","6:04 AM","6:30 AM","7:48 AM","12:15 PM","12:45 PM","3:00 PM","3:30 PM","4:46 PM","6:10 PM","7:30 PM","1:10 PM","2:10 PM"
