"Day","Fajr Begins","Fajr Iqama","Sunrise","Dhur Begins","Dhur Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:18 AM","6:15 AM","6:53 AM","12:29 PM","12:45 PM","4:19 PM","4:45 PM","6:08 PM","7:24 PM","7:45 PM","1:10 PM","2:10 PM"
"2","5:16 AM","6:15 AM","6:51 AM","12:28 PM","12:45 PM","4:20 PM","4:45 PM","6:09 PM","7:25 PM","8:00 PM","1:10 PM","2:10 PM"
"3","5:14 AM","6:15 AM","6:50 AM","12:28 PM","12:45 PM","4:21 PM","4:45 PM","6:10 PM","7:26 PM","8:00 PM","1:10 PM","2:10 PM"
"4","5:12 AM","6:15 AM","6:48 AM","12:28 PM","12:45 PM","4:22 PM","4:45 PM","6:12 PM","7:28 PM","8:00 PM","1:10 PM","2:10 PM"
"5","5:11 AM","6:15 AM","6:46 AM","12:28 PM","12:45 PM","4:23 PM","4:45 PM","6:13 PM","7:29 PM","8:00 PM","1:10 PM","2:10 PM"
"6","5:09 AM","6:15 AM","6:44 AM","12:28 PM","12:45 PM","4:24 PM","4:45 PM","6:14 PM","7:30 PM","8:00 PM","1:10 PM","2:10 PM"
"7","5:07 AM","6:15 AM","6:43 AM","12:27 PM","12:45 PM","4:25 PM","4:45 PM","6:16 PM","7:31 PM","8:00 PM","1:10 PM","2:10 PM"
"8","5:05 AM","6:15 AM","6:41 AM","12:27 PM","12:45 PM","4:26 PM","4:45 PM","6:17 PM","7:33 PM","8:00 PM","1:10 PM","2:10 PM"
"9","5:04 AM","6:15 AM","6:39 AM","12:27 PM","12:45 PM","4:28 PM","4:45 PM","6:18 PM","7:34 PM","8:00 PM","1:10 PM","2:10 PM"
"10","5:02 AM","6:45 AM","6:37 AM","12:27 PM","1:45 PM","5:29 PM","6:00 PM","7:19 PM","8:35 PM","9:00 PM","2:10 PM","3:30 PM"
"11","6:00 AM","6:45 AM","7:36 AM","1:26 PM","1:45 PM","5:30 PM","6:00 PM","7:21 PM","8:36 PM","9:00 PM","2:10 PM","3:30 PM"
"12","5:58 AM","6:45 AM","7:34 AM","1:26 PM","1:45 PM","5:31 PM","6:00 PM","7:22 PM","8:38 PM","9:00 PM","2:10 PM","3:30 PM"
"13","5:56 AM","6:45 AM","7:32 AM","1:26 PM","1:45 PM","5:32 PM","6:00 PM","7:23 PM","8:39 PM","9:00 PM","2:10 PM","3:30 PM"
"14","5:54 AM","6:45 AM","7:30 AM","1:25 PM","1:45 PM","5:33 PM","6:00 PM","7:24 PM","8:40 PM","9:00 PM","2:10 PM","3:30 PM"
"15","5:52 AM","6:45 AM","7:29 AM","1:25 PM","1:45 PM","5:34 PM","6:00 PM","7:26 PM","8:42 PM","9:00 PM","2:10 PM","3:10 PM"
"16","5:51 AM","6:30 AM","7:27 AM","1:25 PM","1:45 PM","5:35 PM","6:00 PM","7:27 PM","8:43 PM","9:00 PM","2:10 PM","3:10 PM"
"17","5:49 AM","6:30 AM","7:25 AM","1:25 PM","1:45 PM","5:36 PM","6:00 PM","7:28 PM","8:44 PM","9:00 PM","2:10 PM","3:10 PM"
"18","5:47 AM","6:30 AM","7:23 AM","1:24 PM","1:45 PM","5:37 PM","6:00 PM","7:29 PM","8:46 PM","9:00 PM","2:10 PM","3:10 PM"
"19","5:45 AM","6:30 AM","7:21 AM","1:24 PM","1:45 PM","5:38 PM","6:00 PM","7:31 PM","8:47 PM","9:00 PM","2:10 PM","3:10 PM"
"20","5:43 AM","6:30 AM","7:19 AM","1:24 PM","1:45 PM","5:38 PM","6:00 PM","7:32 PM","8:48 PM","9:00 PM","2:10 PM","3:10 PM"
"21","5:41 AM","6:30 AM","7:18 AM","1:23 PM","1:45 PM","5:39 PM","6:00 PM","7:33 PM","8:50 PM","9:00 PM","2:10 PM","3:10 PM"
"22","5:39 AM","6:30 AM","7:16 AM","1:23 PM","1:45 PM","5:40 PM","6:00 PM","7:34 PM","8:51 PM","9:00 PM","2:10 PM","3:10 PM"
"23","5:37 AM","6:15 AM","7:14 AM","1:23 PM","1:45 PM","5:41 PM","6:15 PM","7:35 PM","8:52 PM","9:15 PM","2:10 PM","3:20 PM"
"24","5:35 AM","6:15 AM","7:12 AM","1:23 PM","1:45 PM","5:42 PM","6:15 PM","7:37 PM","8:54 PM","9:15 PM","2:10 PM","3:20 PM"
"25","5:33 AM","6:15 AM","7:10 AM","1:22 PM","1:45 PM","5:43 PM","6:15 PM","7:38 PM","8:55 PM","9:15 PM","2:10 PM","3:20 PM"
"26","5:31 AM","6:15 AM","7:09 AM","1:22 PM","1:45 PM","5:44 PM","6:15 PM","7:39 PM","8:56 PM","9:15 PM","2:10 PM","3:20 PM"
"27","5:29 AM","6:15 AM","7:07 AM","1:22 PM","1:45 PM","5:45 PM","6:15 PM","7:40 PM","8:58 PM","9:15 PM","2:10 PM","3:20 PM"
"28","5:27 AM","6:15 AM","7:05 AM","1:21 PM","1:45 PM","5:46 PM","6:15 PM","7:41 PM","8:59 PM","9:15 PM","2:10 PM","3:20 PM"
"29","5:25 AM","6:15 AM","7:03 AM","1:21 PM","1:45 PM","5:47 PM","6:15 PM","7:43 PM","9:01 PM","9:30 PM","2:10 PM","3:20 PM"
"30","5:22 AM","6:15 AM","7:01 AM","1:21 PM","1:45 PM","5:47 PM","6:15 PM","7:44 PM","9:02 PM","9:30 PM","2:10 PM","3:20 PM"
"31","5:20 AM","6:15 AM","7:00 AM","1:20 PM","1:45 PM","5:48 PM","6:15 PM","7:45 PM","9:03 PM","9:30 PM","2:10 PM","3:20 PM"
