"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","4:29 AM","5:35 AM","6:05 AM","1:23 PM","1:45 PM","6:29 PM","7:45 PM","8:40 PM","10:41 PM","10:35 PM","1:50 PM","3:30 pm"
"2","4:30 AM","5:35 AM","6:06 AM","1:23 PM","1:45 PM","6:28 PM","7:45 PM","8:39 PM","10:39 PM","10:35 PM","1:50 PM","3:30 pm"
"3","4:32 AM","5:35 AM","6:07 AM","1:23 PM","1:45 PM","6:28 PM","7:45 PM","8:38 PM","10:37 PM","10:25 PM","1:50 PM","3:30 pm"
"4","4:34 AM","5:45 AM","6:09 AM","1:23 PM","1:45 PM","6:27 PM","7:45 PM","8:37 PM","10:35 PM","10:25 PM","1:50 PM","3:30 pm"
"5","4:35 AM","5:45 AM","6:10 AM","1:23 PM","1:45 PM","6:26 PM","7:45 PM","8:35 PM","10:33 PM","10:25 PM","1:50 PM","3:30 pm"
"6","4:37 AM","5:45 AM","6:11 AM","1:23 PM","1:45 PM","6:25 PM","7:45 PM","8:34 PM","10:31 PM","10:25 PM","1:50 PM","3:30 pm"
"7","4:38 AM","5:45 AM","6:12 AM","1:23 PM","1:45 PM","6:24 PM","7:45 PM","8:33 PM","10:29 PM","10:25 PM","1:50 PM","3:30 pm"
"8","4:40 AM","5:45 AM","6:13 AM","1:22 PM","1:45 PM","6:23 PM","7:45 PM","8:31 PM","10:27 PM","10:25 PM","1:50 PM","3:30 pm"
"9","4:42 AM","5:45 AM","6:14 AM","1:22 PM","1:45 PM","6:22 PM","7:45 PM","8:30 PM","10:25 PM","10:25 PM","1:50 PM","3:30 pm"
"10","4:43 AM","5:45 AM","6:15 AM","1:22 PM","1:45 PM","6:22 PM","7:30 PM","8:28 PM","10:23 PM","10:20 PM","1:50 PM","3:30 pm"
"11","4:45 AM","5:55 AM","6:16 AM","1:22 PM","1:45 PM","6:21 PM","7:30 PM","8:27 PM","10:20 PM","10:20 PM","1:50 PM","3:30 pm"
"12","4:46 AM","5:55 AM","6:17 AM","1:22 PM","1:45 PM","6:20 PM","7:30 PM","8:26 PM","10:18 PM","10:20 PM","1:50 PM","3:30 pm"
"13","4:48 AM","5:55 AM","6:19 AM","1:22 PM","1:45 PM","6:19 PM","7:30 PM","8:24 PM","10:16 PM","10:20 PM","1:50 PM","3:30 pm"
"14","4:49 AM","5:55 AM","6:20 AM","1:21 PM","1:45 PM","6:18 PM","7:30 PM","8:23 PM","10:14 PM","10:20 PM","1:50 PM","3:30 pm"
"15","4:51 AM","5:55 AM","6:21 AM","1:21 PM","1:45 PM","6:17 PM","7:30 PM","8:21 PM","10:12 PM","10:20 PM","1:50 PM","3:30 pm"
"16","4:53 AM","5:55 AM","6:22 AM","1:21 PM","1:45 PM","6:15 PM","7:30 PM","8:19 PM","10:10 PM","10:20 PM","1:50 PM","3:30 pm"
"17","4:54 AM","6:00 AM","6:23 AM","1:21 PM","1:45 PM","6:14 PM","7:30 PM","8:18 PM","10:08 PM","10:20 PM","1:50 PM","3:30 pm"
"18","4:56 AM","6:00 AM","6:24 AM","1:21 PM","1:45 PM","6:13 PM","7:15 PM","8:16 PM","10:06 PM","10:20 PM","1:50 PM","3:30 pm"
"19","4:57 AM","6:00 AM","6:25 AM","1:20 PM","1:45 PM","6:12 PM","7:15 PM","8:15 PM","10:03 PM","10:20 PM","1:50 PM","3:30 pm"
"20","4:59 AM","6:00 AM","6:26 AM","1:20 PM","1:45 PM","6:11 PM","7:15 PM","8:13 PM","10:01 PM","10:20 PM","1:50 PM","3:30 pm"
"21","5:00 AM","6:00 AM","6:28 AM","1:20 PM","1:45 PM","6:10 PM","7:15 PM","8:12 PM","9:59 PM","10:20 PM","1:50 PM","3:30 pm"
"22","5:02 AM","6:00 AM","6:29 AM","1:20 PM","1:45 PM","6:09 PM","7:15 PM","8:10 PM","9:57 PM","10:20 PM","1:50 PM","3:30 pm"
"23","5:03 AM","6:00 AM","6:30 AM","1:19 PM","1:45 PM","6:07 PM","7:15 PM","8:08 PM","9:55 PM","10:20 PM","1:50 PM","3:30 pm"
"24","5:05 AM","6:10 AM","6:31 AM","1:19 PM","1:45 PM","6:06 PM","7:15 PM","8:07 PM","9:53 PM","10:00 PM","1:50 PM","3:30 pm"
"25","5:06 AM","6:10 AM","6:32 AM","1:19 PM","1:45 PM","6:05 PM","7:15 PM","8:05 PM","9:51 PM","10:00 PM","1:50 PM","3:30 pm"
"26","5:08 AM","6:10 AM","6:33 AM","1:19 PM","1:45 PM","6:04 PM","7:15 PM","8:03 PM","9:48 PM","10:00 PM","1:50 PM","3:30 pm"
"27","5:09 AM","6:10 AM","6:34 AM","1:18 PM","1:45 PM","6:02 PM","7:15 PM","8:02 PM","9:46 PM","10:00 PM","1:50 PM","3:30 pm"
"28","5:11 AM","6:10 AM","6:35 AM","1:18 PM","1:45 PM","6:01 PM","7:15 PM","8:00 PM","9:44 PM","10:00 PM","1:50 PM","3:30 pm"
"29","5:12 AM","6:10 AM","6:37 AM","1:18 PM","1:45 PM","6:00 PM","7:15 PM","7:58 PM","9:42 PM","10:00 PM","1:50 PM","3:30 pm"
"30","5:13 AM","6:10 AM","6:38 AM","1:17 PM","1:45 PM","5:59 PM","7:15 PM","7:56 PM","9:40 PM","10:00 PM","1:50 PM","3:30 pm"
"31","5:15 AM","6:00 AM","6:39 AM","1:17 PM","1:45 PM","5:57 PM","7:00 PM","7:55 PM","9:38 PM","9:45 PM","1:50 PM","3:30 pm"
