"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:48 AM","6:30 AM","7:30 AM","12:06 PM","1:00 PM","2:59 PM","3:50 PM","4:41 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"2","5:49 AM","6:30 AM","7:31 AM","12:06 PM","1:00 PM","2:58 PM","3:50 PM","4:40 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"3","5:50 AM","6:30 AM","7:33 AM","12:06 PM","1:00 PM","2:58 PM","3:50 PM","4:40 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"4","5:51 AM","6:30 AM","7:34 AM","12:07 PM","1:00 PM","2:58 PM","3:50 PM","4:40 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"5","5:51 AM","6:30 AM","7:35 AM","12:07 PM","1:00 PM","2:58 PM","3:50 PM","4:40 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"6","5:52 AM","6:30 AM","7:36 AM","12:08 PM","1:00 PM","2:57 PM","3:50 PM","4:40 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"7","5:53 AM","6:30 AM","7:37 AM","12:08 PM","1:00 PM","2:57 PM","3:50 PM","4:39 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"8","5:54 AM","6:30 AM","7:38 AM","12:09 PM","1:00 PM","2:57 PM","3:50 PM","4:39 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"9","5:55 AM","6:30 AM","7:39 AM","12:09 PM","1:00 PM","2:57 PM","3:50 PM","4:39 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"10","5:56 AM","6:30 AM","7:39 AM","12:09 PM","1:00 PM","2:57 PM","3:50 PM","4:39 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"11","5:56 AM","6:30 AM","7:40 AM","12:10 PM","1:00 PM","2:57 PM","3:50 PM","4:39 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
"12","5:57 AM","6:30 AM","7:41 AM","12:10 PM","1:00 PM","2:57 PM","3:50 PM","4:39 PM","6:23 PM","7:15 PM","12:50 PM","2:35 pm"
