"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","3:51 AM","3:50 AM","5:38 AM","1:15 PM","1:45 PM","6:32 PM","7:15 PM","8:52 PM","11:08 PM","10:50 PM","1:50 PM","3:35 PM"
"2","3:51 AM","3:50 AM","5:37 AM","1:15 PM","1:45 PM","6:32 PM","7:15 PM","8:52 PM","11:09 PM","10:50 PM","1:50 PM","3:35 PM"
"3","3:50 AM","3:50 AM","5:37 AM","1:15 PM","1:45 PM","6:33 PM","7:15 PM","8:53 PM","11:11 PM","10:50 PM","1:50 PM","3:35 PM"
"4","3:49 AM","5:10 AM","5:36 AM","1:15 PM","1:45 PM","6:33 PM","8:00 PM","8:54 PM","11:12 PM","10:50 PM","1:50 PM","3:35 PM"
"5","3:48 AM","5:10 AM","5:36 AM","1:15 PM","1:45 PM","6:33 PM","8:00 PM","8:55 PM","11:14 PM","9:55 PM","1:50 PM","3:35 PM"
"6","3:47 AM","5:10 AM","5:36 AM","1:15 PM","1:45 PM","6:34 PM","8:00 PM","8:55 PM","11:15 PM","11:05 PM","1:50 PM","3:35 PM"
"7","3:47 AM","5:10 AM","5:35 AM","1:16 PM","1:45 PM","6:34 PM","8:00 PM","8:56 PM","11:16 PM","11:05 PM","1:50 PM","3:35 PM"
"8","3:46 AM","5:10 AM","5:35 AM","1:16 PM","1:45 PM","6:35 PM","8:00 PM","8:57 PM","11:17 PM","11:05 PM","1:50 PM","3:35 PM"
"9","3:46 AM","5:10 AM","5:35 AM","1:16 PM","1:45 PM","6:35 PM","8:00 PM","8:57 PM","11:18 PM","11:05 PM","1:50 PM","3:35 PM"
"10","3:45 AM","5:10 AM","5:35 AM","1:16 PM","1:45 PM","6:36 PM","8:00 PM","8:58 PM","11:19 PM","11:05 PM","1:50 PM","3:35 PM"
"11","3:45 AM","5:10 AM","5:34 AM","1:16 PM","1:45 PM","6:36 PM","8:00 PM","8:58 PM","11:20 PM","11:05 PM","1:50 PM","3:35 PM"
"12","3:44 AM","5:10 AM","5:34 AM","1:17 PM","1:45 PM","6:36 PM","8:00 PM","8:59 PM","11:21 PM","11:05 PM","1:50 PM","3:35 PM"
"13","3:44 AM","5:10 AM","5:34 AM","1:17 PM","1:45 PM","6:37 PM","8:00 PM","9:00 PM","11:22 PM","11:05 PM","1:50 PM","3:35 PM"
"14","3:44 AM","5:10 AM","5:34 AM","1:17 PM","1:45 PM","6:37 PM","8:00 PM","9:00 PM","11:23 PM","11:05 PM","1:50 PM","3:35 PM"
"15","3:44 AM","5:10 AM","5:34 AM","1:17 PM","1:45 PM","6:37 PM","8:00 PM","9:00 PM","11:23 PM","11:05 PM","1:50 PM","3:35 PM"
"16","3:43 AM","5:10 AM","5:34 AM","1:17 PM","1:45 PM","6:38 PM","8:00 PM","9:01 PM","11:24 PM","11:05 PM","1:50 PM","3:35 PM"
"17","3:43 AM","5:10 AM","5:34 AM","1:18 PM","1:45 PM","6:38 PM","8:00 PM","9:01 PM","11:25 PM","11:05 PM","1:50 PM","3:35 PM"
"18","3:43 AM","5:10 AM","5:34 AM","1:18 PM","1:45 PM","6:38 PM","8:00 PM","9:02 PM","11:25 PM","11:05 PM","1:50 PM","3:35 PM"
"19","3:43 AM","5:10 AM","5:34 AM","1:18 PM","1:45 PM","6:39 PM","8:00 PM","9:02 PM","11:25 PM","11:05 PM","1:50 PM","3:35 PM"
"20","3:43 AM","5:10 AM","5:35 AM","1:18 PM","1:45 PM","6:39 PM","8:00 PM","9:02 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"21","3:44 AM","5:10 AM","5:35 AM","1:19 PM","1:45 PM","6:39 PM","8:00 PM","9:02 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"22","3:44 AM","5:10 AM","5:35 AM","1:19 PM","1:45 PM","6:39 PM","8:00 PM","9:02 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"23","3:44 AM","5:10 AM","5:35 AM","1:19 PM","1:45 PM","6:39 PM","8:00 PM","9:03 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"24","3:44 AM","5:10 AM","5:36 AM","1:19 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"25","3:45 AM","5:10 AM","5:36 AM","1:19 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"26","3:45 AM","5:10 AM","5:36 AM","1:20 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"27","3:46 AM","5:10 AM","5:37 AM","1:20 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:26 PM","11:05 PM","1:50 PM","3:35 PM"
"28","3:46 AM","5:10 AM","5:37 AM","1:20 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:25 PM","11:05 PM","1:50 PM","3:35 PM"
"29","3:47 AM","5:10 AM","5:37 AM","1:20 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:25 PM","11:05 PM","1:50 PM","3:35 PM"
"30","3:48 AM","5:10 AM","5:38 AM","1:20 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:25 PM","11:05 PM","1:50 PM","3:35 PM"
