"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","4:38 AM","5:45 AM","6:09 AM","1:14 PM","1:45 PM","6:12 PM","7:15 PM","8:19 PM","10:13 PM","10:10 PM","1:50 PM","3:35 PM"
"2","4:36 AM","4:05 AM","6:08 AM","1:14 PM","1:45 PM","6:13 PM","7:15 PM","8:20 PM","10:15 PM","10:10 PM","1:50 PM","3:35 PM"
"3","4:34 AM","4:05 AM","6:06 AM","1:14 PM","1:45 PM","6:14 PM","7:15 PM","8:22 PM","10:16 PM","10:10 PM","1:50 PM","3:35 PM"
"4","4:33 AM","5:40 AM","6:05 AM","1:14 PM","1:45 PM","6:14 PM","7:15 PM","8:23 PM","10:18 PM","10:10 PM","1:50 PM","3:35 PM"
"5","4:31 AM","5:40 AM","6:04 AM","1:13 PM","1:45 PM","6:15 PM","7:15 PM","8:24 PM","10:20 PM","10:10 PM","1:50 PM","3:35 PM"
"6","4:29 AM","4:20 AM","6:02 AM","1:13 PM","1:45 PM","6:16 PM","7:15 PM","8:25 PM","10:22 PM","10:10 PM","1:50 PM","3:35 PM"
"7","4:27 AM","4:20 AM","6:01 AM","1:13 PM","1:45 PM","6:16 PM","7:15 PM","8:26 PM","10:24 PM","10:10 PM","1:50 PM","3:35 PM"
"8","4:25 AM","4:20 AM","6:00 AM","1:13 PM","1:45 PM","6:17 PM","7:15 PM","8:27 PM","10:26 PM","10:10 PM","1:50 PM","3:35 PM"
"9","4:24 AM","4:20 AM","5:58 AM","1:13 PM","1:45 PM","6:18 PM","7:15 PM","8:28 PM","10:28 PM","10:10 PM","1:50 PM","3:35 PM"
"10","4:22 AM","4:20 AM","5:57 AM","1:13 PM","1:45 PM","6:18 PM","7:15 PM","8:30 PM","10:29 PM","10:20 PM","1:50 PM","3:35 PM"
"11","4:20 AM","4:10 AM","5:56 AM","1:13 PM","1:45 PM","6:19 PM","7:15 PM","8:31 PM","10:31 PM","10:20 PM","1:50 PM","3:35 PM"
"12","4:18 AM","4:10 AM","5:55 AM","1:13 PM","1:45 PM","6:20 PM","7:15 PM","8:32 PM","10:33 PM","10:20 PM","1:50 PM","3:35 PM"
"13","4:17 AM","4:15 AM","5:54 AM","1:13 PM","1:45 PM","6:20 PM","7:15 PM","8:33 PM","10:35 PM","10:20 PM","1:50 PM","3:35 PM"
"14","4:15 AM","4:15 AM","5:53 AM","1:13 PM","1:45 PM","6:21 PM","7:15 PM","8:34 PM","10:37 PM","10:20 PM","1:50 PM","3:35 PM"
