"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:15 AM","6:30 AM","7:52 AM","1:00 PM","1:45 PM","3:24 PM","5:15 PM","6:08 PM","6:45 PM","8:15 PM","1:50 PM","3:30 pm"
"2","5:16 AM","6:30 AM","7:54 AM","1:00 PM","1:45 PM","3:23 PM","5:15 PM","6:06 PM","6:44 PM","8:15 PM","1:50 PM","3:30 pm"
"3","5:17 AM","6:30 AM","7:55 AM","1:00 PM","1:45 PM","3:22 PM","5:15 PM","6:05 PM","6:43 PM","8:15 PM","1:50 PM","3:30 pm"
"4","5:19 AM","6:30 AM","6:56 AM","12:00 PM","1:00 PM","3:21 PM","4:00 PM","5:04 PM","6:41 PM","7:15 PM","12:50 PM","2:40 pm"
"5","5:20 AM","6:30 AM","6:58 AM","12:00 PM","1:00 PM","3:19 PM","4:00 PM","5:02 PM","6:40 PM","7:15 PM","12:50 PM","2:40 pm"
"6","5:21 AM","6:30 AM","6:59 AM","12:00 PM","1:00 PM","3:18 PM","4:00 PM","5:01 PM","6:39 PM","7:15 PM","12:50 PM","2:40 pm"
"7","5:22 AM","6:30 AM","7:00 AM","12:00 PM","1:00 PM","3:17 PM","4:00 PM","5:00 PM","6:38 PM","7:15 PM","12:50 PM","2:40 pm"
"8","5:23 AM","6:30 AM","7:02 AM","12:00 PM","1:00 PM","3:16 PM","4:00 PM","4:59 PM","6:37 PM","7:15 PM","12:50 PM","2:40 pm"
"9","5:24 AM","6:30 AM","7:03 AM","12:01 PM","1:00 PM","3:15 PM","4:00 PM","4:58 PM","6:36 PM","7:15 PM","12:50 PM","2:40 pm"
"10","5:25 AM","6:30 AM","7:04 AM","12:01 PM","1:00 PM","3:14 PM","4:00 PM","4:56 PM","6:35 PM","7:15 PM","12:50 PM","2:40 pm"
"11","5:27 AM","6:30 AM","7:06 AM","12:01 PM","1:00 PM","3:13 PM","4:00 PM","4:55 PM","6:34 PM","7:15 PM","12:50 PM","3:00 pm"
"12","5:28 AM","6:30 AM","7:07 AM","12:01 PM","1:00 PM","3:12 PM","4:00 PM","4:54 PM","6:34 PM","7:15 PM","12:50 PM","3:00 pm"
"13","5:29 AM","6:30 AM","7:08 AM","12:01 PM","1:00 PM","3:11 PM","4:00 PM","4:53 PM","6:33 PM","7:15 PM","12:50 PM","3:00 pm"
"14","5:30 AM","6:30 AM","7:09 AM","12:01 PM","1:00 PM","3:10 PM","4:00 PM","4:52 PM","6:32 PM","7:15 PM","12:50 PM","3:00 pm"
"15","5:31 AM","6:30 AM","7:11 AM","12:01 PM","1:00 PM","3:09 PM","4:00 PM","4:51 PM","6:31 PM","7:15 PM","12:50 PM","2:35 pm"
"16","5:32 AM","6:30 AM","7:12 AM","12:01 PM","1:00 PM","3:08 PM","4:00 PM","4:50 PM","6:30 PM","7:15 PM","12:50 PM","2:35 pm"
"17","5:33 AM","6:30 AM","7:13 AM","12:02 PM","1:00 PM","3:07 PM","4:00 PM","4:49 PM","6:30 PM","7:15 PM","12:50 PM","2:35 pm"
"18","5:34 AM","6:30 AM","7:15 AM","12:02 PM","1:00 PM","3:06 PM","4:00 PM","4:49 PM","6:29 PM","7:15 PM","12:50 PM","2:35 pm"
"19","5:35 AM","6:30 AM","7:16 AM","12:02 PM","1:00 PM","3:05 PM","4:00 PM","4:48 PM","6:28 PM","7:15 PM","12:50 PM","2:35 pm"
"20","5:37 AM","6:30 AM","7:17 AM","12:02 PM","1:00 PM","3:05 PM","4:00 PM","4:47 PM","6:28 PM","7:15 PM","12:50 PM","2:35 pm"
"21","5:38 AM","6:30 AM","7:18 AM","12:03 PM","1:00 PM","3:04 PM","4:00 PM","4:46 PM","6:27 PM","7:15 PM","12:50 PM","2:35 pm"
"22","5:39 AM","6:30 AM","7:20 AM","12:03 PM","1:00 PM","3:03 PM","4:00 PM","4:45 PM","6:27 PM","7:15 PM","12:50 PM","2:35 pm"
"23","5:40 AM","6:30 AM","7:21 AM","12:03 PM","1:00 PM","3:03 PM","4:00 PM","4:45 PM","6:26 PM","7:15 PM","12:50 PM","2:35 pm"
"24","5:41 AM","6:30 AM","7:22 AM","12:03 PM","1:00 PM","3:02 PM","4:00 PM","4:44 PM","6:26 PM","7:15 PM","12:50 PM","2:35 pm"
"25","5:42 AM","6:30 AM","7:23 AM","12:04 PM","1:00 PM","3:01 PM","4:00 PM","4:44 PM","6:25 PM","7:15 PM","12:50 PM","2:35 pm"
"26","5:43 AM","6:30 AM","7:25 AM","12:04 PM","1:00 PM","3:01 PM","4:00 PM","4:43 PM","6:25 PM","7:15 PM","12:50 PM","2:35 pm"
"27","5:44 AM","6:30 AM","7:26 AM","12:04 PM","1:00 PM","3:00 PM","4:00 PM","4:42 PM","6:24 PM","7:15 PM","12:50 PM","2:35 pm"
"28","5:45 AM","6:30 AM","7:27 AM","12:05 PM","1:00 PM","3:00 PM","4:00 PM","4:42 PM","6:24 PM","7:15 PM","12:50 PM","2:35 pm"
"29","5:46 AM","6:30 AM","7:28 AM","12:05 PM","1:00 PM","2:59 PM","3:50 PM","4:42 PM","6:24 PM","7:15 PM","12:50 PM","2:35 pm"
"30","5:47 AM","6:30 AM","7:29 AM","12:05 PM","1:00 PM","2:59 PM","3:50 PM","4:41 PM","6:24 PM","7:15 PM","12:50 PM","2:35 pm"
