"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:38 AM","6:30 AM","7:14 AM","1:06 PM","1:45 PM","5:11 PM","6:15 PM","6:58 PM","8:34 PM","8:55 PM","1:50 PM","3:30 pm"
"2","5:39 AM","6:30 AM","7:15 AM","1:06 PM","1:45 PM","5:09 PM","6:15 PM","6:56 PM","8:32 PM","8:55 PM","1:50 PM","3:30 pm"
"3","5:41 AM","6:30 AM","7:16 AM","1:06 PM","1:45 PM","5:07 PM","6:15 PM","6:54 PM","8:30 PM","8:55 PM","1:50 PM","3:30 pm"
"4","5:42 AM","6:30 AM","7:18 AM","1:05 PM","1:45 PM","5:06 PM","6:15 PM","6:53 PM","8:28 PM","8:55 PM","1:50 PM","3:30 pm"
"5","5:43 AM","6:30 AM","7:19 AM","1:05 PM","1:45 PM","5:04 PM","6:00 PM","6:51 PM","8:26 PM","8:40 PM","1:50 PM","3:30 pm"
"6","5:44 AM","6:30 AM","7:20 AM","1:05 PM","1:45 PM","5:03 PM","6:00 PM","6:49 PM","8:25 PM","8:40 PM","1:50 PM","3:30 pm"
"7","5:46 AM","6:30 AM","7:21 AM","1:05 PM","1:45 PM","5:01 PM","6:00 PM","6:47 PM","8:23 PM","8:40 PM","1:50 PM","3:30 pm"
"8","5:47 AM","6:30 AM","7:22 AM","1:04 PM","1:45 PM","5:00 PM","6:00 PM","6:46 PM","8:21 PM","8:40 PM","1:50 PM","3:30 pm"
"9","5:48 AM","6:30 AM","7:23 AM","1:04 PM","1:45 PM","4:58 PM","6:00 PM","6:44 PM","8:19 PM","8:40 PM","1:50 PM","3:30 pm"
"10","5:49 AM","6:30 AM","7:25 AM","1:04 PM","1:45 PM","4:56 PM","6:00 PM","6:42 PM","8:18 PM","8:40 PM","1:50 PM","3:30 pm"
"11","5:50 AM","6:30 AM","7:26 AM","1:03 PM","1:45 PM","4:55 PM","6:00 PM","6:40 PM","8:16 PM","8:40 PM","1:50 PM","3:30 pm"
"12","5:52 AM","6:30 AM","7:27 AM","1:03 PM","1:45 PM","4:53 PM","5:45 PM","6:39 PM","8:14 PM","8:30 PM","1:50 PM","3:30 pm"
"13","5:53 AM","6:30 AM","7:28 AM","1:03 PM","1:45 PM","4:52 PM","5:45 PM","6:37 PM","8:12 PM","8:30 PM","1:50 PM","3:30 pm"
"14","5:54 AM","6:30 AM","7:30 AM","1:03 PM","1:45 PM","4:50 PM","5:45 PM","6:35 PM","8:11 PM","8:30 PM","1:50 PM","3:30 pm"
"15","5:55 AM","6:30 AM","7:31 AM","1:03 PM","1:45 PM","4:49 PM","5:45 PM","6:34 PM","8:09 PM","8:30 PM","1:50 PM","3:30 pm"
"16","5:56 AM","6:30 AM","7:32 AM","1:02 PM","1:45 PM","4:47 PM","5:45 PM","6:32 PM","8:08 PM","8:30 PM","1:50 PM","3:30 pm"
"17","5:58 AM","6:30 AM","7:33 AM","1:02 PM","1:45 PM","4:46 PM","5:45 PM","6:30 PM","8:06 PM","8:30 PM","1:50 PM","3:30 pm"
"18","5:59 AM","6:30 AM","7:34 AM","1:02 PM","1:45 PM","4:44 PM","5:45 PM","6:29 PM","8:04 PM","8:30 PM","1:50 PM","3:30 pm"
"19","6:00 AM","6:30 AM","7:36 AM","1:02 PM","1:45 PM","4:43 PM","5:30 PM","6:27 PM","8:03 PM","8:20 PM","1:50 PM","3:30 pm"
"20","6:01 AM","6:30 AM","7:37 AM","1:02 PM","1:45 PM","4:41 PM","5:30 PM","6:25 PM","8:01 PM","8:20 PM","1:50 PM","3:30 pm"
"21","6:02 AM","6:30 AM","7:38 AM","1:01 PM","1:45 PM","4:40 PM","5:30 PM","6:24 PM","8:00 PM","8:20 PM","1:50 PM","3:30 pm"
"22","6:03 AM","6:30 AM","7:40 AM","1:01 PM","1:45 PM","4:38 PM","5:30 PM","6:22 PM","7:58 PM","8:20 PM","1:50 PM","3:30 pm"
"23","6:05 AM","6:30 AM","7:41 AM","1:01 PM","1:45 PM","4:37 PM","5:30 PM","6:21 PM","7:57 PM","8:20 PM","1:50 PM","3:30 pm"
"24","6:06 AM","6:30 AM","7:42 AM","1:01 PM","1:45 PM","4:35 PM","5:30 PM","6:19 PM","7:55 PM","8:20 PM","1:50 PM","3:30 pm"
"25","6:07 AM","6:30 AM","7:43 AM","1:01 PM","1:45 PM","4:34 PM","5:30 PM","6:18 PM","7:54 PM","8:20 PM","1:50 PM","3:30 pm"
"26","6:08 AM","6:30 AM","7:45 AM","1:01 PM","1:45 PM","4:33 PM","5:15 PM","6:16 PM","7:53 PM","8:15 PM","1:50 PM","3:30 pm"
"27","6:09 AM","6:30 AM","7:46 AM","1:01 PM","1:45 PM","4:31 PM","5:15 PM","6:15 PM","7:51 PM","8:15 PM","1:50 PM","3:30 pm"
"28","6:10 AM","6:30 AM","7:47 AM","1:01 PM","1:45 PM","4:30 PM","5:15 PM","6:13 PM","7:50 PM","8:15 PM","1:50 PM","3:30 pm"
"29","6:12 AM","6:30 AM","7:48 AM","1:00 PM","1:45 PM","4:28 PM","5:15 PM","6:12 PM","7:49 PM","8:15 PM","1:50 PM","3:30 pm"
"30","6:13 AM","6:30 AM","7:50 AM","1:00 PM","1:45 PM","4:27 PM","5:15 PM","6:10 PM","7:47 PM","8:15 PM","1:50 PM","3:30 pm"
"31","6:14 AM","6:30 AM","7:51 AM","1:00 PM","1:45 PM","4:26 PM","5:15 PM","6:09 PM","7:46 PM","8:15 PM","1:50 PM","3:30 pm"
