"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","4:57 AM","6:15 AM","6:40 AM","1:17 PM","1:45 PM","5:56 PM","7:00 PM","7:53 PM","9:35 PM","9:45 PM","1:50 PM","3:30 pm"
"2","4:59 AM","6:15 AM","6:41 AM","1:16 PM","1:45 PM","5:55 PM","7:00 PM","7:51 PM","9:33 PM","9:45 PM","1:50 PM","3:30 pm"
"3","5:00 AM","6:15 AM","6:42 AM","1:16 PM","1:45 PM","5:53 PM","7:00 PM","7:49 PM","9:31 PM","9:45 PM","1:50 PM","3:30 pm"
"4","5:02 AM","6:15 AM","6:43 AM","1:16 PM","1:45 PM","5:52 PM","7:00 PM","7:47 PM","9:29 PM","9:45 PM","1:50 PM","3:30 pm"
"5","5:03 AM","6:15 AM","6:44 AM","1:15 PM","1:45 PM","5:50 PM","7:00 PM","7:46 PM","9:27 PM","9:45 PM","1:50 PM","3:30 pm"
"6","5:05 AM","6:15 AM","6:46 AM","1:15 PM","1:45 PM","5:49 PM","7:00 PM","7:44 PM","9:25 PM","9:45 PM","1:50 PM","3:30 pm"
"7","5:06 AM","6:15 AM","6:47 AM","1:15 PM","1:45 PM","5:48 PM","6:45 PM","7:42 PM","9:23 PM","9:35 PM","1:50 PM","3:30 pm"
"8","5:08 AM","6:25 AM","6:48 AM","1:14 PM","1:45 PM","5:46 PM","6:45 PM","7:40 PM","9:20 PM","9:35 PM","1:50 PM","3:30 pm"
"9","5:09 AM","6:25 AM","6:49 AM","1:14 PM","1:45 PM","5:45 PM","6:45 PM","7:38 PM","9:18 PM","9:35 PM","1:50 PM","3:30 pm"
"10","5:10 AM","6:25 AM","6:50 AM","1:14 PM","1:45 PM","5:43 PM","6:45 PM","7:37 PM","9:16 PM","9:35 PM","1:50 PM","3:30 pm"
"11","5:12 AM","6:25 AM","6:51 AM","1:13 PM","1:45 PM","5:42 PM","6:45 PM","7:35 PM","9:14 PM","9:35 PM","1:50 PM","3:30 pm"
"12","5:13 AM","6:25 AM","6:52 AM","1:13 PM","1:45 PM","5:40 PM","6:45 PM","7:33 PM","9:12 PM","9:35 PM","1:50 PM","3:30 pm"
"13","5:15 AM","6:25 AM","6:53 AM","1:13 PM","1:45 PM","5:39 PM","6:45 PM","7:31 PM","9:10 PM","9:20 PM","1:50 PM","3:30 pm"
"14","5:16 AM","6:25 AM","6:55 AM","1:12 PM","1:45 PM","5:37 PM","6:45 PM","7:29 PM","9:08 PM","9:20 PM","1:50 PM","3:30 pm"
"15","5:17 AM","6:25 AM","6:56 AM","1:12 PM","1:45 PM","5:36 PM","6:45 PM","7:27 PM","9:06 PM","9:20 PM","1:50 PM","3:30 pm"
"16","5:19 AM","6:25 AM","6:57 AM","1:12 PM","1:45 PM","5:34 PM","6:45 PM","7:26 PM","9:04 PM","9:20 PM","1:50 PM","3:30 pm"
"17","5:20 AM","6:25 AM","6:58 AM","1:11 PM","1:45 PM","5:33 PM","6:45 PM","7:24 PM","9:02 PM","9:20 PM","1:50 PM","3:30 pm"
"18","5:21 AM","6:25 AM","6:59 AM","1:11 PM","1:45 PM","5:31 PM","6:45 PM","7:22 PM","8:59 PM","9:20 PM","1:50 PM","3:30 pm"
"19","5:23 AM","6:25 AM","7:00 AM","1:11 PM","1:45 PM","5:30 PM","6:45 PM","7:20 PM","8:57 PM","9:20 PM","1:50 PM","3:30 pm"
"20","5:24 AM","6:25 AM","7:01 AM","1:10 PM","1:45 PM","5:28 PM","6:45 PM","7:18 PM","8:55 PM","9:20 PM","1:50 PM","3:30 pm"
"21","5:25 AM","6:25 AM","7:03 AM","1:10 PM","1:45 PM","5:26 PM","6:30 PM","7:16 PM","8:53 PM","9:10 PM","1:50 PM","3:30 pm"
"22","5:27 AM","6:25 AM","7:04 AM","1:09 PM","1:45 PM","5:25 PM","6:30 PM","7:15 PM","8:51 PM","9:10 PM","1:50 PM","3:30 pm"
"23","5:28 AM","6:25 AM","7:05 AM","1:09 PM","1:45 PM","5:23 PM","6:30 PM","7:13 PM","8:49 PM","9:10 PM","1:50 PM","3:30 pm"
"24","5:29 AM","6:25 AM","7:06 AM","1:09 PM","1:45 PM","5:22 PM","6:30 PM","7:11 PM","8:47 PM","9:10 PM","1:50 PM","3:30 pm"
"25","5:31 AM","6:25 AM","7:07 AM","1:08 PM","1:45 PM","5:20 PM","6:30 PM","7:09 PM","8:45 PM","9:10 PM","1:50 PM","3:30 pm"
"26","5:32 AM","6:25 AM","7:08 AM","1:08 PM","1:45 PM","5:19 PM","6:30 PM","7:07 PM","8:43 PM","9:10 PM","1:50 PM","3:30 pm"
"27","5:33 AM","6:25 AM","7:09 AM","1:08 PM","1:45 PM","5:17 PM","6:30 PM","7:05 PM","8:41 PM","9:10 PM","1:50 PM","3:30 pm"
"28","5:34 AM","6:30 AM","7:11 AM","1:07 PM","1:45 PM","5:15 PM","6:15 PM","7:04 PM","8:40 PM","8:55 PM","1:50 PM","3:30 pm"
"29","5:36 AM","6:30 AM","7:12 AM","1:07 PM","1:45 PM","5:14 PM","6:15 PM","7:02 PM","8:38 PM","8:55 PM","1:50 PM","3:30 pm"
"30","5:37 AM","6:30 AM","7:13 AM","1:07 PM","1:45 PM","5:12 PM","6:15 PM","7:00 PM","8:36 PM","8:55 PM","1:50 PM","3:30 pm"
