"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","4:30 AM","5:25 AM","6:06 AM","1:24 PM","1:45 PM","6:30 PM","7:00 PM","8:41 PM","9:54 PM","10:15 PM","1:45 PM"
"2","4:31 AM","5:25 AM","6:07 AM","1:24 PM","1:45 PM","6:29 PM","7:00 PM","8:40 PM","9:53 PM","10:15 PM","1:45 PM"
"3","4:33 AM","5:25 AM","6:08 AM","1:24 PM","1:45 PM","6:28 PM","7:00 PM","8:38 PM","9:51 PM","10:15 PM","1:45 PM"
"4","4:35 AM","5:25 AM","6:09 AM","1:23 PM","1:45 PM","6:27 PM","7:00 PM","8:37 PM","9:50 PM","10:15 PM","1:45 PM"
"5","4:36 AM","5:25 AM","6:10 AM","1:23 PM","1:45 PM","6:27 PM","7:00 PM","8:36 PM","9:48 PM","10:15 PM","1:45 PM"
"6","4:38 AM","5:25 AM","6:12 AM","1:23 PM","1:45 PM","6:26 PM","7:00 PM","8:34 PM","9:46 PM","10:15 PM","1:45 PM"
"7","4:39 AM","5:25 AM","6:13 AM","1:23 PM","1:45 PM","6:25 PM","7:00 PM","8:33 PM","9:45 PM","10:15 PM","1:45 PM"
"8","4:41 AM","5:25 AM","6:14 AM","1:23 PM","1:45 PM","6:24 PM","7:00 PM","8:32 PM","9:43 PM","10:15 PM","1:45 PM"
"9","4:43 AM","5:35 AM","6:15 AM","1:23 PM","1:45 PM","6:23 PM","7:00 PM","8:30 PM","9:41 PM","10:00 PM","1:45 PM"
"10","4:44 AM","5:35 AM","6:16 AM","1:23 PM","1:45 PM","6:22 PM","7:00 PM","8:29 PM","9:40 PM","10:00 PM","1:45 PM"
"11","4:46 AM","5:35 AM","6:17 AM","1:23 PM","1:45 PM","6:21 PM","7:00 PM","8:27 PM","9:38 PM","10:00 PM","1:45 PM"
"12","4:47 AM","5:35 AM","6:18 AM","1:22 PM","1:45 PM","6:20 PM","7:00 PM","8:26 PM","9:36 PM","10:00 PM","1:45 PM"
"13","4:49 AM","5:35 AM","6:19 AM","1:22 PM","1:45 PM","6:19 PM","6:45 PM","8:25 PM","9:34 PM","10:00 PM","1:45 PM"
"14","4:50 AM","5:35 AM","6:20 AM","1:22 PM","1:45 PM","6:18 PM","6:45 PM","8:23 PM","9:32 PM","10:00 PM","1:45 PM"
"15","4:52 AM","5:35 AM","6:22 AM","1:22 PM","1:45 PM","6:17 PM","6:45 PM","8:21 PM","9:31 PM","10:00 PM","1:45 PM"
"16","4:53 AM","5:35 AM","6:23 AM","1:22 PM","1:45 PM","6:16 PM","6:45 PM","8:20 PM","9:29 PM","10:00 PM","1:45 PM"
"17","4:55 AM","5:35 AM","6:24 AM","1:21 PM","1:45 PM","6:15 PM","6:45 PM","8:18 PM","9:27 PM","10:00 PM","1:45 PM"
"18","4:57 AM","5:35 AM","6:25 AM","1:21 PM","1:45 PM","6:14 PM","6:45 PM","8:17 PM","9:25 PM","10:00 PM","1:45 PM"
"19","4:58 AM","5:45 AM","6:26 AM","1:21 PM","1:45 PM","6:13 PM","6:45 PM","8:15 PM","9:23 PM","9:45 PM","1:45 PM"
"20","5:00 AM","5:45 AM","6:27 AM","1:21 PM","1:45 PM","6:12 PM","6:45 PM","8:14 PM","9:21 PM","9:45 PM","1:45 PM"
"21","5:01 AM","5:45 AM","6:28 AM","1:21 PM","1:45 PM","6:10 PM","6:45 PM","8:12 PM","9:20 PM","9:45 PM","1:45 PM"
"22","5:03 AM","5:45 AM","6:29 AM","1:20 PM","1:45 PM","6:09 PM","6:45 PM","8:10 PM","9:18 PM","9:45 PM","1:45 PM"
"23","5:04 AM","5:45 AM","6:31 AM","1:20 PM","1:45 PM","6:08 PM","6:45 PM","8:09 PM","9:16 PM","9:45 PM","1:45 PM"
"24","5:06 AM","5:45 AM","6:32 AM","1:20 PM","1:45 PM","6:07 PM","6:45 PM","8:07 PM","9:14 PM","9:45 PM","1:45 PM"
"25","5:07 AM","5:45 AM","6:33 AM","1:19 PM","1:45 PM","6:06 PM","6:45 PM","8:05 PM","9:12 PM","9:45 PM","1:45 PM"
"26","5:08 AM","5:45 AM","6:34 AM","1:19 PM","1:45 PM","6:04 PM","6:45 PM","8:04 PM","9:10 PM","9:45 PM","1:45 PM"
"27","5:10 AM","5:45 AM","6:35 AM","1:19 PM","1:45 PM","6:03 PM","6:45 PM","8:02 PM","9:08 PM","9:45 PM","1:45 PM"
"28","5:11 AM","5:45 AM","6:36 AM","1:19 PM","1:45 PM","6:02 PM","6:30 PM","8:00 PM","9:06 PM","9:45 PM","1:45 PM"
"29","5:13 AM","5:55 AM","6:37 AM","1:18 PM","1:45 PM","6:00 PM","6:30 PM","7:59 PM","9:04 PM","9:30 PM","1:45 PM"
"30","5:14 AM","5:55 AM","6:38 AM","1:18 PM","1:45 PM","5:59 PM","6:30 PM","7:57 PM","9:02 PM","9:30 PM","1:45 PM"
"31","5:16 AM","5:55 AM","6:40 AM","1:18 PM","1:45 PM","5:58 PM","6:30 PM","7:55 PM","9:00 PM","9:30 PM","1:45 PM"
