"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","3:58 AM","5:00 AM","5:43 AM","1:19 PM","2:00 PM","6:35 PM","7:00 PM","8:57 PM","10:40 PM","11:00 PM","2:00 PM",""
"2","3:58 AM","5:00 AM","5:43 AM","1:19 PM","2:00 PM","6:36 PM","7:00 PM","8:58 PM","10:41 PM","11:00 PM","2:00 PM",""
"3","3:57 AM","5:00 AM","5:42 AM","1:19 PM","2:00 PM","6:36 PM","7:00 PM","8:58 PM","10:42 PM","11:00 PM","2:00 PM",""
"4","3:56 AM","5:00 AM","5:42 AM","1:19 PM","2:00 PM","6:37 PM","7:00 PM","8:59 PM","10:43 PM","11:00 PM","2:00 PM",""
"5","3:55 AM","5:00 AM","5:42 AM","1:20 PM","2:00 PM","6:37 PM","7:00 PM","9:00 PM","10:44 PM","11:00 PM","2:00 PM",""
"6","3:55 AM","5:00 AM","5:41 AM","1:20 PM","2:00 PM","6:38 PM","7:00 PM","9:00 PM","10:45 PM","11:00 PM","2:00 PM",""
"7","3:54 AM","5:00 AM","5:41 AM","1:20 PM","2:00 PM","6:38 PM","7:00 PM","9:01 PM","10:46 PM","11:00 PM","2:00 PM",""
"8","3:53 AM","5:00 AM","5:41 AM","1:20 PM","2:00 PM","6:38 PM","7:00 PM","9:02 PM","10:47 PM","11:00 PM","2:00 PM",""
"9","3:53 AM","5:00 AM","5:41 AM","1:20 PM","2:00 PM","6:39 PM","7:00 PM","9:02 PM","10:48 PM","11:00 PM","2:00 PM",""
"10","3:52 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:39 PM","7:00 PM","9:03 PM","10:49 PM","11:00 PM","2:00 PM",""
"11","3:52 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:40 PM","7:00 PM","9:04 PM","10:50 PM","11:00 PM","2:00 PM",""
"12","3:52 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:40 PM","7:00 PM","9:04 PM","10:51 PM","11:00 PM","2:00 PM",""
"13","3:51 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:40 PM","7:00 PM","9:05 PM","10:51 PM","11:00 PM","2:00 PM",""
"14","3:51 AM","5:00 AM","5:40 AM","1:21 PM","2:00 PM","6:41 PM","7:00 PM","9:05 PM","10:52 PM","11:00 PM","2:00 PM",""
"15","3:51 AM","5:00 AM","5:40 AM","1:22 PM","2:00 PM","6:41 PM","7:00 PM","9:05 PM","10:53 PM","11:00 PM","2:00 PM",""
"16","3:51 AM","5:00 AM","5:40 AM","1:22 PM","2:00 PM","6:41 PM","7:00 PM","9:06 PM","10:53 PM","11:00 PM","2:00 PM",""
"17","3:51 AM","5:00 AM","5:40 AM","1:22 PM","2:00 PM","6:42 PM","7:00 PM","9:06 PM","10:54 PM","11:00 PM","2:00 PM",""
"18","3:51 AM","5:00 AM","5:40 AM","1:22 PM","2:00 PM","6:42 PM","7:00 PM","9:06 PM","10:54 PM","11:00 PM","2:00 PM",""
"19","3:51 AM","5:00 AM","5:40 AM","1:22 PM","2:00 PM","6:42 PM","7:00 PM","9:07 PM","10:54 PM","11:00 PM","2:00 PM",""
"20","3:51 AM","5:00 AM","5:40 AM","1:23 PM","2:00 PM","6:42 PM","7:00 PM","9:07 PM","10:55 PM","11:00 PM","2:00 PM",""
"21","3:51 AM","5:00 AM","5:41 AM","1:23 PM","2:00 PM","6:43 PM","7:00 PM","9:07 PM","10:55 PM","11:00 PM","2:00 PM",""
"22","3:51 AM","5:00 AM","5:41 AM","1:23 PM","2:00 PM","6:43 PM","7:00 PM","9:07 PM","10:55 PM","11:00 PM","2:00 PM",""
"23","3:52 AM","5:00 AM","5:41 AM","1:23 PM","2:00 PM","6:43 PM","7:00 PM","9:08 PM","10:55 PM","11:00 PM","2:00 PM",""
"24","3:52 AM","5:00 AM","5:41 AM","1:24 PM","2:00 PM","6:43 PM","7:00 PM","9:08 PM","10:55 PM","11:00 PM","2:00 PM",""
"25","3:52 AM","5:00 AM","5:42 AM","1:24 PM","2:00 PM","6:43 PM","7:00 PM","9:08 PM","10:55 PM","11:00 PM","2:00 PM",""
"26","3:53 AM","5:00 AM","5:42 AM","1:24 PM","2:00 PM","6:44 PM","7:00 PM","9:08 PM","10:55 PM","11:00 PM","2:00 PM",""
"27","3:53 AM","5:00 AM","5:42 AM","1:24 PM","2:00 PM","6:44 PM","7:00 PM","9:08 PM","10:55 PM","11:00 PM","2:00 PM",""
"28","3:54 AM","5:00 AM","5:43 AM","1:24 PM","2:00 PM","6:44 PM","7:00 PM","9:08 PM","10:55 PM","11:00 PM","2:00 PM",""
"29","3:54 AM","5:00 AM","5:43 AM","1:25 PM","2:00 PM","6:44 PM","7:00 PM","9:08 PM","10:54 PM","11:00 PM","2:00 PM",""
"30","3:55 AM","5:00 AM","5:44 AM","1:25 PM","2:00 PM","6:44 PM","7:00 PM","9:08 PM","10:54 PM","11:00 PM","2:00 PM",""
