"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:56 AM","6:45 AM","7:35 AM","12:32 PM","12:40 PM","3:46 PM","4:00 PM","5:29 PM","6:51 PM","7:15 PM","12:40 PM","1:40 PM"
"2","5:55 AM","6:45 AM","7:34 AM","12:32 PM","12:40 PM","3:47 PM","4:00 PM","5:30 PM","6:52 PM","7:15 PM","12:40 PM","1:40 PM"
"3","5:54 AM","6:45 AM","7:33 AM","12:32 PM","12:40 PM","3:48 PM","4:00 PM","5:32 PM","6:53 PM","7:15 PM","12:40 PM","1:40 PM"
"4","5:53 AM","6:30 AM","7:32 AM","12:32 PM","12:40 PM","3:50 PM","4:15 PM","5:33 PM","6:55 PM","7:30 PM","12:40 PM","1:40 PM"
"5","5:52 AM","6:30 AM","7:31 AM","12:32 PM","12:40 PM","3:51 PM","4:15 PM","5:34 PM","6:56 PM","7:30 PM","12:40 PM","1:40 PM"
"6","5:51 AM","6:30 AM","7:29 AM","12:32 PM","12:40 PM","3:52 PM","4:15 PM","5:36 PM","6:57 PM","7:30 PM","12:40 PM","1:40 PM"
"7","5:50 AM","6:30 AM","7:28 AM","12:32 PM","12:40 PM","3:54 PM","4:15 PM","5:37 PM","6:58 PM","7:30 PM","12:40 PM","1:40 PM"
"8","5:49 AM","6:30 AM","7:27 AM","12:32 PM","12:40 PM","3:55 PM","4:15 PM","5:39 PM","6:59 PM","7:30 PM","12:40 PM","1:40 PM"
"9","5:48 AM","6:30 AM","7:25 AM","12:32 PM","12:40 PM","3:56 PM","4:15 PM","5:40 PM","7:01 PM","7:30 PM","12:40 PM","1:40 PM"
"10","5:47 AM","6:30 AM","7:24 AM","12:32 PM","12:40 PM","3:58 PM","4:15 PM","5:41 PM","7:02 PM","7:30 PM","12:40 PM","1:40 PM"
"11","5:46 AM","6:15 AM","7:23 AM","12:32 PM","12:40 PM","3:59 PM","4:30 PM","5:43 PM","7:03 PM","7:30 PM","12:40 PM","1:40 PM"
"12","5:44 AM","6:15 AM","7:21 AM","12:32 PM","12:40 PM","4:00 PM","4:30 PM","5:44 PM","7:04 PM","7:30 PM","12:40 PM","1:40 PM"
"13","5:43 AM","6:30 AM","7:20 AM","12:32 PM","12:40 PM","4:01 PM","4:30 PM","5:45 PM","7:06 PM","7:30 PM","12:40 PM","1:40 PM"
"14","5:42 AM","6:30 AM","7:19 AM","12:32 PM","12:40 PM","4:03 PM","4:30 PM","5:47 PM","7:07 PM","7:30 PM","12:40 PM","1:40 PM"
"15","5:41 AM","6:30 AM","7:17 AM","12:32 PM","12:40 PM","4:04 PM","4:30 PM","5:48 PM","7:08 PM","7:30 PM","12:40 PM","1:40 PM"
"16","5:39 AM","6:15 AM","7:16 AM","12:32 PM","12:40 PM","4:05 PM","4:30 PM","5:50 PM","7:09 PM","7:30 PM","12:40 PM","1:40 PM"
"17","5:38 AM","6:15 AM","7:14 AM","12:32 PM","12:40 PM","4:06 PM","4:30 PM","5:51 PM","7:11 PM","7:30 PM","12:40 PM","1:40 PM"
"18","5:36 AM","6:15 AM","7:13 AM","12:32 PM","12:40 PM","4:08 PM","4:30 PM","5:52 PM","7:12 PM","7:30 PM","12:40 PM","1:40 PM"
"19","5:35 AM","6:15 AM","7:11 AM","12:32 PM","12:40 PM","4:09 PM","4:30 PM","5:54 PM","7:13 PM","7:30 PM","12:40 PM","1:40 PM"
"20","5:34 AM","6:15 AM","7:10 AM","12:32 PM","12:40 PM","4:10 PM","4:30 PM","5:55 PM","7:14 PM","7:30 PM","12:40 PM","1:40 PM"
"21","5:32 AM","6:15 AM","7:08 AM","12:32 PM","12:40 PM","4:11 PM","4:30 PM","5:56 PM","7:16 PM","7:30 PM","12:40 PM","1:40 PM"
"22","5:31 AM","6:15 AM","7:06 AM","12:32 PM","12:40 PM","4:13 PM","4:30 PM","5:58 PM","7:17 PM","7:30 PM","12:40 PM","1:40 PM"
"23","5:29 AM","6:15 AM","7:05 AM","12:31 PM","12:40 PM","4:14 PM","4:30 PM","5:59 PM","7:18 PM","7:45 PM","12:40 PM","1:40 PM"
"24","5:28 AM","6:15 AM","7:03 AM","12:31 PM","12:40 PM","4:15 PM","4:30 PM","6:00 PM","7:19 PM","7:45 PM","12:40 PM","1:40 PM"
"25","5:26 AM","6:15 AM","7:02 AM","12:31 PM","12:40 PM","4:16 PM","4:30 PM","6:02 PM","7:21 PM","7:45 PM","12:40 PM","1:40 PM"
"26","5:24 AM","6:15 AM","7:00 AM","12:31 PM","12:40 PM","4:17 PM","4:30 PM","6:03 PM","7:22 PM","7:45 PM","12:40 PM","1:40 PM"
"27","5:23 AM","6:15 AM","6:58 AM","12:31 PM","12:40 PM","4:18 PM","4:30 PM","6:04 PM","7:23 PM","7:45 PM","12:40 PM","1:40 PM"
"28","5:21 AM","6:15 AM","6:57 AM","12:31 PM","12:40 PM","4:20 PM","4:30 PM","6:05 PM","7:24 PM","7:30 PM","12:40 PM","1:40 PM"
"29","","","","","","","","","","","",""
