"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","3:18 AM","4:15 AM","5:40 AM","1:22 PM","1:30 PM","6:42 PM","7:00 PM","9:04 PM","10:54 PM","11:00 PM","1:40 PM","2:40 PM"
"2","3:19 AM","4:15 AM","5:40 AM","1:22 PM","1:30 PM","6:42 PM","7:00 PM","9:04 PM","10:54 PM","11:00 PM","1:40 PM","2:40 PM"
"3","3:20 AM","4:15 AM","5:41 AM","1:22 PM","1:30 PM","6:42 PM","7:00 PM","9:04 PM","10:53 PM","11:00 PM","1:40 PM","2:40 PM"
"4","3:21 AM","4:15 AM","5:42 AM","1:23 PM","1:30 PM","6:42 PM","7:00 PM","9:03 PM","10:53 PM","11:00 PM","1:40 PM","2:40 PM"
"5","3:22 AM","4:15 AM","5:42 AM","1:23 PM","1:40 PM","6:42 PM","7:00 PM","9:03 PM","10:52 PM","10:50 PM","1:40 PM","2:40 PM"
"6","3:23 AM","4:15 AM","5:43 AM","1:23 PM","1:40 PM","6:42 PM","7:00 PM","9:03 PM","10:51 PM","10:50 PM","1:40 PM","2:40 PM"
"7","3:25 AM","4:15 AM","5:44 AM","1:23 PM","1:40 PM","6:41 PM","7:00 PM","9:02 PM","10:50 PM","10:50 PM","1:40 PM","2:40 PM"
"8","3:26 AM","4:15 AM","5:44 AM","1:23 PM","1:40 PM","6:41 PM","7:00 PM","9:02 PM","10:50 PM","10:50 PM","1:40 PM","2:40 PM"
"9","3:27 AM","4:15 AM","5:45 AM","1:23 PM","1:40 PM","6:41 PM","7:00 PM","9:02 PM","10:49 PM","10:50 PM","1:40 PM","2:40 PM"
"10","3:29 AM","4:25 AM","5:46 AM","1:24 PM","1:40 PM","6:41 PM","7:00 PM","9:01 PM","10:48 PM","10:50 PM","1:40 PM","2:40 PM"
"11","3:30 AM","4:25 AM","5:47 AM","1:24 PM","1:40 PM","6:41 PM","7:00 PM","9:00 PM","10:47 PM","10:50 PM","1:40 PM","2:40 PM"
"12","3:32 AM","4:25 AM","5:47 AM","1:24 PM","1:40 PM","6:40 PM","7:00 PM","9:00 PM","10:46 PM","10:50 PM","1:40 PM","2:40 PM"
"13","3:33 AM","4:25 AM","5:48 AM","1:24 PM","1:40 PM","6:40 PM","7:00 PM","8:59 PM","10:45 PM","10:50 PM","1:40 PM","2:40 PM"
"14","3:35 AM","4:25 AM","5:49 AM","1:24 PM","1:40 PM","6:40 PM","7:00 PM","8:59 PM","10:44 PM","10:50 PM","1:40 PM","2:40 PM"
"15","3:36 AM","4:25 AM","5:50 AM","1:24 PM","1:40 PM","6:40 PM","7:00 PM","8:58 PM","10:43 PM","10:50 PM","1:40 PM","2:40 PM"
"16","3:38 AM","4:25 AM","5:51 AM","1:24 PM","1:40 PM","6:39 PM","7:00 PM","8:57 PM","10:41 PM","10:45 PM","1:40 PM","2:40 PM"
"17","3:39 AM","4:25 AM","5:52 AM","1:24 PM","1:40 PM","6:39 PM","7:00 PM","8:57 PM","10:40 PM","10:45 PM","1:40 PM","2:40 PM"
