"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:45 AM","7:46 AM","","1:00 PM","","4:00 PM","5:49 PM","","7:30 PM","1:00 PM","2:00 PM"
"2","","6:45 AM","7:45 AM","","1:00 PM","","4:00 PM","5:50 PM","","7:30 PM","1:00 PM","2:00 PM"
"3","","6:30 AM","7:44 AM","","1:00 PM","","4:00 PM","5:52 PM","","7:45 PM","1:00 PM","2:00 PM"
"4","","6:30 AM","7:42 AM","","1:00 PM","","4:00 PM","5:53 PM","","7:45 PM","1:00 PM","2:00 PM"
"5","","6:30 AM","7:41 AM","","1:00 PM","","4:00 PM","5:54 PM","","7:45 PM","1:00 PM","2:00 PM"
"6","","6:30 AM","7:40 AM","","1:00 PM","","4:00 PM","5:55 PM","","7:45 PM","1:00 PM","2:00 PM"
"7","","6:30 AM","7:39 AM","","1:00 PM","","4:00 PM","5:57 PM","","7:45 PM","1:00 PM","2:00 PM"
"8","","6:30 AM","7:38 AM","","1:00 PM","","4:00 PM","5:58 PM","","7:45 PM","1:00 PM","2:00 PM"
"9","","6:30 AM","7:37 AM","","1:00 PM","","4:00 PM","5:59 PM","","7:45 PM","1:00 PM","2:00 PM"
"10","","6:30 AM","7:35 AM","","1:00 PM","","4:00 PM","6:01 PM","","7:45 PM","1:00 PM","2:00 PM"
"11","","6:30 AM","7:34 AM","","1:00 PM","","4:00 PM","6:02 PM","","7:45 PM","1:00 PM","2:00 PM"
"12","","6:30 AM","7:33 AM","","1:00 PM","","4:00 PM","6:03 PM","","7:45 PM","1:00 PM","2:00 PM"
"13","","6:30 AM","7:31 AM","","1:00 PM","","4:00 PM","6:05 PM","","7:45 PM","1:00 PM","2:00 PM"
"14","","6:30 AM","7:30 AM","","1:00 PM","","4:00 PM","6:06 PM","","7:45 PM","1:00 PM","2:00 PM"
"15","","6:30 AM","7:29 AM","","1:00 PM","","4:00 PM","6:07 PM","","7:45 PM","1:00 PM","2:00 PM"
"16","","6:30 AM","7:27 AM","","1:00 PM","","4:00 PM","6:08 PM","","7:45 PM","1:00 PM","2:00 PM"
"17","","6:30 AM","7:26 AM","","1:00 PM","","4:30 PM","6:10 PM","","8:00 PM","1:00 PM","2:00 PM"
"18","","6:30 AM","7:24 AM","","1:00 PM","","4:30 PM","6:11 PM","","8:00 PM","1:00 PM","2:00 PM"
"19","","6:30 AM","7:23 AM","","1:00 PM","","4:30 PM","6:12 PM","","8:00 PM","1:00 PM","2:00 PM"
"20","","6:30 AM","7:22 AM","","1:00 PM","","4:30 PM","6:13 PM","","8:00 PM","1:00 PM","2:00 PM"
"21","","6:30 AM","7:20 AM","","1:00 PM","","4:30 PM","6:15 PM","","8:00 PM","1:00 PM","2:00 PM"
"22","","6:30 AM","7:19 AM","","1:00 PM","","4:30 PM","6:16 PM","","8:00 PM","1:00 PM","2:00 PM"
"23","","6:30 AM","7:17 AM","","1:00 PM","","4:30 PM","6:17 PM","","8:00 PM","1:00 PM","2:00 PM"
"24","","6:15 AM","7:16 AM","","1:00 PM","","4:30 PM","6:18 PM","","8:00 PM","1:00 PM","2:00 PM"
"25","","6:15 AM","7:14 AM","","1:00 PM","","4:30 PM","6:20 PM","","8:00 PM","1:00 PM","2:00 PM"
"26","","6:15 AM","7:12 AM","","1:00 PM","","4:30 PM","6:21 PM","","8:00 PM","1:00 PM","2:00 PM"
"27","","6:15 AM","7:11 AM","","1:00 PM","","4:30 PM","6:22 PM","","8:00 PM","1:00 PM","2:00 PM"
"28","","6:15 AM","7:09 AM","","1:00 PM","","4:30 PM","6:23 PM","","8:00 PM","1:00 PM","2:00 PM"
"29","","6:15 AM","7:09 AM","","1:00 PM","","4:30 PM","6:23 PM","","8:00 PM","1:00 PM","2:00 PM"
