"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","5:15 AM","5:58 AM","","2:00 PM","","6:00 PM","9:05 PM","","10:45 PM","1:55 PM","3:00 PM"
"2","","5:15 AM","5:58 AM","","2:00 PM","","6:00 PM","9:06 PM","","10:45 PM","1:55 PM","3:00 PM"
"3","","5:15 AM","5:57 AM","","2:00 PM","","6:00 PM","9:06 PM","","10:45 PM","1:55 PM","3:00 PM"
"4","","5:15 AM","5:57 AM","","2:00 PM","","6:00 PM","9:07 PM","","10:45 PM","1:55 PM","3:00 PM"
"5","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:08 PM","","10:45 PM","1:55 PM","3:00 PM"
"6","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:08 PM","","10:45 PM","1:55 PM","3:00 PM"
"7","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:09 PM","","10:45 PM","1:55 PM","3:00 PM"
"8","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:10 PM","","10:45 PM","1:55 PM","3:00 PM"
"9","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:10 PM","","10:45 PM","1:55 PM","3:00 PM"
"10","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:11 PM","","10:45 PM","1:55 PM","3:00 PM"
"11","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:11 PM","","10:45 PM","1:55 PM","3:00 PM"
"12","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:12 PM","","10:45 PM","1:55 PM","3:00 PM"
"13","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:12 PM","","10:45 PM","1:55 PM","3:00 PM"
"14","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:13 PM","","10:45 PM","1:55 PM","3:00 PM"
"15","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:13 PM","","10:45 PM","1:55 PM","3:00 PM"
"16","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:14 PM","","10:45 PM","1:55 PM","3:00 PM"
"17","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:14 PM","","10:45 PM","1:55 PM","3:00 PM"
"18","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:14 PM","","10:45 PM","1:55 PM","3:00 PM"
"19","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"20","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"21","","5:15 AM","5:55 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"22","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"23","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:15 PM","","10:45 PM","1:55 PM","3:00 PM"
"24","","5:15 AM","5:56 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
"25","","5:15 AM","5:57 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
"26","","5:15 AM","5:57 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
"27","","5:15 AM","5:57 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
"28","","5:15 AM","5:58 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
"29","","5:15 AM","5:58 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
"30","","5:15 AM","5:59 AM","","2:00 PM","","6:00 PM","9:16 PM","","10:45 PM","1:55 PM","3:00 PM"
