"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:15 AM","7:08 AM","","1:00 PM","","4:30 PM","6:25 PM","","8:00 PM","1:00 PM","2:00 PM"
"2","","6:00 AM","7:06 AM","","1:00 PM","","4:30 PM","6:26 PM","","8:15 PM","1:00 PM","2:00 PM"
"3","","6:00 AM","7:04 AM","","1:00 PM","","4:30 PM","6:27 PM","","8:15 PM","1:00 PM","2:00 PM"
"4","","6:00 AM","7:03 AM","","1:00 PM","","4:30 PM","6:28 PM","","8:15 PM","1:00 PM","2:00 PM"
"5","","6:00 AM","7:01 AM","","1:00 PM","","4:30 PM","6:29 PM","","8:15 PM","1:00 PM","2:00 PM"
"6","","6:00 AM","7:00 AM","","1:00 PM","","4:30 PM","6:31 PM","","8:15 PM","1:00 PM","2:00 PM"
"7","","6:00 AM","6:58 AM","","1:00 PM","","4:30 PM","6:32 PM","","8:15 PM","1:00 PM","2:00 PM"
"8","","6:00 AM","6:56 AM","","1:00 PM","","4:30 PM","6:33 PM","","8:15 PM","1:00 PM","2:00 PM"
"9","","5:45 AM","6:55 AM","","1:00 PM","","4:30 PM","6:34 PM","","8:30 PM","1:00 PM","2:00 PM"
"10","","5:45 AM","6:53 AM","","1:00 PM","","4:30 PM","6:35 PM","","8:30 PM","1:00 PM","2:00 PM"
"11","","6:45 AM","7:51 AM","","2:00 PM","","5:30 PM","7:37 PM","","9:30 PM","1:55 PM","3:00 PM"
"12","","6:45 AM","7:50 AM","","2:00 PM","","5:30 PM","7:38 PM","","9:30 PM","1:55 PM","3:00 PM"
"13","","6:45 AM","7:48 AM","","2:00 PM","","5:30 PM","7:39 PM","","9:30 PM","1:55 PM","3:00 PM"
"14","","6:45 AM","7:46 AM","","2:00 PM","","5:30 PM","7:40 PM","","9:30 PM","1:55 PM","3:00 PM"
"15","","6:45 AM","7:44 AM","","2:00 PM","","5:30 PM","7:41 PM","","9:30 PM","1:55 PM","3:00 PM"
"16","","6:45 AM","7:43 AM","","2:00 PM","","5:30 PM","7:42 PM","","9:30 PM","1:55 PM","3:00 PM"
"17","","6:45 AM","7:41 AM","","2:00 PM","","5:30 PM","7:44 PM","","9:30 PM","1:55 PM","3:00 PM"
"18","","6:45 AM","7:39 AM","","2:00 PM","","5:30 PM","7:45 PM","","9:30 PM","1:55 PM","3:00 PM"
"19","","6:45 AM","7:38 AM","","2:00 PM","","5:30 PM","7:46 PM","","9:30 PM","1:55 PM","3:00 PM"
"20","","6:45 AM","7:36 AM","","2:00 PM","","5:30 PM","7:47 PM","","9:30 PM","1:55 PM","3:00 PM"
"21","","6:45 AM","7:34 AM","","2:00 PM","","5:30 PM","7:48 PM","","9:30 PM","1:55 PM","3:00 PM"
"22","","6:45 AM","7:32 AM","","2:00 PM","","5:30 PM","7:49 PM","","9:30 PM","1:55 PM","3:00 PM"
"23","","6:30 AM","7:31 AM","","2:00 PM","","5:30 PM","7:50 PM","","9:30 PM","1:55 PM","3:00 PM"
"24","","6:30 AM","7:29 AM","","2:00 PM","","5:30 PM","7:52 PM","","9:30 PM","1:55 PM","3:00 PM"
"25","","6:30 AM","7:27 AM","","2:00 PM","","5:30 PM","7:53 PM","","9:30 PM","1:55 PM","3:00 PM"
"26","","6:30 AM","7:25 AM","","2:00 PM","","5:30 PM","7:54 PM","","9:30 PM","1:55 PM","3:00 PM"
"27","","6:30 AM","7:24 AM","","2:00 PM","","5:30 PM","7:55 PM","","9:30 PM","1:55 PM","3:00 PM"
"28","","6:30 AM","7:22 AM","","2:00 PM","","5:30 PM","7:56 PM","","9:30 PM","1:55 PM","3:00 PM"
"29","","6:30 AM","7:20 AM","","2:00 PM","","5:30 PM","7:57 PM","","9:30 PM","1:55 PM","3:00 PM"
"30","","6:30 AM","7:18 AM","","2:00 PM","","5:30 PM","7:58 PM","","9:30 PM","1:55 PM","3:00 PM"
"31","","6:30 AM","7:17 AM","","2:00 PM","","5:30 PM","7:59 PM","","9:30 PM","1:55 PM","3:00 PM"
