"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:15 AM","7:29 AM","","2:00 PM","","5:30 PM","7:17 PM","","9:00 PM","1:55 PM","3:00 PM"
"2","","6:15 AM","7:30 AM","","2:00 PM","","5:30 PM","7:15 PM","","9:00 PM","1:55 PM","3:00 PM"
"3","","6:15 AM","7:31 AM","","2:00 PM","","5:30 PM","7:13 PM","","9:00 PM","1:55 PM","3:00 PM"
"4","","6:15 AM","7:32 AM","","2:00 PM","","5:30 PM","7:12 PM","","9:00 PM","1:55 PM","3:00 PM"
"5","","6:30 AM","7:33 AM","","2:00 PM","","5:30 PM","7:10 PM","","8:45 PM","1:55 PM","3:00 PM"
"6","","6:30 AM","7:34 AM","","2:00 PM","","5:30 PM","7:08 PM","","8:45 PM","1:55 PM","3:00 PM"
"7","","6:30 AM","7:35 AM","","2:00 PM","","5:30 PM","7:07 PM","","8:45 PM","1:55 PM","3:00 PM"
"8","","6:30 AM","7:37 AM","","2:00 PM","","5:30 PM","7:05 PM","","8:45 PM","1:55 PM","3:00 PM"
"9","","6:30 AM","7:38 AM","","2:00 PM","","5:30 PM","7:03 PM","","8:45 PM","1:55 PM","3:00 PM"
"10","","6:30 AM","7:39 AM","","2:00 PM","","5:30 PM","7:02 PM","","8:45 PM","1:55 PM","3:00 PM"
"11","","6:30 AM","7:40 AM","","2:00 PM","","5:30 PM","7:00 PM","","8:45 PM","1:55 PM","3:00 PM"
"12","","6:30 AM","7:41 AM","","2:00 PM","","5:00 PM","6:58 PM","","8:30 PM","1:55 PM","3:00 PM"
"13","","6:30 AM","7:42 AM","","2:00 PM","","5:00 PM","6:57 PM","","8:30 PM","1:55 PM","3:00 PM"
"14","","6:30 AM","7:43 AM","","2:00 PM","","5:00 PM","6:55 PM","","8:30 PM","1:55 PM","3:00 PM"
"15","","6:30 AM","7:45 AM","","2:00 PM","","5:00 PM","6:54 PM","","8:30 PM","1:55 PM","3:00 PM"
"16","","6:30 AM","7:46 AM","","2:00 PM","","5:00 PM","6:52 PM","","8:30 PM","1:55 PM","3:00 PM"
"17","","6:30 AM","7:47 AM","","2:00 PM","","5:00 PM","6:50 PM","","8:30 PM","1:55 PM","3:00 PM"
"18","","6:30 AM","7:48 AM","","2:00 PM","","5:00 PM","6:49 PM","","8:30 PM","1:55 PM","3:00 PM"
"19","","6:45 AM","7:49 AM","","2:00 PM","","5:00 PM","6:47 PM","","8:30 PM","1:55 PM","3:00 PM"
"20","","6:45 AM","7:50 AM","","2:00 PM","","5:00 PM","6:46 PM","","8:30 PM","1:55 PM","3:00 PM"
"21","","6:45 AM","7:52 AM","","2:00 PM","","5:00 PM","6:44 PM","","8:30 PM","1:55 PM","3:00 PM"
"22","","6:45 AM","7:53 AM","","2:00 PM","","5:00 PM","6:43 PM","","8:30 PM","1:55 PM","3:00 PM"
"23","","6:45 AM","7:54 AM","","2:00 PM","","5:00 PM","6:41 PM","","8:30 PM","1:55 PM","3:00 PM"
"24","","6:45 AM","7:55 AM","","2:00 PM","","5:00 PM","6:40 PM","","8:30 PM","1:55 PM","3:00 PM"
"25","","6:45 AM","7:56 AM","","2:00 PM","","5:00 PM","6:38 PM","","8:30 PM","1:55 PM","3:00 PM"
"26","","7:00 AM","7:58 AM","","2:00 PM","","5:00 PM","6:37 PM","","8:30 PM","1:55 PM","3:00 PM"
"27","","7:00 AM","7:59 AM","","2:00 PM","","5:00 PM","6:35 PM","","8:30 PM","1:55 PM","3:00 PM"
"28","","7:00 AM","8:00 AM","","2:00 PM","","5:00 PM","6:34 PM","","8:30 PM","1:55 PM","3:00 PM"
"29","","7:00 AM","8:01 AM","","2:00 PM","","5:00 PM","6:33 PM","","8:30 PM","1:55 PM","3:00 PM"
"30","","7:00 AM","8:02 AM","","2:00 PM","","5:00 PM","6:31 PM","","8:30 PM","1:55 PM","3:00 PM"
"31","","7:00 AM","8:04 AM","","2:00 PM","","5:00 PM","6:30 PM","","8:30 PM","1:55 PM","3:00 PM"
