"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","4:17 AM","5:30 AM","6:14 AM","1:19 PM","1:39 PM","6:15 PM","6:35 PM","8:45 PM","10:01 PM","10:20 PM","1:40 PM"
"2","4:15 AM","5:30 AM","6:15 AM","1:19 PM","1:39 PM","6:15 PM","6:35 PM","8:43 PM","10:01 PM","10:20 PM","1:45 PM"
"3","4:17 AM","5:30 AM","6:16 AM","1:20 PM","1:39 PM","5:27 PM","6:35 PM","8:42 PM","10:15 PM","10:20 PM","1:45 PM"
"4","4:17 AM","5:30 AM","6:17 AM","1:20 PM","1:39 PM","5:26 PM","6:35 PM","8:41 PM","10:14 PM","10:20 PM","1:45 PM"
"5","4:18 AM","5:30 AM","6:18 AM","1:20 PM","1:39 PM","5:26 PM","6:35 PM","8:40 PM","10:12 PM","10:20 PM","1:45 PM"
"6","4:19 AM","5:30 AM","6:19 AM","1:20 PM","1:39 PM","5:25 PM","6:35 PM","8:38 PM","10:10 PM","10:20 PM","1:45 PM"
"7","4:20 AM","5:30 AM","6:20 AM","1:20 PM","1:39 PM","5:25 PM","6:35 PM","8:37 PM","10:08 PM","10:20 PM","1:45 PM"
"8","4:22 AM","5:30 AM","6:21 AM","1:20 PM","1:39 PM","5:24 PM","6:35 PM","8:36 PM","10:07 PM","10:20 PM","1:45 PM"
"9","4:23 AM","5:30 AM","6:22 AM","1:20 PM","1:39 PM","5:23 PM","6:35 PM","8:34 PM","10:05 PM","10:20 PM","1:40 PM"
"10","4:23 AM","5:30 AM","6:23 AM","1:19 PM","1:39 PM","5:23 PM","6:35 PM","8:33 PM","10:03 PM","10:20 PM","1:40 PM"
"11","4:24 AM","5:30 AM","6:24 AM","1:19 PM","1:39 PM","5:22 PM","6:35 PM","8:31 PM","10:01 PM","10:20 PM","1:40 PM"
"12","4:26 AM","5:30 AM","6:25 AM","1:19 PM","1:39 PM","5:21 PM","6:35 PM","8:30 PM","9:59 PM","10:20 PM","1:40 PM"
"13","4:27 AM","5:30 AM","6:27 AM","1:19 PM","1:39 PM","5:21 PM","6:35 PM","8:29 PM","9:57 PM","10:20 PM","1:40 PM"
"14","4:29 AM","5:30 AM","6:28 AM","1:19 PM","1:39 PM","5:20 PM","6:35 PM","8:27 PM","9:56 PM","10:20 PM","1:40 PM"
"15","4:30 AM","5:30 AM","6:29 AM","1:17 PM","1:39 PM","5:19 PM","6:35 PM","8:26 PM","9:54 PM","10:20 PM","1:40 PM"
"16","4:32 AM","5:30 AM","6:30 AM","1:17 PM","1:39 PM","5:19 PM","6:35 PM","8:24 PM","9:52 PM","10:20 PM","1:40 PM"
"17","4:32 AM","5:30 AM","6:31 AM","1:17 PM","1:39 PM","5:18 PM","6:35 PM","8:23 PM","9:50 PM","10:20 PM","1:40 PM"
"18","4:33 AM","5:30 AM","6:32 AM","1:17 PM","1:39 PM","5:17 PM","6:35 PM","8:21 PM","9:48 PM","10:20 PM","1:40 PM"
"19","4:33 AM","5:30 AM","6:33 AM","1:17 PM","1:39 PM","5:16 PM","6:35 PM","8:19 PM","9:46 PM","10:20 PM","1:40 PM"
"20","4:34 AM","5:30 AM","6:34 AM","1:16 PM","1:39 PM","5:16 PM","6:35 PM","8:18 PM","9:44 PM","10:20 PM","1:40 PM"
"21","4:35 AM","5:30 AM","6:35 AM","1:26 PM","1:39 PM","5:15 PM","6:35 PM","8:16 PM","9:42 PM","10:20 PM","1:40 PM"
"22","4:36 AM","5:30 AM","6:36 AM","1:16 PM","1:39 PM","5:14 PM","6:35 PM","8:15 PM","9:40 PM","10:20 PM","1:40 PM"
"23","4:38 AM","5:30 AM","6:37 AM","1:16 PM","1:39 PM","5:13 PM","6:35 PM","8:13 PM","9:38 PM","10:20 PM","1:40 PM"
"24","4:40 AM","5:30 AM","6:39 AM","1:15 PM","1:39 PM","5:12 PM","6:35 PM","8:11 PM","9:36 PM","10:20 PM","1:40 PM"
"25","4:42 AM","5:30 AM","6:40 AM","1:15 PM","1:39 PM","5:11 PM","6:35 PM","8:10 PM","9:34 PM","10:20 PM","1:40 PM"
"26","4:43 AM","5:30 AM","6:41 AM","1:15 PM","1:39 PM","5:10 PM","6:35 PM","8:08 PM","9:32 PM","10:20 PM","1:40 PM"
"27","4:45 AM","5:30 AM","6:42 AM","1:14 PM","1:39 PM","5:09 PM","6:35 PM","8:06 PM","9:30 PM","10:20 PM","1:40 PM"
"28","4:47 AM","5:30 AM","6:43 AM","1:14 PM","1:39 PM","5:08 PM","6:35 PM","8:05 PM","9:28 PM","10:20 PM","1:40 PM"
"29","4:48 AM","5:30 AM","6:44 AM","1:14 PM","1:39 PM","5:07 PM","6:35 PM","8:03 PM","9:26 PM","10:20 PM","1:40 PM"
"30","4:49 AM","5:30 AM","6:45 AM","1:14 PM","1:39 PM","5:06 PM","6:35 PM","8:01 PM","9:24 PM","10:20 PM","1:40 PM"
"31","4:50 AM","5:30 AM","6:46 AM","1:13 PM","1:39 PM","5:05 PM","6:35 PM","8:00 PM","9:22 PM","10:20 PM","1:40 PM"
