"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:10 AM","","7:35 AM","12:12 PM","","2:30 PM","","4:49 PM","6:13 PM","",""
"2","6:11 AM","","7:36 AM","12:12 PM","","2:30 PM","","4:49 PM","6:13 PM","",""
"3","6:12 AM","","7:37 AM","12:13 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"4","6:13 AM","","7:38 AM","12:13 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"5","6:14 AM","","7:39 AM","12:14 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"6","6:15 AM","","7:40 AM","12:14 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"7","6:16 AM","","7:41 AM","12:15 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"8","6:17 AM","","7:42 AM","12:15 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"9","6:17 AM","","7:43 AM","12:15 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"10","6:18 AM","","7:44 AM","12:16 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"11","6:19 AM","","7:45 AM","12:16 PM","","2:30 PM","","4:48 PM","6:13 PM","",""
"12","6:20 AM","","7:45 AM","12:17 PM","","2:30 PM","","4:48 PM","6:14 PM","",""
"13","6:21 AM","","7:46 AM","12:17 PM","","2:30 PM","","4:48 PM","6:14 PM","",""
"14","6:21 AM","","7:47 AM","12:18 PM","","2:31 PM","","4:48 PM","6:14 PM","",""
"15","6:22 AM","","7:48 AM","12:18 PM","","2:31 PM","","4:49 PM","6:14 PM","",""
"16","6:23 AM","","7:48 AM","12:19 PM","","2:31 PM","","4:49 PM","6:15 PM","",""
"17","6:23 AM","","7:49 AM","12:19 PM","","2:32 PM","","4:49 PM","6:15 PM","",""
"18","6:24 AM","","7:50 AM","12:20 PM","","2:32 PM","","4:50 PM","6:15 PM","",""
"19","6:24 AM","","7:50 AM","12:20 PM","","2:32 PM","","4:50 PM","6:16 PM","",""
"20","6:25 AM","","7:51 AM","12:21 PM","","2:33 PM","","4:50 PM","6:16 PM","",""
"21","6:26 AM","","7:51 AM","12:21 PM","","2:33 PM","","4:51 PM","6:17 PM","",""
"22","6:26 AM","","7:52 AM","12:22 PM","","2:34 PM","","4:51 PM","6:17 PM","",""
"23","6:26 AM","","7:52 AM","12:22 PM","","2:34 PM","","4:52 PM","6:18 PM","",""
"24","6:27 AM","","7:53 AM","12:23 PM","","2:35 PM","","4:53 PM","6:18 PM","",""
"25","6:27 AM","","7:53 AM","12:23 PM","","2:36 PM","","4:53 PM","6:19 PM","",""
"26","6:28 AM","","7:54 AM","12:24 PM","","2:36 PM","","4:54 PM","6:20 PM","",""
"27","6:28 AM","","7:54 AM","12:24 PM","","2:37 PM","","4:55 PM","6:20 PM","",""
"28","6:28 AM","","7:54 AM","12:25 PM","","2:38 PM","","4:55 PM","6:21 PM","",""
"29","6:29 AM","","7:54 AM","12:25 PM","","2:38 PM","","4:56 PM","6:22 PM","",""
"30","6:29 AM","","7:55 AM","12:26 PM","","2:39 PM","","4:57 PM","6:22 PM","",""
"31","6:29 AM","","7:55 AM","12:26 PM","","2:40 PM","","4:58 PM","6:23 PM","",""
