"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:17 AM","","7:38 AM","12:37 PM","","3:13 PM","","5:35 PM","6:56 PM","",""
"2","6:16 AM","","7:37 AM","12:37 PM","","3:14 PM","","5:37 PM","6:58 PM","",""
"3","6:15 AM","","7:36 AM","12:37 PM","","3:15 PM","","5:38 PM","6:59 PM","",""
"4","6:15 AM","","7:35 AM","12:37 PM","","3:16 PM","","5:40 PM","7:00 PM","",""
"5","6:13 AM","","7:34 AM","12:37 PM","","3:17 PM","","5:41 PM","7:01 PM","",""
"6","6:12 AM","","7:33 AM","12:37 PM","","3:18 PM","","5:42 PM","7:02 PM","",""
"7","6:11 AM","","7:31 AM","12:37 PM","","3:19 PM","","5:44 PM","7:04 PM","",""
"8","6:10 AM","","7:30 AM","12:37 PM","","3:20 PM","","5:45 PM","7:05 PM","",""
"9","6:09 AM","","7:29 AM","12:37 PM","","3:21 PM","","5:46 PM","7:06 PM","",""
"10","6:08 AM","","7:28 AM","12:37 PM","","3:22 PM","","5:48 PM","7:07 PM","",""
"11","6:07 AM","","7:26 AM","12:37 PM","","3:23 PM","","5:49 PM","7:08 PM","",""
"12","6:06 AM","","7:25 AM","12:37 PM","","3:25 PM","","5:50 PM","7:10 PM","",""
"13","6:04 AM","","7:24 AM","12:37 PM","","3:26 PM","","5:52 PM","7:11 PM","",""
"14","6:03 AM","","7:22 AM","12:37 PM","","3:27 PM","","5:53 PM","7:12 PM","",""
"15","6:02 AM","","7:21 AM","12:37 PM","","3:28 PM","","5:54 PM","7:13 PM","",""
"16","6:00 AM","","7:19 AM","12:37 PM","","3:29 PM","","5:56 PM","7:14 PM","",""
"17","5:59 AM","","7:18 AM","12:37 PM","","3:30 PM","","5:57 PM","7:16 PM","",""
"18","5:58 AM","","7:16 AM","12:37 PM","","3:31 PM","","5:58 PM","7:17 PM","",""
"19","5:56 AM","","7:15 AM","12:37 PM","","3:32 PM","","5:59 PM","7:18 PM","",""
"20","5:55 AM","","7:13 AM","12:37 PM","","3:33 PM","","6:01 PM","7:19 PM","",""
"21","5:53 AM","","7:12 AM","12:37 PM","","3:33 PM","","6:02 PM","7:20 PM","",""
"22","5:52 AM","","7:10 AM","12:36 PM","","3:34 PM","","6:03 PM","7:22 PM","",""
"23","5:51 AM","","7:09 AM","12:36 PM","","3:35 PM","","6:05 PM","7:23 PM","",""
"24","5:49 AM","","7:07 AM","12:36 PM","","3:36 PM","","6:06 PM","7:24 PM","",""
"25","5:48 AM","","7:06 AM","12:36 PM","","3:37 PM","","6:07 PM","7:25 PM","",""
"26","5:46 AM","","7:04 AM","12:36 PM","","3:38 PM","","6:08 PM","7:26 PM","",""
"27","5:44 AM","","7:02 AM","12:36 PM","","3:39 PM","","6:10 PM","7:28 PM","",""
"28","5:43 AM","","7:01 AM","12:35 PM","","3:40 PM","","6:11 PM","7:29 PM","",""
