"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","4:00 AM","4:00 AM","5:47 AM","1:27 PM","1:27 PM","5:32 PM","5:32 PM","9:06 PM","10:54 PM","10:54 PM","1:40 PM"
"2","4:01 AM","4:01 AM","5:48 AM","1:27 PM","1:27 PM","5:32 PM","5:32 PM","9:06 PM","10:53 PM","10:53 PM","1:40 PM"
"3","4:02 AM","4:02 AM","5:48 AM","1:27 PM","1:27 PM","5:32 PM","5:32 PM","9:06 PM","10:53 PM","10:53 PM","1:40 PM"
"4","4:02 AM","4:02 AM","5:49 AM","1:27 PM","1:27 PM","5:32 PM","5:32 PM","9:06 PM","10:52 PM","10:52 PM","1:40 PM"
"5","4:03 AM","4:03 AM","5:50 AM","1:28 PM","1:28 PM","5:32 PM","5:32 PM","9:05 PM","10:51 PM","10:51 PM","1:40 PM"
"6","4:04 AM","4:04 AM","5:50 AM","1:28 PM","1:28 PM","5:32 PM","5:32 PM","9:05 PM","10:51 PM","10:51 PM","1:40 PM"
"7","4:05 AM","4:05 AM","5:51 AM","1:28 PM","1:28 PM","5:32 PM","5:32 PM","9:05 PM","10:50 PM","10:50 PM","1:40 PM"
"8","4:06 AM","4:06 AM","5:52 AM","1:28 PM","1:28 PM","5:32 PM","5:32 PM","9:04 PM","10:49 PM","10:49 PM","1:40 PM"
"9","4:07 AM","4:07 AM","5:52 AM","1:28 PM","1:28 PM","5:32 PM","5:32 PM","9:04 PM","10:49 PM","10:49 PM","1:40 PM"
"10","4:09 AM","4:09 AM","5:53 AM","1:28 PM","1:28 PM","5:32 PM","5:32 PM","9:03 PM","10:48 PM","10:48 PM","1:40 PM"
"11","4:10 AM","4:10 AM","5:54 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","9:03 PM","10:47 PM","10:47 PM","1:40 PM"
"12","4:11 AM","4:11 AM","5:55 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","9:02 PM","10:46 PM","10:46 PM","1:40 PM"
"13","4:12 AM","4:12 AM","5:55 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","9:02 PM","10:45 PM","10:45 PM","1:40 PM"
"14","4:13 AM","4:13 AM","5:56 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","9:01 PM","10:44 PM","10:44 PM","1:40 PM"
"15","4:15 AM","4:15 AM","5:57 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","9:01 PM","10:43 PM","10:43 PM","1:40 PM"
"16","4:16 AM","4:16 AM","5:58 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","9:00 PM","10:42 PM","10:42 PM","1:40 PM"
"17","4:17 AM","4:17 AM","5:59 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","8:59 PM","10:40 PM","10:40 PM","1:40 PM"
"18","4:19 AM","4:19 AM","6:00 AM","1:29 PM","1:29 PM","5:32 PM","5:32 PM","8:58 PM","10:39 PM","10:39 PM","1:40 PM"
"19","4:20 AM","4:20 AM","6:01 AM","1:29 PM","1:29 PM","5:31 PM","5:31 PM","8:58 PM","10:38 PM","10:38 PM","1:40 PM"
"20","4:21 AM","4:21 AM","6:02 AM","1:29 PM","1:29 PM","5:31 PM","5:31 PM","8:57 PM","10:37 PM","10:37 PM","1:40 PM"
"21","4:23 AM","4:23 AM","6:03 AM","1:29 PM","1:29 PM","5:31 PM","5:31 PM","8:56 PM","10:35 PM","10:35 PM","1:40 PM"
"22","4:24 AM","4:24 AM","6:04 AM","1:30 PM","1:30 PM","5:31 PM","5:31 PM","8:55 PM","10:34 PM","10:34 PM","1:40 PM"
"23","4:26 AM","4:26 AM","6:04 AM","1:30 PM","1:30 PM","5:31 PM","5:31 PM","8:54 PM","10:33 PM","10:33 PM","1:40 PM"
"24","4:27 AM","4:45 AM","6:05 AM","1:30 PM","1:55 PM","5:30 PM","5:55 PM","8:53 PM","10:31 PM","10:51 PM","2:30 PM"
"25","4:29 AM","4:45 AM","6:06 AM","1:30 PM","1:55 PM","5:30 PM","5:55 PM","8:52 PM","10:30 PM","10:51 PM","2:30 PM"
"26","4:30 AM","4:45 AM","6:07 AM","1:30 PM","1:55 PM","5:30 PM","5:55 PM","8:51 PM","10:28 PM","10:51 PM","2:30 PM"
"27","4:31 AM","4:45 AM","6:08 AM","1:30 PM","1:55 PM","5:29 PM","5:55 PM","8:50 PM","10:27 PM","10:51 PM","2:30 PM"
"28","4:33 AM","4:45 AM","6:09 AM","1:30 PM","1:55 PM","5:29 PM","5:55 PM","8:49 PM","10:25 PM","10:51 PM","2:30 PM"
"29","4:34 AM","4:45 AM","6:10 AM","1:30 PM","1:55 PM","5:29 PM","5:55 PM","8:48 PM","10:24 PM","10:51 PM","2:30 PM"
"30","4:36 AM","4:37 AM","6:12 AM","1:29 PM","1:39 PM","5:28 PM","6:35 PM","8:47 PM","10:22 PM","10:20 PM","1:40 PM"
"31","4:17 AM","4:37 AM","6:13 AM","1:19 PM","1:39 PM","6:15 PM","6:35 PM","8:46 PM","10:01 PM","10:20 PM","1:50 PM"
