"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","4:02 AM","","5:46 AM","1:21 PM","","5:25 PM","","8:56 PM","10:40 PM","",""
"2","4:01 AM","","5:46 AM","1:21 PM","","5:25 PM","","8:57 PM","10:41 PM","",""
"3","4:00 AM","","5:45 AM","1:21 PM","","5:25 PM","","8:57 PM","10:43 PM","",""
"4","4:00 AM","","5:45 AM","1:21 PM","","5:26 PM","","8:58 PM","10:44 PM","",""
"5","3:59 AM","","5:44 AM","1:22 PM","","5:26 PM","","8:59 PM","10:45 PM","",""
"6","3:58 AM","","5:44 AM","1:22 PM","","5:26 PM","","9:00 PM","10:46 PM","",""
"7","3:58 AM","","5:44 AM","1:22 PM","","5:27 PM","","9:00 PM","10:47 PM","",""
"8","3:57 AM","","5:44 AM","1:22 PM","","5:27 PM","","9:01 PM","10:48 PM","",""
"9","3:57 AM","","5:43 AM","1:22 PM","","5:27 PM","","9:01 PM","10:48 PM","",""
"10","3:56 AM","","5:43 AM","1:23 PM","","5:27 PM","","9:02 PM","10:49 PM","",""
"11","3:56 AM","","5:43 AM","1:23 PM","","5:28 PM","","9:03 PM","10:50 PM","",""
"12","3:55 AM","","5:43 AM","1:23 PM","","5:28 PM","","9:03 PM","10:51 PM","",""
"13","3:55 AM","","5:43 AM","1:23 PM","","5:28 PM","","9:04 PM","10:51 PM","",""
"14","3:55 AM","","5:43 AM","1:23 PM","","5:29 PM","","9:04 PM","10:52 PM","",""
"15","3:55 AM","","5:43 AM","1:24 PM","","5:29 PM","","9:04 PM","10:52 PM","",""
"16","3:55 AM","","5:43 AM","1:24 PM","","5:29 PM","","9:05 PM","10:53 PM","",""
"17","3:55 AM","","5:43 AM","1:24 PM","","5:29 PM","","9:05 PM","10:53 PM","",""
"18","3:55 AM","","5:43 AM","1:24 PM","","5:30 PM","","9:05 PM","10:54 PM","",""
"19","3:55 AM","","5:43 AM","1:24 PM","","5:30 PM","","9:06 PM","10:54 PM","",""
"20","3:55 AM","","5:43 AM","1:25 PM","","5:30 PM","","9:06 PM","10:54 PM","",""
"21","3:55 AM","","5:43 AM","1:25 PM","","5:30 PM","","9:06 PM","10:55 PM","",""
"22","3:55 AM","","5:44 AM","1:25 PM","","5:30 PM","","9:06 PM","10:55 PM","",""
"23","3:56 AM","","5:44 AM","1:25 PM","","5:31 PM","","9:07 PM","10:55 PM","",""
"24","3:56 AM","","5:44 AM","1:26 PM","","5:31 PM","","9:07 PM","10:55 PM","",""
"25","3:56 AM","","5:45 AM","1:26 PM","","5:31 PM","","9:07 PM","10:55 PM","",""
"26","3:57 AM","","5:45 AM","1:26 PM","","5:31 PM","","9:07 PM","10:55 PM","",""
"27","3:57 AM","","5:45 AM","1:26 PM","","5:31 PM","","9:07 PM","10:55 PM","",""
"28","3:58 AM","","5:46 AM","1:26 PM","","5:32 PM","","9:07 PM","10:54 PM","",""
"29","3:59 AM","","5:46 AM","1:27 PM","","5:32 PM","","9:07 PM","10:54 PM","",""
"30","3:59 AM","","5:47 AM","1:27 PM","","5:32 PM","","9:07 PM","10:54 PM","",""
