"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:02 AM","4:27 AM","7:20 AM","1:13 PM","1:29 PM","4:29 PM","6:39 PM","7:04 PM","8:22 PM","10:31 PM","1:15 PM"
"2","6:04 AM","4:27 AM","7:22 AM","1:12 PM","1:29 PM","4:27 PM","6:39 PM","7:02 PM","8:20 PM","10:31 PM","1:15 PM"
"3","6:05 AM","4:27 AM","7:23 AM","1:12 PM","1:29 PM","4:26 PM","6:39 PM","7:01 PM","8:18 PM","10:31 PM","1:15 PM"
"4","6:06 AM","4:27 AM","7:24 AM","1:12 PM","1:29 PM","4:25 PM","6:39 PM","6:59 PM","8:17 PM","10:31 PM","1:15 PM"
"5","6:07 AM","4:27 AM","7:25 AM","1:11 PM","1:29 PM","4:23 PM","6:39 PM","6:57 PM","8:15 PM","10:31 PM","1:15 PM"
"6","6:08 AM","4:27 AM","7:26 AM","1:11 PM","1:29 PM","4:22 PM","6:39 PM","6:55 PM","8:13 PM","10:31 PM","1:15 PM"
"7","6:09 AM","4:27 AM","7:27 AM","1:11 PM","1:29 PM","4:21 PM","6:39 PM","6:54 PM","8:11 PM","10:31 PM","1:15 PM"
"8","6:11 AM","4:27 AM","7:28 AM","1:11 PM","1:29 PM","4:19 PM","6:39 PM","6:52 PM","8:10 PM","10:31 PM","1:15 PM"
"9","6:12 AM","4:27 AM","7:30 AM","1:10 PM","1:29 PM","4:18 PM","6:39 PM","6:50 PM","8:08 PM","10:31 PM","1:15 PM"
"10","6:13 AM","4:27 AM","7:31 AM","1:10 PM","1:29 PM","4:17 PM","6:39 PM","6:48 PM","8:06 PM","10:31 PM","1:15 PM"
"11","6:14 AM","4:27 AM","7:32 AM","1:10 PM","1:29 PM","4:16 PM","6:39 PM","6:47 PM","8:05 PM","10:31 PM","1:15 PM"
"12","6:15 AM","4:27 AM","7:33 AM","1:09 PM","1:29 PM","4:14 PM","6:39 PM","6:45 PM","8:03 PM","10:31 PM","1:15 PM"
"13","6:16 AM","4:27 AM","7:34 AM","1:09 PM","1:29 PM","4:13 PM","6:39 PM","6:43 PM","8:01 PM","10:31 PM","1:15 PM"
"14","6:17 AM","4:27 AM","7:35 AM","1:09 PM","1:29 PM","4:12 PM","6:39 PM","6:42 PM","8:00 PM","10:31 PM","1:15 PM"
"15","6:19 AM","4:27 AM","7:37 AM","1:09 PM","1:29 PM","4:10 PM","6:39 PM","6:40 PM","7:58 PM","10:31 PM","1:15 PM"
"16","6:20 AM","4:27 AM","7:38 AM","1:09 PM","1:29 PM","4:09 PM","6:39 PM","6:38 PM","7:57 PM","10:31 PM","1:15 PM"
"17","6:21 AM","4:27 AM","7:39 AM","1:08 PM","1:29 PM","4:08 PM","6:39 PM","6:37 PM","7:55 PM","10:31 PM","1:15 PM"
"18","6:22 AM","4:27 AM","7:40 AM","1:08 PM","1:29 PM","4:07 PM","6:39 PM","6:35 PM","7:54 PM","10:31 PM","1:15 PM"
"19","6:23 AM","4:27 AM","7:42 AM","1:08 PM","1:29 PM","4:05 PM","6:39 PM","6:34 PM","7:52 PM","10:31 PM","1:15 PM"
"20","6:24 AM","4:27 AM","7:43 AM","1:08 PM","1:29 PM","4:04 PM","6:39 PM","6:32 PM","7:51 PM","10:31 PM","1:15 PM"
"21","6:25 AM","4:27 AM","7:44 AM","1:08 PM","1:29 PM","4:03 PM","6:39 PM","6:31 PM","7:49 PM","10:31 PM","1:15 PM"
"22","6:27 AM","","7:45 AM","1:07 PM","","4:02 PM","","6:29 PM","7:48 PM","",""
"23","6:28 AM","","7:46 AM","1:07 PM","","4:01 PM","","6:27 PM","7:46 PM","",""
"24","6:29 AM","","7:48 AM","1:07 PM","","3:59 PM","","6:26 PM","7:45 PM","",""
"25","6:30 AM","","7:49 AM","1:07 PM","","3:58 PM","","6:25 PM","7:43 PM","",""
"26","6:31 AM","","7:50 AM","1:07 PM","","3:57 PM","","6:23 PM","7:42 PM","",""
"27","6:32 AM","","7:51 AM","1:07 PM","","3:56 PM","","6:22 PM","7:41 PM","",""
"28","6:33 AM","","7:53 AM","1:07 PM","","3:55 PM","","6:20 PM","7:39 PM","",""
"29","6:35 AM","","7:54 AM","1:07 PM","","3:54 PM","","6:19 PM","7:38 PM","",""
"30","6:36 AM","","7:55 AM","1:07 PM","","3:53 PM","","6:17 PM","7:37 PM","",""
"31","6:37 AM","","7:57 AM","1:07 PM","","3:52 PM","","6:16 PM","7:36 PM","",""
